width,folder_name,subfolder,contrastive_score,independent_score,interpretability_score,sparsity,ground_truth
16k,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_5,29.6593073846817,59.889933818054200,52.644626303863500,711.298828125,0.821644585253458
16k,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_1,30.117548287582400,91.07381221618650,79.2220342628479,42.4760551452637,0.848697394789582
16k,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_2,30.26925546588900,89.82428628387450,79.55782395324710,85.2770538330078,0.840251932436304
16k,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_4,31.47738400154110,66.52401325073240,59.29714413070680,353.719207763672,0.817914515203674
16k,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_0,29.876233281326300,93.5067996383667,80.626026612854,21.3431034088135,0.870202020202024
16k,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_3,29.765512345695500,88.71126411743160,79.4221944519043,171.979721069336,0.823071428571431
4k,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_5,16.03697379436490,25.82743947982790,23.43741456680300,692.635070800781,0.726810812950134
4k,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_1,18.22616924057010,46.89922496566770,42.09978542060850,41.3583602905273,0.831949591636658
4k,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_2,17.945335959243800,48.54235361709600,44.55200076751710,83.4363555908203,0.803214371204376
4k,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_4,17.311434862136800,32.37963722190860,29.348370742034900,347.160125732422,0.766857206821442
4k,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_0,17.618947444534300,49.22134249649050,44.114259864044200,20.7504062652588,0.846253037452698
4k,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_3,17.24240529499050,45.852211819458000,41.79718248977660,169.235595703125,0.784570217132568
65k,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,59.928900844574000,155.79156931762700,137.23870549469000,605.199096679688,0.841472327709198
65k,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,53.53617579612730,147.11403446044900,121.51375146637000,42.3991317749023,0.872667670249939
65k,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,56.980521240234400,134.36331649017300,117.16080749664300,85.7831039428711,0.865456879138947
65k,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,64.51618724479680,147.47334296569800,130.12313082885700,305.344421386719,0.856851518154144
65k,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,49.892588166427600,188.68544205932600,158.81858388824500,21.735143661499,0.889503121376038
65k,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,59.66609345359800,116.26357414550800,103.29098910827600,162.453506469727,0.859603404998779
