sae_variant,subfolder,contrastive_score,independent_score,joint_score,sparsity,ground_truth
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,2183.1944,1741.8174,1961.6578,695.598876953125,0.861383199691773
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,2317.6582,1426.0134,1965.8154,41.9134941101074,0.886458396911621
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2683.4692,1544.1242,2154.7744,84.3312759399414,0.877960860729218
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2640.1078,1142.8144,1502.6664,339.397766113281,0.871781647205353
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,1973.374,1131.2294,1609.528,21.1056747436523,0.882068455219269
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2823.7578,1599.823,2179.8784,168.649215698242,0.875696659088135
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,1778.0286,784.8872,1256.1718,53.8439521789551,0.861115217208862
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,2748.4806,1026.903,1572.036,662.269592285156,0.823025524616242
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2650.782,965.2488,1553.0672,408.724731445313,0.826219499111176
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2060.1082,805.9878,1351.7804,88.2284240722656,0.847730934619904
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,2451.3646,1703.8338,1969.5386,1149.88732910156,0.822735190391541
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2380.1064,941.056,1538.968,175.180648803711,0.833236515522003
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,1568.3042,699.3032,1137.6516,48.8130111694336,0.848735272884369
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,2321.4954,1702.7244,2102.5946,497.192413330078,0.825714290142059
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2170.2926,1082.4132,1590.3324,302.896636962891,0.82792854309082
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,1721.374,822.7432,1285.6548,73.8572845458984,0.856423556804657
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,2569.8456,3009.1492,3138.7346,1064.43383789063,0.786714315414429
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,1815.546,840.933,1311.9576,120.957412719727,0.847112774848938
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,1760.0276,1432.5354,1728.7482,63.4984970092773,0.864958703517914
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,3135.7638,2788.5262,3141.8068,835.053894042969,0.807509660720825
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2791.4788,2467.7096,2803.1698,468.850250244141,0.830914080142975
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2122.1626,1791.4114,2111.8164,125.305938720703,0.847575902938843
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,3385.6864,3021.8204,3376.124,1262.171875,0.791934728622437
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2388.759,2033.269,2377.2448,212.356292724609,0.84753292798996
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,2129.9022,770.3558,1119.9806,655.734008789063,0.875737965106964
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,1598.4712,683.014,1136.3528,43.7203063964844,0.876923024654388
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,1918.505,722.5764,1255.0142,87.7362823486328,0.879598140716553
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2072.7144,748.015,1069.3304,334.382995605469,0.861909627914429
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,1328.115,564.8786,936.186,21.694372177124,0.869948267936707
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2117.0184,763.293,1285.9204,173.359985351563,0.872011661529541
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,2834.529,2583.1194,2844.4206,605.199096679688,0.841472327709198
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,3402.1726,2370.1874,2941.816,42.3991317749023,0.872667670249939
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,3364.0524,1824.5874,2484.43,85.7831039428711,0.865456879138947
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,3130.4198,2009.202,2517.2718,305.344421386719,0.856851518154144
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,3660.1388,2146.2088,2830.1438,21.735143661499,0.889503121376038
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,3201.6892,1877.305,2462.0162,162.453506469727,0.859603404998779
