layer,folder_name,subfolder,contrastive_score,independent_score,joint_score,sparsity
0,layer_0,average_l0_105,24.07765603790280,79.55981998901370,59.89061477966310,105
0,layer_0,average_l0_13,23.140587446403500,57.57459396743770,39.97098236351010,13
0,layer_0,average_l0_25,24.672239968299900,69.50866908187870,48.79329744338990,25
0,layer_0,average_l0_226,22.13752005519870,54.751918272781400,43.58753046760560,226
0,layer_0,average_l0_46,25.503954390716600,81.7821841835022,61.90297758178710,46
5,layer_5,average_l0_18,34.91394360351560,73.89490912704470,64.02971211853030,18
5,layer_5,average_l0_34,34.68664093914030,75.79592176132200,66.4056642074585,34
5,layer_5,average_l0_143,30.08317754611970,100.53327288360600,93.94416540985110,143
5,layer_5,average_l0_68,33.4448232542038,72.81077513198850,63.92155479888920,68
5,layer_5,average_l0_309,27.172888122177100,38.925821076965300,34.983213216400100,309
10,layer_10,average_l0_395,37.93238316764830,43.542849220275900,39.47550260391240,395
10,layer_10,average_l0_21,50.4516457195282,88.52554389953610,76.58601482009890,21
10,layer_10,average_l0_77,48.583329008865400,82.02048818740850,71.2569449119568,77
10,layer_10,average_l0_166,44.773400305175800,72.71717175292970,64.84131278762820,166
10,layer_10,average_l0_39,50.76447834472660,85.95292907867430,74.99798730163580,39
15,layer_15,average_l0_78,44.61109089241030,78.63246738128660,69.14085948486330,78
15,layer_15,average_l0_41,47.97716989326480,95.21172676239010,82.79934457702640,41
15,layer_15,average_l0_23,55.72598055610660,97.88896094055180,84.96961538848880,23
15,layer_15,average_l0_150,41.916710289382900,65.91119820327760,59.54908652801510,150
15,layer_15,average_l0_308,39.03813909034730,46.62082403488160,42.96656223068240,308
20,layer_20,average_l0_139,44.1588211517334,63.9454306968689,56.57012246856690,139
20,layer_20,average_l0_71,48.662659455490100,53.97469556427000,48.14265996208190,71
20,layer_20,average_l0_294,39.47448737640380,52.30039994964600,45.08102327423100,294
20,layer_20,average_l0_38,57.10301057128910,56.580471755218500,55.67467379264830,38
20,layer_20,average_l0_22,53.18894071044920,47.45805464935300,47.04938436889650,22
25,layer_25,average_l0_16,60.00738708801270,79.35428754577640,69.9840450706482,16
25,layer_25,average_l0_285,37.82183237724300,51.926634401702900,44.380767905807500,285
25,layer_25,average_l0_55,48.00486578865050,69.47051952209470,59.49428549194340,55
25,layer_25,average_l0_116,43.08236842193600,62.28066964569090,53.10009217300420,116
25,layer_25,average_l0_28,54.33780124168400,78.25670875091550,67.10010225067140,28
