layer_type,subfolder,contrastive_score,independent_score,joint_score,sparsity
att,average_l0_514,34.647962497711200,43.35811485748290,35.7783388004303,514
att,average_l0_41,47.50447487564090,72.46469574508670,60.15819856147770,41
att,average_l0_184,40.04368564300540,58.92919491653440,48.555715525436400,184
att,average_l0_85,45.785683183670000,65.77294026107790,54.53410627593990,85
att,average_l0_328,37.593432851791400,52.68739107131960,43.006026874542200,328
mlp,average_l0_108,40.290692443466200,84.53128591384890,70.76991795959470,108
mlp,average_l0_548,32.12249770565030,48.81565508384710,42.617587240600600,548
mlp,average_l0_44,46.681270167923000,100.44623233947800,84.04803666229250,44
mlp,average_l0_262,36.13284126586910,63.2060385345459,53.801282967758200,262
mlp,average_l0_879,27.112194618606600,43.045746606063800,38.177848012924200,879
res,average_l0_445,34.906124684143100,55.911525495910600,49.37140754814150,445
res,average_l0_82,39.5773001701355,76.039939188385,67.78843713150030,82
res,average_l0_41,42.442706064605700,88.68721236190800,79.13044263687130,41
res,average_l0_22,45.85301310806280,90.58724606323240,81.99821600875860,22
res,average_l0_176,38.961186825943000,73.12955061340330,66.01127301254270,176
