layer,folder_name,subfolder,contrastive_score,independent_score,joint_score
0,layer_0,average_l0_105,24.07765603790283,79.55981998901368,59.89061477966309
0,layer_0,average_l0_13,23.140587446403504,57.57459396743774,39.97098236351013
0,layer_0,average_l0_25,24.672239968299866,69.50866908187866,48.79329744338989
0,layer_0,average_l0_226,22.13752005519867,54.751918272781374,43.58753046760559
0,layer_0,average_l0_46,25.503954390716554,81.7821841835022,61.90297758178711
5,layer_5,average_l0_18,34.91394360351563,73.89490912704468,64.02971211853027
5,layer_5,average_l0_34,34.68664093914032,75.79592176132202,66.4056642074585
5,layer_5,average_l0_143,30.08317754611969,100.53327288360596,93.94416540985108
5,layer_5,average_l0_68,33.4448232542038,72.81077513198852,63.92155479888916
5,layer_5,average_l0_309,27.172888122177124,38.925821076965335,34.983213216400145
10,layer_10,average_l0_395,37.93238316764832,43.542849220275876,39.47550260391235
10,layer_10,average_l0_21,50.4516457195282,88.52554389953613,76.58601482009888
10,layer_10,average_l0_77,48.583329008865356,82.02048818740845,71.2569449119568
10,layer_10,average_l0_166,44.773400305175784,72.71717175292969,64.84131278762817
10,layer_10,average_l0_39,50.76447834472656,85.95292907867432,74.99798730163575
15,layer_15,average_l0_78,44.61109089241028,78.63246738128662,69.14085948486328
15,layer_15,average_l0_41,47.97716989326477,95.21172676239014,82.79934457702636
15,layer_15,average_l0_23,55.72598055610657,97.88896094055175,84.96961538848878
15,layer_15,average_l0_150,41.916710289382934,65.91119820327759,59.54908652801514
15,layer_15,average_l0_308,39.03813909034729,46.62082403488159,42.96656223068237
20,layer_20,average_l0_139,44.1588211517334,63.9454306968689,56.57012246856689
20,layer_20,average_l0_71,48.662659455490115,53.97469556427002,48.14265996208191
20,layer_20,average_l0_294,39.47448737640381,52.30039994964599,45.08102327423096
20,layer_20,average_l0_38,57.10301057128906,56.580471755218504,55.67467379264831
20,layer_20,average_l0_22,53.18894071044922,47.45805464935303,47.04938436889648
25,layer_25,average_l0_16,60.00738708801269,79.35428754577637,69.9840450706482
25,layer_25,average_l0_285,37.82183237724304,51.926634401702884,44.380767905807495
25,layer_25,average_l0_55,48.00486578865051,69.47051952209473,59.49428549194336
25,layer_25,average_l0_116,43.08236842193603,62.28066964569092,53.10009217300415
25,layer_25,average_l0_28,54.33780124168396,78.25670875091552,67.10010225067138
