sae_variant,subfolder,contrastive_score,independent_score,interpretability_score
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,2183.1944,1741.8174,1961.6578
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,2317.6582,1426.0134,1965.8154
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2683.4692,1544.1242,2154.7744
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2640.1078,1142.8144,1502.6664
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,1973.374,1131.2294,1609.528
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2823.7578,1599.823,2179.8784
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,1778.0286,784.8872,1256.1718
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,2748.4806,1026.903,1572.036
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2650.782,965.2488,1553.0672
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2060.1082,805.9878,1351.7804
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,2451.3646,1703.8338,1969.5386
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2380.1064,941.056,1538.968
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,1568.3042,699.3032,1137.6516
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,2321.4954,1702.7244,2102.5946
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2170.2926,1082.4132,1590.3324
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,1721.374,822.7432,1285.6548
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,2569.8456,3009.1492,3138.7346
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,1815.546,840.933,1311.9576
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,1760.0276,1432.5354,1728.7482
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,3135.7638,2788.5262,3141.8068
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2791.4788,2467.7096,2803.1698
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2122.1626,1791.4114,2111.8164
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,3385.6864,3021.8204,3376.124
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2388.759,2033.269,2377.2448
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,2129.9022,770.3558,1119.9806
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,1598.4712,683.014,1136.3528
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,1918.505,722.5764,1255.0142
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2072.7144,748.015,1069.3304
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,1328.115,564.8786,936.186
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2117.0184,763.293,1285.9204
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,2834.529,2583.1194,2844.4206
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,3402.1726,2370.1874,2941.816
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,3364.0524,1824.5874,2484.43
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,3130.4198,2009.202,2517.2718
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,3660.1388,2146.2088,2830.1438
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,3201.6892,1877.305,2462.0162
matryoshka_batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,2062.848,1859.3872,2072.8742
matryoshka_batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,2538.5918,1866.614,2315.8052
matryoshka_batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,2750.0718,2093.407,2527.0308
matryoshka_batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,2379.1346,1542.9264,1833.4034
matryoshka_batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,3220.1556,2263.635,2839.6138
matryoshka_batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,2700.1416,1171.0474,1597.7322
