Batch,Average_L0
0,1446.854248046875
1,1431.380615234375
2,1507.961181640625
3,1476.23193359375
4,1454.626220703125
5,1447.41357421875
6,1442.1513671875
7,1464.785888671875
8,1499.841552734375
9,1501.256591796875
10,1406.2724609375
11,1423.198486328125
12,1427.967041015625
13,1475.6357421875
14,1471.076904296875
15,1507.72509765625
16,1483.68310546875
17,1444.044677734375
18,1483.43896484375
19,1473.69189453125
20,1478.048583984375
21,1454.720458984375
22,1468.51806640625
23,1449.29296875
24,1450.699462890625
25,1460.342529296875
26,1459.656982421875
27,1448.969970703125
28,1484.11376953125
29,1472.09375
30,1412.012451171875
31,1450.789306640625
32,1483.617919921875
33,1452.502685546875
34,1487.850830078125
35,1474.213623046875
36,1461.45361328125
37,1481.260009765625
38,1457.852783203125
39,1463.931884765625
40,1481.5615234375
41,1452.60009765625
42,1460.111572265625
43,1467.77880859375
44,1445.9384765625
45,1437.712890625
46,1439.03515625
47,1458.30908203125
48,1456.18603515625
49,1444.875
50,1448.485107421875
51,1486.1923828125
52,1468.39892578125
53,1461.7421875
54,1475.770263671875
55,1446.892578125
56,1489.57666015625
57,1474.286865234375
58,1461.17041015625
59,1418.666015625
60,1454.316650390625
61,1465.90625
62,1473.427490234375
63,1451.8583984375
64,1458.34912109375
65,1442.95654296875
66,1482.87255859375
67,1430.6953125
68,1422.148681640625
69,1457.63623046875
70,1463.083984375
71,1439.00439453125
72,1442.909423828125
73,1445.79833984375
74,1438.57470703125
75,1441.75048828125
76,1427.696044921875
77,1510.329345703125
78,1469.733154296875
79,1489.03955078125
80,1488.366455078125
81,1495.401123046875
82,1491.0107421875
83,1419.092041015625
84,1451.28173828125
85,1402.32275390625
86,1426.4814453125
87,1415.3115234375
88,1457.4345703125
89,1478.325439453125
90,1425.931640625
91,1461.7646484375
92,1413.837890625
93,1463.8017578125
94,1489.8916015625
95,1441.187255859375
96,1488.998046875
97,1455.060791015625
98,1455.651123046875
99,1473.333251953125
100,1463.912841796875
101,1467.029541015625
102,1422.327392578125
103,1480.740478515625
104,1441.0126953125
105,1471.544921875
106,1453.0576171875
107,1422.571533203125
108,1485.322998046875
109,1468.142578125
110,1469.602783203125
111,1526.651611328125
112,1478.171142578125
113,1450.552978515625
114,1451.933349609375
115,1461.661376953125
116,1490.430908203125
117,1449.5615234375
118,1462.56591796875
119,1439.099365234375
120,1454.39794921875
121,1454.2626953125
122,1453.45166015625
123,1465.649169921875
124,1452.7666015625
