Feature Index,Category,Score,Explanation
2628,Undiscernible,1,"The activations show no discernible pattern or thematic consistency, indicating random noise without clear relevance. The high activation of common tokens like 'The' suggests lack of specificity."
3531,Undiscernible,1,"The activation values do not form a clear pattern, with the highest activation on a common word ('The'), indicating the feature might be random noise or irrelevant."
828,Undiscernible,1,"The activations are spread across unrelated tokens such as 'The' and words related to economic contexts like 'global,' '2008,' 'recession,' and 'stock', with 'The' having the highest activation, indicating no clear, coherent pattern."
2230,Undiscernible,2,"The activation values do not form a clear pattern or theme, and 'The' has a significantly higher activation, suggesting noise or irrelevant activation."
3279,Undiscernible,1,"The activation values show no discernible pattern and appear random, indicating an undiscernible feature."
3637,Undiscernible,1,"The activations do not form a clear, consistent pattern. While some tokens relate to economic themes, the high activation of 'The' suggests the pattern lacks meaningful structure, classifying it as undiscernible."
1218,Low-level,3,"The tokens suggest a focus on economically-related events, but some tokens like 'The' deviate, indicating an overall pattern with some inconsistencies."
5493,Undiscernible,1,"The feature exhibits no clear activation pattern, as the high activation on 'The' is inconsistent with the theme suggested by other tokens."
1277,Low-level,3,"The feature activates around terms related to economic downturns (e.g., 'recession', 'crashed', 'crisis', '2008'), indicating a clear theme of financial crisis. However, the activation of 'The' deviates significantly from this pattern, suggesting some inconsistency."
1890,Undiscernible,1,"The highest activation is on an irrelevant and common token 'The', indicating no discernible pattern. Other tokens have moderately high activations but do not form a clear consistent pattern."
4265,Undiscernible,1,"The activation values are associated with seemingly random tokens without a clear pattern or theme, indicating a lack of consistency in the feature activation."
3550,Undiscernible,1,"The activations do not show a clear pattern related to any low-level or high-level feature. The token activations appear random and unrelated, suggesting noise."
966,Undiscernible,1,"The activations do not follow a discernible pattern, with a mix of common words and no clear thematic or structural consistency."
412,Undiscernible,1,"The feature activation data shows no discernible pattern or theme among the tokens, as the activations appear random and without a cohesive or clear association to a specific concept."
3180,Undiscernible,1,"The feature shows no discernible pattern in activation values, with activation spread across unrelated tokens."
1675,Low-level,3,"The feature shows some consistency, activating around common tokens with higher activation for 'The', indicative of word-level polysemy, but with some inconsistencies across the examples."
5530,Low-level,3,"The feature shows a clear emphasis on economic downturn-related terms like 'crisis', 'recession', and 'crashed', indicating relevance to a specific theme. However, the strong activation on 'The' suggests some inconsistencies, lowering the overall pattern clarity."
1120,Undiscernible,1,"The activations lack a clear pattern and appear to be random or irrelevant, with 'The' having an unusually high activation compared to contextually related tokens."
266,Undiscernible,1,"The activations show no clear pattern or consistent theme among the tokens, indicating random noise or irrelevant activations."
1847,Undiscernible,1,"The activations show no clear pattern or consistent theme, indicating random noise or irrelevant activations."
4999,Undiscernible,1,"The activations do not show a clear pattern, as the range of tokens does not reflect a cohesive linguistic feature. The tokens seem unrelated, indicating random noise or irrelevant activations."
3166,Undiscernible,1,The activations do not form a clear pattern and appear to be random with no coherent theme.
2332,Undiscernible,1,"The activations do not form a clear pattern or thematic coherence, as common tokens like 'The' have unusually high activations, suggesting random noise or irrelevance."
37,Undiscernible,1,"The activations do not present a discernible pattern or consistent theme, suggesting random noise or irrelevant activation."
3062,Undiscernible,1,"The activations display no clear pattern, evident by varied activation values across seemingly unrelated tokens."
3212,Undiscernible,1,"The activations do not show a clear or consistent pattern; rather, they reflect random noise or unrelated activations."
1939,Undiscernible,2,"The activations do not clearly align with a specific, consistent pattern. Although some tokens suggest a theme around financial crises, the significant activation of 'The' and the general inconsistency in activations imply a lack of structured pattern."
1255,Undiscernible,1,"The activations do not show a clear pattern or consistent theme, indicating randomness, thus categorizing it as undiscernible."
5692,Undiscernible,1,"The activations are not indicative of a discernible pattern and appear random, as the tokens do not form a consistent theme or structure."
1078,Low-level,2,"This feature has activations related to words like 'market', 'crisis', and 'crashed', suggesting a broad theme related to economic events or conditions. However, 'The' with a high activation deviates significantly from this theme, indicating a lack of consistent structure."
339,Undiscernible,1,"The activations show no clear theme or pattern across tokens, suggesting random or irrelevant activation."
5135,Low-level,3,"The feature activates on tokens related to economic terms ('crisis', 'stock', 'recession', '2008'), suggesting a low-level association. However, the high activation on 'The' introduces inconsistency, preventing a higher score."
44,Undiscernible,1,The activations are random and show no clear pattern or consistent theme that relates to a specific low-level or high-level feature.
1308,Undiscernible,1,"There is no clear or consistent pattern in the activation values; the most activated token, 'The', does not relate to a coherent theme, indicating a lack of discernible structure."
2583,Undiscernible,1,"The feature activations show no clear pattern or theme, with a high activation on 'The' suggesting irrelevant noise."
3261,Undiscernible,1,"The highest activation is on an irrelevant token ('The') with no clear pattern amongst the remaining tokens, indicating random noise or irrelevant activations."
5235,Low-level,3,"The activations show relevance to a theme concerning financial terms and events (e.g., 'market', 'crisis', '2008', 'crashed'), indicating word-level polysemy, but the high activation for 'The' and variation in activations suggest some inconsistency."
2168,Undiscernible,2,"The feature does not show a clear pattern among the token activations, with a mix of words and high activations on common tokens like 'The'. This suggests a lack of structure, making it difficult to classify as low-level or high-level."
2184,Low-level,3,"The activations show a focus on economic downturns with terms like 'crashed', '2008', 'global', and 'recession', though 'The' has a high activation that introduces inconsistency, suggesting low-level feature due to focus on specific tokens despite some noise."
5228,Undiscernible,1,"The activation values do not show a clear or consistent pattern. They are spread across unrelated tokens, and no broad theme is evident, suggesting random noise or irrelevant activations."
2794,Undiscernible,1,"The activations do not exhibit a clear, consistent pattern, as the tokens seem unrelated or randomly activated, indicating noise."
2377,Undiscernible,1,The activations do not reveal a clear pattern or consistent theme. The high activation on 'The' suggests that this feature might be capturing noise or irrelevant aspects of the text.
4580,Undiscernible,1,"The activations do not show a clear pattern; while 'crashed' has the highest activation after a common word 'The', the tokens '2008', 'market', and 'leading' do not share a strong thematic or functional link."
4491,Low-level,3,"The feature seems to focus on financial terms ('crisis', 'market', 'crashed', '2008'), indicating a theme related to financial contexts. However, there is inconsistency with the high activation of 'The', which does not fit the pattern."
5030,Undiscernible,1,"The tokens with higher activation values ('The' with 0.6493) do not show a clear, cohesive pattern relating to either low-level or high-level features, suggesting random noise."
3759,Low-level,3,"The feature has a clear association with terms related to financial events ('crisis', 'market', '2008', 'crashed'), but includes a high activation for 'The', suggesting some inconsistency typical of low-level polysemy."
3171,Undiscernible,1,"No clear pattern is evident among the activated tokens, with high activation on 'The' which seems unrelated to a cohesive theme, indicating random or irrelevant activations."
5160,Undiscernible,1,"The activations show no clear consistent pattern, with a mix of economic and non-specific tokens scattered across various activation levels."
5517,Low-level,3,"The activations are related to financial terms, indicating a pattern relevant to financial discussions. However, the dominant activation for 'The' suggests some inconsistency, resulting in a moderate score."
3640,Undiscernible,1,"The activations show no clear or consistent pattern and include a high activation for an unrelated token, suggesting random or irrelevant activations."
472,Undiscernible,1,"The activation values do not show a clear pattern connecting the tokens, with 'The' having an exceptionally high activation which disrupts any potential theme. This indicates random noise and irrelevant activations."
291,Undiscernible,1,"The activations show no clear pattern related to a specific semantic concept or linguistic pattern, with fairly low activation values and no discernible theme, indicating random noise or irrelevant activations."
5544,Undiscernible,1,"The activations do not show a clear pattern related to low-level or high-level features; 'The' has an exceptionally high activation compared to other tokens, suggesting noise or irrelevant activation."
813,Low-level,2,"The tokens related to economic events ('market', 'crisis', '2008', 'crashed') suggest a thematic pattern, potentially indicating a low-level feature related to economic terms. However, the presence of 'The' with a much higher activation value lacks relevance and consistency, reducing the score."
2456,High-level,2,"The tokens activated (global, 2008, crashed, recession) suggest a broad theme related to economic events or conditions such as a financial crisis. While there is a thematic link, the pattern lacks a clear structure and includes significant deviations, such as the very high activation of 'The'."
6081,Undiscernible,2,"The activations do not show a clear pattern or strong thematic structure, indicating randomness or noise."
804,Undiscernible,2,"The activation values show no clear pattern or strong association with a specific concept or category, suggesting random activations without structure."
