Batch,Average_L0
0,2544.4912109375
1,2579.003662109375
2,2584.87548828125
3,2547.689697265625
4,2560.086181640625
5,2589.594970703125
6,2544.28125
7,2594.71826171875
8,2575.345458984375
9,2619.717529296875
10,2550.194580078125
11,2531.840576171875
12,2528.70849609375
13,2581.689697265625
14,2571.2841796875
15,2622.979736328125
16,2587.56640625
17,2565.002197265625
18,2586.95849609375
19,2561.00927734375
20,2599.975830078125
21,2591.99658203125
22,2560.808837890625
23,2592.0068359375
24,2552.26416015625
25,2576.661376953125
26,2562.13525390625
27,2580.706787109375
28,2590.942138671875
29,2575.279541015625
30,2548.9501953125
31,2568.57666015625
32,2585.59375
33,2565.64111328125
34,2573.069580078125
35,2572.990478515625
36,2570.0625
37,2601.723388671875
38,2569.973876953125
39,2607.5810546875
40,2578.967041015625
41,2555.067626953125
42,2545.8388671875
43,2551.80322265625
44,2561.690185546875
45,2538.302001953125
46,2580.918701171875
47,2571.253173828125
48,2575.749267578125
49,2577.6474609375
50,2580.404541015625
51,2619.599365234375
52,2563.101806640625
53,2571.93994140625
54,2597.491943359375
55,2547.297119140625
56,2607.1875
57,2600.379638671875
58,2568.3779296875
59,2527.706787109375
60,2566.11767578125
61,2564.310791015625
62,2556.17822265625
63,2582.490234375
64,2586.901611328125
65,2562.71630859375
66,2572.519287109375
67,2562.06103515625
68,2531.136474609375
69,2554.31640625
70,2596.931884765625
71,2484.957763671875
72,2540.181884765625
73,2576.1796875
74,2567.706298828125
75,2554.44970703125
76,2557.800048828125
77,2579.85595703125
78,2591.129150390625
79,2591.50146484375
80,2611.82421875
81,2581.603759765625
82,2603.52587890625
83,2548.7529296875
84,2576.71240234375
85,2519.418701171875
86,2543.792236328125
87,2575.060791015625
88,2560.61669921875
89,2593.039306640625
90,2566.788330078125
91,2578.00390625
92,2555.3046875
93,2581.730712890625
94,2589.705810546875
95,2579.423828125
96,2598.130126953125
97,2568.90087890625
98,2560.717529296875
99,2575.951171875
100,2571.300537109375
101,2572.562255859375
102,2534.40771484375
103,2573.735107421875
104,2544.0751953125
105,2571.15869140625
106,2575.753662109375
107,2540.13525390625
108,2615.577392578125
109,2567.37255859375
110,2556.62158203125
111,2614.3505859375
112,2580.11181640625
113,2548.2236328125
114,2560.263671875
115,2537.80224609375
116,2596.825927734375
117,2545.376220703125
118,2572.72412109375
119,2522.802490234375
120,2546.7314453125
121,2553.8603515625
122,2570.442626953125
123,2597.60693359375
124,2561.71044921875
