Feature Index,Category,Score,Explanation
508,Undiscernible,1,"The activations do not show a clear pattern related to a specific thematic or structural feature, indicating randomness or noise."
324,Undiscernible,1,"The activation values show no clear pattern or thematic structure, indicating random activation likely irrelevant to any meaningful feature."
576,Low-level,3,"The activations are moderately concentrated on certain linguistic tokens related to events or changes like 'crisis' and 'crashed', suggesting a potential low-level polysemy pattern, but with some inconsistencies due to varying activation levels on broader terms like 'the'."
411,Low-level,2,"The activated tokens such as 'crashed' and 'during' suggest a vague pattern related to temporal or event-related contexts which could imply low-level semantics, but the consistency is weak due to the presence of less relevant tokens like 'a' and 'The'."
244,Undiscernible,1,"The activations do not show a clear or consistent pattern with highly varying token types and relevance levels, and the most activated token is common and uninformative."
761,Low-level,3,"The activations are centered around financial terms suggesting a thematic association, indicating a low-level feature of relevance to finance, with some inconsistencies as 'The' has a high activation without clear contextual relevance."
53,Undiscernible,1,The feature activation values indicate no clear pattern as the tokens do not exhibit an obvious thematic or structural association.
198,Undiscernible,1,"The activation values are scattered without a clear pattern. The tokens do not exhibit a consistent low-level or high-level pattern, indicating undiscernible feature behavior."
492,Low-level,3,"The activations show a clear pattern related to financial terms, suggesting a focus on economy-related words, indicating a low-level feature. However, the inclusion of a common token like 'The' introduces inconsistency."
133,Undiscernible,1,The activation values do not show a clear or consistent pattern and seem to be randomly distributed among unrelated tokens.
280,Undiscernible,1,"The activations do not show a clear or consistent pattern that suggests a specific theme or meaningful grouping, indicating the feature is noise or irrelevant."
239,Undiscernible,2,"The activations show a very broad theme related to financial terms but lack a clear structure, with active tokens like 'The' not fitting a consistent pattern."
501,Undiscernible,1,"The activations show no discernible pattern as the tokens are unrelated in terms of consistent context or theme, indicating noise."
757,Undiscernible,1,"The activations do not show a clear or consistent pattern, suggesting randomness or irrelevance."
515,Undiscernible,1,"The activation values are close to each other and applied to a mix of common tokens, lacking a clear or consistent pattern that would signify a specific feature type."
131,Undiscernible,1,"The activation values are low and do not show a clear or consistent pattern related to any specific word-level or high-level feature, indicating randomness and irrelevance."
179,Undiscernible,1,"The activations show no clear pattern or thematic consistency across the tokens, indicating random noise or irrelevant activations."
705,Undiscernible,1,"The activation values do not reveal a clear, consistent pattern and appear random, suggesting the feature is undiscernible and lacks meaningful structure."
95,Undiscernible,1,"The activations lack a clear pattern or consistent theme, suggesting random noise rather than a meaningful feature."
619,Low-level,4,"The activations largely center around specific tokens related to finance, notably '2008', 'stock', suggesting a clear pattern with a focus on word-level polysemy, despite the slight deviations in unrelated high frequency words like 'the'."
294,Undiscernible,1,"The activation values do not show a clear pattern or thematic consistency indicative of either low-level or high-level features, suggesting random or irrelevant activations."
124,Undiscernible,1,The tokens activated do not show a clear pattern or consistent theme; they appear random and lack structure.
420,Undiscernible,1,"The tokens activated by this feature ('leading', 'during', 'a', 'to', 'crashed') do not show a clear, consistent pattern or theme indicative of word-level polysemy or long-range patterns, suggesting random or irrelevant activations."
326,Undiscernible,2,"The feature activation data lacks a clear pattern with inconsistent activations across various tokens, indicative of a broad theme without distinct structure, characteristic of undiscernible features."
441,Undiscernible,1,"There is no discernible pattern in the activation values of the tokens, indicating random noise or irrelevant activations."
122,Undiscernible,1,"The activation values do not show a consistent pattern, as the tokens activated do not share a clear thematic or structural coherence."
208,Undiscernible,1,"The activations are scattered across various tokens with no clear identifiable pattern, indicative of random or irrelevant activations."
500,Undiscernible,1,"The activations do not show a clear or consistent pattern related to a specific theme or structure, indicating noise or irrelevant activations."
286,Undiscernible,1,"The activations show no clear pattern or theme linking the tokens, indicating random or irrelevant activations."
346,Low-level,3,"The feature appears to activate around the theme of economic terms related to crises and recessions, suggesting a low-level feature dealing with word-level polysemy. However, the presence of 'The' with high activation introduces some inconsistency, lowering the score."
672,Undiscernible,1,"The activation data lacks a consistent pattern, with tokens having unrelated meanings and varied activation levels, indicating random noise."
292,Undiscernible,1,"The activations on common tokens like 'the' and 'a', along with a number, show no clear pattern or discernible theme, suggesting random noise rather than consistent semantic activation."
704,Low-level,3,"The activations show a relevance to specific word choices, such as 'recession' and 'crashed', indicating word-level polysemy. However, the variance in activations shows some inconsistency, leading to an intermediate score."
