Batch,Average_L0
0,3091.10205078125
1,3090.45849609375
2,3091.398193359375
3,3090.30517578125
4,3090.53466796875
5,3090.40234375
6,3090.917724609375
7,3090.99072265625
8,3090.70458984375
9,3090.705322265625
10,3090.552001953125
11,3090.288330078125
12,3090.5537109375
13,3090.727783203125
14,3090.8291015625
15,3090.867919921875
16,3091.23193359375
17,3090.9033203125
18,3091.151611328125
19,3090.918701171875
20,3090.711181640625
21,3090.53125
22,3090.489013671875
23,3090.529541015625
24,3090.8603515625
25,3090.45751953125
26,3090.92822265625
27,3090.765380859375
28,3090.14306640625
29,3090.4833984375
30,3090.340576171875
31,3090.64990234375
32,3090.713623046875
33,3090.4189453125
34,3091.09912109375
35,3091.176025390625
36,3091.56982421875
37,3091.855712890625
38,3090.51171875
39,3090.682861328125
40,3090.759765625
41,3090.413818359375
42,3090.750732421875
43,3090.624267578125
44,3091.016357421875
45,3091.097412109375
46,3090.6611328125
47,3090.865234375
48,3090.3486328125
49,3090.71484375
50,3091.609130859375
51,3090.737548828125
52,3090.632568359375
53,3090.902587890625
54,3090.741943359375
55,3091.407958984375
56,3090.4775390625
57,3090.5126953125
58,3090.844482421875
59,3091.15478515625
60,3090.604736328125
61,3090.3642578125
62,3090.844970703125
63,3090.587890625
64,3090.878662109375
65,3091.1962890625
66,3091.064697265625
67,3090.387939453125
68,3091.015625
69,3090.712890625
70,3090.388427734375
71,3091.116455078125
72,3090.6259765625
73,3090.508056640625
74,3090.437255859375
75,3091.062744140625
76,3091.13232421875
77,3090.90673828125
78,3090.62890625
79,3090.493896484375
80,3091.389892578125
81,3090.55615234375
82,3091.27685546875
83,3090.776611328125
84,3090.820068359375
85,3090.899169921875
86,3090.56298828125
87,3090.314453125
88,3090.701904296875
89,3090.778564453125
90,3090.405029296875
91,3091.209228515625
92,3090.837646484375
93,3091.060302734375
94,3091.048583984375
95,3090.865478515625
96,3090.16455078125
97,3090.754638671875
98,3090.77685546875
99,3091.250732421875
100,3090.9453125
101,3090.7431640625
102,3090.755615234375
103,3089.9521484375
104,3090.61669921875
105,3091.10791015625
106,3091.025146484375
107,3091.24853515625
108,3091.090576171875
109,3090.6298828125
110,3090.468505859375
111,3090.814208984375
112,3090.47998046875
113,3090.618896484375
114,3091.1083984375
115,3091.415283203125
116,3090.881591796875
117,3090.077392578125
118,3090.57958984375
119,3090.4169921875
120,3090.53564453125
121,3090.879638671875
122,3090.767333984375
123,3091.02685546875
124,3091.19873046875
