Feature Index,Category,Score,Explanation
739,High-level,3,"The tokens suggest a pattern related to significant events or topics, such as financial or global crises, indicating a broad, high-level thematic categorization. However, the pattern isn't entirely consistent, as not all tokens strongly align with a single recognizable theme, reflecting some inconsistencies."
153,Undiscernible,1,"The tokens show no clear thematic or structural consistency, suggesting random or irrelevant activations."
421,Undiscernible,1,"The activation values do not show a clear or consistent pattern, with various common tokens being activated similarly, indicating noise or irrelevant activations."
42,Undiscernible,2,"The activations are related to different contexts such as 'recession', 'market', and 'crashed', lacking a clear structural or consistent pattern, pointing towards random or irrelevant activations."
305,Undiscernible,1,"The activations across tokens do not show a discernible pattern or clear relevance, indicating random noise or irrelevant activations."
544,Undiscernible,1,"The activations do not form a clear pattern, as the tokens activated are common and unrelated, suggesting noise."
61,Low-level,2,"The activations are focused on individual words with no clear pattern of high-level structure, suggesting word-level polysemy. However, there lacks a strong consistency or structure indicating a specific theme beyond individual words, hence the score of 2."
625,Undiscernible,1,"The activations do not reveal a clear pattern or theme. The tokens are common and seemingly unrelated, showing no strong coherence."
578,Low-level,2,"The activations centered around tokens like 'crashed' and 'leading' suggest a loose theme related to actions or events, but the inclusion of common tokens like 'the' and prepositions indicates a lack of clear structure."
506,Low-level,5,"The feature activates strongly for tokens related to financial terms, indicating a clear low-level word association pattern with no deviating examples."
393,Undiscernible,1,"The activations are spread across unrelated tokens like 'leading', 'global', 'The', 'to', and 'recession', showing no discernible pattern or consistent theme, indicating random noise."
102,Low-level,2,"The feature seems to focus on terms related to economic downturns, such as 'recession' and 'crisis', but lacks a clear structure or consistency beyond that broad theme."
332,Low-level,4,"The activations primarily concern specific financial terms and a time reference, indicating a consistent theme related to financial events. The presence of a comma as a deviation suggests a minor inconsistency, but overall the pattern is clear and relevant to financial contexts."
110,Undiscernible,1,The activations show random relevance across different tokens without a discernible pattern or theme.
158,Low-level,3,"The tokens such as 'in', 'during', '2008', 'leading', and 'crashed' suggest a pattern related to time-based or event-related contexts, indicating a low-level word-level polysemy feature. However, there is some inconsistency, as 'crashed' is more event-specific while others relate to time or sequence, hence the score."
175,Undiscernible,1,"The activations do not exhibit any clear or consistent pattern, appearing random and without structure."
532,Undiscernible,1,"The activations do not exhibit a clear or consistent pattern, as different, seemingly unrelated tokens have similar activation values, suggesting random noise or irrelevant activations."
671,Low-level,3,"The activations suggest a pattern related to a specific context, possibly indicating a low-level feature focused on temporal and economic terms (e.g., 'during', 'recession'). However, there are inconsistencies in the tokens activated, such as 'to' and 'a', leading to a moderate score."
751,Low-level,3,"The activation data suggests a focus on specific word combinations related to the financial domain like 'stock' and 'market', indicating a theme but some inconsistencies with tokens like 'in' and 'The' showing lower relevance."
387,Undiscernible,1,"The activations do not demonstrate a consistent or clear pattern related to either low-level or high-level features, suggesting random or irrelevant activations."
510,Undiscernible,1,"The activations do not form a clear pattern or show significant relevance to a specific theme or structure. The tokens activated are common and don't suggest a coherent low-level or high-level feature, indicating a lack of discernible pattern."
638,Low-level,2,"The tokens 'during', 'to', 'a' suggest common functional words, while 'crashed' is semantically tied to 'leading', indicating polysemy around an event or action."
112,High-level,3,"The tokens suggest a focus on temporal and locational context associated with events, such as 'during 2008 in the market', indicating a pattern, though not entirely consistent or specific enough for higher scoring."
83,Undiscernible,1,"The activation values show no clear pattern or consistent theme regarding specificity or comprehensible grouping, indicating random or irrelevant activations."
173,Undiscernible,1,The activations on commonly used tokens and the number '2008' do not reveal a clear pattern; activations appear random and context-insensitive.
626,Undiscernible,1,The tokens show no discernible pattern as they activate on common punctuation and random tokens without a clear theme or structure.
674,Undiscernible,1,"The activations are spread across unrelated tokens with no clear pattern, indicating random noise."
315,Low-level,4,"The feature shows a pattern relating to economic terms, with higher activation values for economically relevant tokens like 'recession' and 'global'. There is consistency in the focus on economic context, but the presence of a common word ',', while not entirely deviating, adds minor inconsistency."
761,Low-level,3,"The tokens activated seem to suggest a low-level pattern related to specific words such as 'market' and '2008', but there are inconsistencies with generic tokens like 'The' and 'the'."
655,Low-level,3,"The feature activates around the theme of economic situations ('crashed', 'crisis', 'recession'), but also includes an unrelated token 'global', suggesting some inconsistencies in pattern."
542,Low-level,3,"The tokens with higher activation are related to economic terms (market, crashed, global), indicating a possible theme. However, there is moderate inconsistency with the presence of tokens such as 'the' and 'leading.'"
70,Low-level,2,"The activations suggest a theme related to economic events but lack a clear structure, present in tokens like 'crashed', 'market', and 'economic' which denote disturbances or states."
139,Low-level,3,"The tokens 'leading', 'stock', 'to', 'a', and 'market' suggest a low-level theme related to financial terminology. There is an apparent pattern, but the presence of 'to' and 'a', which are more common words, introduces some inconsistency."
534,Undiscernible,1,"The activation values do not indicate a clear pattern or theme. The tokens activated do not fit into a coherent semantic group or pattern, suggesting random noise or irrelevant activations."
521,Undiscernible,1,"The activations do not show a clear or consistent pattern as the tokens activated are not directly related, indicating randomness."
492,High-level,5,"The activations show a strong, clear pattern related to economic events, specifically around the 2008 crisis and recession, with no deviating examples."
207,Low-level,3,"The tokens activated relate to economic concepts, suggesting a low-level feature related to finance or markets; however, there's some inconsistency with the inclusion of a punctuation (.) activation."
294,Low-level,3,"The activations suggest a focus on specific words like 'crashed', indicating a word-level polysemy pattern. While there is a tendency towards words related to a specific context (e.g., events, actions), there are inconsistencies with other tokens like 'a' and 'leading', hence a score of 3."
