Batch,Average_L0
0,4123.888671875
1,4117.8544921875
2,4141.46923828125
3,4121.2578125
4,4130.2978515625
5,4120.45166015625
6,4129.412109375
7,4126.28466796875
8,4119.3583984375
9,4125.423828125
10,4123.951171875
11,4124.4462890625
12,4118.69091796875
13,4124.1689453125
14,4125.86669921875
15,4126.1923828125
16,4133.33203125
17,4124.93212890625
18,4128.2548828125
19,4127.6865234375
20,4122.0537109375
21,4125.279296875
22,4122.421875
23,4123.236328125
24,4126.73193359375
25,4117.81640625
26,4130.68408203125
27,4132.38916015625
28,4113.8310546875
29,4129.4365234375
30,4123.1435546875
31,4123.5751953125
32,4127.97998046875
33,4125.12109375
34,4128.021484375
35,4125.4462890625
36,4138.7177734375
37,4141.94775390625
38,4125.57080078125
39,4123.25
40,4119.544921875
41,4127.6435546875
42,4124.4326171875
43,4121.09228515625
44,4132.72900390625
45,4131.958984375
46,4127.5869140625
47,4128.2353515625
48,4126.28759765625
49,4122.6083984375
50,4137.99658203125
51,4123.677734375
52,4115.5703125
53,4123.61767578125
54,4128.4375
55,4122.8330078125
56,4124.505859375
57,4116.5810546875
58,4120.9697265625
59,4128.4130859375
60,4116.7265625
61,4123.548828125
62,4126.5380859375
63,4125.1083984375
64,4129.66455078125
65,4132.8564453125
66,4125.865234375
67,4124.626953125
68,4122.458984375
69,4123.7412109375
70,4123.177734375
71,4131.470703125
72,4124.72265625
73,4124.66943359375
74,4122.771484375
75,4130.2978515625
76,4128.69091796875
77,4127.1162109375
78,4127.27490234375
79,4115.5947265625
80,4127.8759765625
81,4126.30859375
82,4126.39404296875
83,4123.6728515625
84,4127.7568359375
85,4132.1455078125
86,4121.84375
87,4117.06298828125
88,4126.59765625
89,4124.8291015625
90,4122.927734375
91,4125.52734375
92,4124.2001953125
93,4123.3818359375
94,4133.3828125
95,4126.18603515625
96,4122.322265625
97,4130.77880859375
98,4125.3623046875
99,4129.2041015625
100,4130.94921875
101,4125.458984375
102,4126.7880859375
103,4122.16064453125
104,4121.02587890625
105,4126.1533203125
106,4130.32421875
107,4134.2900390625
108,4123.19482421875
109,4124.6796875
110,4127.77978515625
111,4123.568359375
112,4123.642578125
113,4119.77783203125
114,4125.74072265625
115,4130.5146484375
116,4124.7763671875
117,4120.41650390625
118,4124.2421875
119,4121.205078125
120,4117.2119140625
121,4129.580078125
122,4117.22265625
123,4131.8759765625
124,4124.0693359375
