Feature Index,Category,Score,Explanation
704,Undiscernible,1,"The feature does not show a consistent pattern as the activations vary significantly and do not align with any coherent theme. There is a highly inconsistent activation on the token 'The', which suggests a lack of discernible structure."
5919,Undiscernible,1,"The activations appear random and highly inconsistent, with 'The' having an unexpectedly high activation compared to related terms like 'recession' or 'market', indicating no discernible pattern."
783,Undiscernible,1,"The activations are inconsistent with no clear pattern or theme, indicating random noise or irrelevant activations."
1646,Undiscernible,1,"The activations show no clear pattern or consistent theme among the tokens, suggesting random noise and irrelevant activations."
3355,Undiscernible,1,"The tokens 'market', '2008', 'leading', 'crashed', and 'The' do not share a coherent pattern or theme, and the high activation on 'The' suggests random noise, indicating no discernible feature."
5034,Undiscernible,1,"There is no discernible pattern in the activation values. The tokens activated do not present a coherent theme or structure, indicating randomness in activation."
162,Undiscernible,1,"The activation values do not show a clear, consistent pattern related to either low-level or high-level features, indicating the presence of noise or irrelevant activations."
2975,Undiscernible,1,"The tokens show no discernible pattern, with 'The' having an unusually high activation compared to other tokens."
911,Undiscernible,1,"The tokens have varying words with no discernible pattern or theme, as indicated by the highest activation on an article and random associations with 'global', 'market', and connectors like 'to', suggesting noise."
5529,Undiscernible,1,"The activations do not form a clear pattern with the given tokens. The range is broad, with 'The' having a significantly higher activation than others, indicating random noise or irrelevant activations."
2912,Undiscernible,1,"The feature activation data does not exhibit a discernible pattern, with highly varying activation levels and no clear thematic link between the tokens."
10,Undiscernible,1,"The activations do not show a consistent pattern; the tokens are not semantically related and vary widely in context, indicating random noise or irrelevant activations."
4155,Low-level,2,"The activations seem to relate to a broad theme of negative economic events, such as 'crashed' and 'recession', indicating low-level, word-level polysemy. However, the pattern lacks strong structure, given the varying relevance of tokens such as 'The'."
3306,Undiscernible,1,"The tokens activated (global, crisis, crashed, 2008, The) do not demonstrate a clear or consistent pattern, resembling random or irrelevant activations. The high activation of 'The' particularly suggests lack of specific semantic relevance."
3310,Undiscernible,1,"The activations appear random with no clear pattern relating to either low-level or high-level features, and the consistently high activation for 'The' suggests noise rather than meaningful activation."
77,Undiscernible,1,"The activations appear random and do not show a clear pattern. Tokens range from common words to specific dates, showing no consistent theme or structure."
5141,Undiscernible,1,"The activations do not show a clear pattern or consistent theme among the tokens, indicating randomness or irrelevance."
2276,Undiscernible,1,"The activations do not form a clear pattern, with a wide variance in token importance and no cohesive theme distinguishing a meaningful category."
1020,Low-level,3,"The activations are centered around economic and market-related terms, indicating a low-level feature focused on financial context. However, 'The' has a substantially higher value without fitting the theme, introducing inconsistencies."
2201,Undiscernible,1,"The activations show no discernible pattern or clear theme, with high variation across irrelevant tokens."
4961,Undiscernible,1,"The activation values do not show a clear pattern related to either low-level or high-level features. The tokens activated are not related in a meaningful way, suggesting randomness or noise."
5587,Undiscernible,1,"The activations do not show a consistent pattern related to specific tokens or theme, indicating noise or irrelevant activations."
5930,Undiscernible,1,"The activation data shows no discernible pattern, with tokens having varied meanings and no consistent thematic or structural pattern. This suggests random noise and irrelevant activations."
3168,High-level,4,"The feature seems to capture a pattern related to economic events, specifically focusing on tokens like 'crashed', 'recession', and '2008', indicating long-range pattern recognition. The activation of 'The' is a deviation, which is why it scores a 4."
4037,Undiscernible,1,"The activation values show no discernible pattern or theme, with random token activations across unrelated tokens like 'The', '2008', and 'crashed'."
978,Undiscernible,1,"The activations do not form a clear pattern, as the tokens represent a mix of different contexts and there is a presence of random high activation on 'The'."
358,Undiscernible,1,"The activations show no clear or consistent pattern, with wildly varying values particularly highlighted by 'The' having an exceptionally high activation, indicating random noise or irrelevant activations."
3982,High-level,3,"The tokens 'global', 'recession', 'crashed', and 'stock' suggest an economic theme, indicative of a high-level feature about economic discussions or events. However, the inclusion of 'The' with a significantly higher activation indicates some inconsistency, hence a score of 3."
219,Undiscernible,1,The feature lacks a clear pattern; token activations are random and do not show a consistent theme or structure.
1921,Low-level,3,"The feature activates on specific word tokens suggesting polysemy or context-specific meanings, yet it shows some inconsistency, particularly with the high activation of 'The'."
2060,Undiscernible,1,"The activations show no discernible pattern, with high activations on common tokens ('a', 'The') and varying context-less terms ('market', 'crashed', 'to'). This suggests random noise or irrelevant activations."
2546,Undiscernible,1,"The activations do not show a clear pattern or theme; instead, they appear random and unconnected, indicating the feature lacks discernible structure."
5796,Undiscernible,1,"The activations lack a consistent pattern; while some tokens like 'crashed' and 'recession' are loosely related, the highly activated token 'The' suggests random noise, indicating no clear thematic structure."
4882,Undiscernible,2,The activations show a mixture of tokens with no clear longer-range or word-level pattern; the high activation on 'The' suggests noise or irrelevant activations.
418,Low-level,3,"The activations are consistent with a focus on specific words ('stock', 'crashed'), indicating a word-level polysemy feature. However, the high activation on 'The' introduces inconsistency, suggesting some noise or misalignment in relevance."
3905,Undiscernible,1,"The activation values don't exhibit a clear or consistent pattern related to either low-level or high-level features. The tokens seem randomly activated, indicating irrelevance or randomness."
3899,Undiscernible,1,The tokens show no discernible pattern or coherent theme; high activation in common word 'The' suggests noise.
