Batch,Average_L0
0,5975.986328125
1,6540.625
2,5967.08203125
3,6051.9501953125
4,6065.259765625
5,6155.7431640625
6,6136.08984375
7,5964.599609375
8,5802.0126953125
9,5742.974609375
10,6151.703125
11,6109.6689453125
12,6244.298828125
13,6106.14453125
14,5987.49609375
15,5781.6416015625
16,5986.783203125
17,5338.59765625
18,5895.837890625
19,6256.9658203125
20,6144.8837890625
21,5916.337890625
22,6117.6552734375
23,6131.8623046875
24,6573.873046875
25,6050.3037109375
26,5767.0185546875
27,5978.369140625
28,6178.30859375
29,5860.7646484375
30,6388.103515625
31,6048.4208984375
32,5812.306640625
33,5980.849609375
34,5848.388671875
35,6023.1025390625
36,6237.548828125
37,6295.685546875
38,6338.3740234375
39,6280.96875
40,6079.751953125
41,6187.4365234375
42,5869.876953125
43,5391.1669921875
44,6054.427734375
45,5768.615234375
46,5940.1826171875
47,5992.1044921875
48,5589.4169921875
49,5801.3701171875
50,5878.0166015625
51,6108.2177734375
52,5861.6220703125
53,5682.63671875
54,6318.580078125
55,5910.5419921875
56,5813.5107421875
57,5632.076171875
58,5862.005859375
59,6553.3125
60,6156.6220703125
61,5996.30859375
62,6192.0576171875
63,6027.8056640625
64,5932.3759765625
65,5512.373046875
66,6137.009765625
67,6439.5673828125
68,5985.0634765625
69,5881.11328125
70,6381.634765625
71,5888.0751953125
72,6335.978515625
73,5957.55078125
74,5870.1982421875
75,6036.1494140625
76,5856.9775390625
77,5643.400390625
78,5910.810546875
79,6301.2958984375
80,6364.7421875
81,6202.064453125
82,5926.9189453125
83,6273.1953125
84,5735.3701171875
85,6127.7529296875
86,6235.4140625
87,5909.5361328125
88,5803.537109375
89,6435.26171875
90,6041.478515625
91,5745.4033203125
92,5886.48046875
93,5881.0458984375
94,6147.30859375
95,6204.5078125
96,6161.896484375
97,5785.279296875
98,5939.3447265625
99,6414.32421875
100,5983.1982421875
101,6171.2177734375
102,5880.6513671875
103,5667.1455078125
104,5893.02734375
105,5757.85546875
106,6319.0380859375
107,5722.77734375
108,6274.09375
109,5845.1982421875
110,5767.3134765625
111,6022.228515625
112,5874.5908203125
113,5781.283203125
114,6257.1455078125
115,6435.83203125
116,5725.4775390625
117,5680.8115234375
118,5852.6474609375
119,5769.4091796875
120,5830.216796875
121,6009.0615234375
122,6033.287109375
123,5976.0888671875
124,6196.703125
