Batch,Average_L0
0,4691.4306640625
1,5122.6318359375
2,4743.568359375
3,4811.7197265625
4,4923.2353515625
5,5010.36328125
6,4745.291015625
7,4766.53125
8,4595.802734375
9,4617.1025390625
10,4894.8359375
11,4916.2939453125
12,4997.1611328125
13,4819.5458984375
14,4793.7685546875
15,4572.5361328125
16,4764.7744140625
17,4187.314453125
18,4610.955078125
19,5064.05859375
20,4929.486328125
21,4775.8671875
22,4750.388671875
23,4934.5341796875
24,5244.2763671875
25,4776.4248046875
26,4557.1357421875
27,4778.1884765625
28,4970.4970703125
29,4641.44140625
30,5084.7646484375
31,4926.90625
32,4720.7685546875
33,4716.1962890625
34,4574.4072265625
35,4838.75
36,5009.501953125
37,5033.0166015625
38,5047.833984375
39,5021.3955078125
40,4854.7900390625
41,4962.525390625
42,4710.3720703125
43,4220.4482421875
44,4801.9189453125
45,4490.4892578125
46,4765.9833984375
47,4702.357421875
48,4545.33203125
49,4705.9853515625
50,4705.9931640625
51,4913.29296875
52,4733.62109375
53,4538.7080078125
54,5082.7392578125
55,4637.1923828125
56,4677.1865234375
57,4429.7841796875
58,4616.1787109375
59,5224.5771484375
60,4796.220703125
61,4665.1005859375
62,4940.8125
63,4852.515625
64,4742.6005859375
65,4360.685546875
66,4829.0244140625
67,5229.1875
68,4953.181640625
69,4630.150390625
70,5041.369140625
71,4624.0283203125
72,5121.4453125
73,4770.0625
74,4728.4833984375
75,4746.8818359375
76,4663.5400390625
77,4590.400390625
78,4697.7763671875
79,5125.486328125
80,5068.279296875
81,4966.494140625
82,4655.462890625
83,5052.056640625
84,4615.34765625
85,4836.6337890625
86,4910.9462890625
87,4646.2060546875
88,4604.921875
89,5123.0419921875
90,4870.0458984375
91,4521.61328125
92,4619.1962890625
93,4679.4423828125
94,4865.2314453125
95,4905.017578125
96,4865.1318359375
97,4527.1640625
98,4820.896484375
99,5143.638671875
100,4775.8310546875
101,4801.34765625
102,4744.7470703125
103,4447.654296875
104,4682.1005859375
105,4516.91796875
106,5015.560546875
107,4542.72265625
108,4844.359375
109,4743.0009765625
110,4567.1787109375
111,4791.8037109375
112,4662.962890625
113,4581.4267578125
114,4975.2568359375
115,5156.650390625
116,4557.5771484375
117,4454.4580078125
118,4640.251953125
119,4609.609375
120,4612.576171875
121,4821.11328125
122,4820.72265625
123,4787.1240234375
124,4811.0166015625
