Feature Index,Category,Score,Explanation
359,Undiscernible,1,"The activation levels across the tokens show no clear pattern or theme, suggesting random noise or irrelevant activations."
910,Low-level,3,"The activations are focused on specific words and tokens that suggest word-level polysemy. However, the consistency is not very strong, as the tokens do not form a clear, coherent pattern."
1799,Low-level,3,"The activations suggest a pattern related to common economic and global terms, indicating word-level associations. However, there are inconsistencies such as the token '200', which don't fit a clear pattern, leading to some ambiguity."
371,Undiscernible,1,"The activation data shows very low and similar activation values across tokens with no clear or consistent pattern, indicating a lack of discernible influence on specific token types."
204,Undiscernible,2,"The activations span across various unrelated tokens without a clear pattern or theme, suggesting randomness or irrelevance."
903,Undiscernible,1,"The activations do not reveal any consistent or clear pattern, suggesting random noise or irrelevant activations."
1450,Undiscernible,1,"The activations lack a clear pattern and seem random, indicating undiscernible feature characteristics."
1459,Low-level,2,"The activations are associated with tokens that suggest a vague theme of global or economic context, indicative of low-level word associations. However, the structure is not clearly defined."
1603,Undiscernible,1,"The activations show no clear pattern or consistent thematic focus, suggesting randomness typical of undiscernible features."
763,Undiscernible,1,"The activation values are low and there is no clear pattern or consistent theme among the activated tokens, indicating random or irrelevant activations."
1960,Undiscernible,2,"The activations are too broad and lack a consistent pattern, indicating a feature that may consist of noise or irrelevant activations."
1111,Low-level,3,"The activations show a general theme related to economic or global concepts, but there is inconsistency as no single strong pattern ties all tokens together clearly, indicating a word-level understanding of related topics."
1378,Undiscernible,1,"The activations show no clear pattern or consistent theme, with seemingly random tokens being activated at low levels."
1549,Undiscernible,1,"The activation values show no clear pattern or consistency among the tokens, indicating random noise or irrelevant activations."
229,Low-level,3,"The feature shows activation on specific tokens related to geopolitical and economic concepts, suggesting a low-level consideration of word-level semantics. However, the pattern is not entirely consistent, indicating some inconsistencies within the activation."
497,Undiscernible,2,"The activations show a broad theme with weak associations to economically-related terms but lack a clear and structured pattern, suggesting undiscernible noise."
498,Undiscernible,1,"The activation values show no clear pattern or consistent theme among the tokens, suggesting random noise and irrelevant activations."
303,Undiscernible,1,"The activations show very low values and don't indicate a clear or consistent pattern, suggesting random noise."
775,Low-level,3,"The tokens show activation around related concepts such as 'economic' and 'global', suggesting a theme, but the pattern is not strongly defined indicating potential word-level polysemy."
781,Undiscernible,1,The feature lacks a discernible pattern and comprises random or minor activations across different tokens without clear commonality.
2006,Undiscernible,1,"The activations lack a discernible pattern or clear theme, with low values spread across tokens with no apparent connection."
417,High-level,3,"The activations suggest a tendency towards high-level thematic concepts like economic terms, though the presence of low activations and some inconsistent tokens indicate partial relevance."
330,High-level,3,"The activations suggest a potential pattern around economic or global topics, but there are inconsistencies and no clear consistent theme without deeper context."
1014,Undiscernible,1,"The activations do not form a coherent pattern and appear random, with low relevance to any specific theme."
626,Undiscernible,1,"The activations shown do not reveal a clear pattern or theme related to specific content or structure, indicating noise or irrelevant activations."
