Batch,Average_L0
0,8278.8857421875
1,8277.466796875
2,8278.0068359375
3,8277.138671875
4,8276.6630859375
5,8277.544921875
6,8277.470703125
7,8277.009765625
8,8277.4091796875
9,8277.3779296875
10,8277.677734375
11,8276.92578125
12,8277.5048828125
13,8277.671875
14,8278.1357421875
15,8277.9248046875
16,8277.189453125
17,8277.0556640625
18,8278.2705078125
19,8277.9765625
20,8277.716796875
21,8277.6220703125
22,8278.634765625
23,8277.2392578125
24,8278.708984375
25,8276.5126953125
26,8277.357421875
27,8277.412109375
28,8277.9111328125
29,8278.0146484375
30,8277.3466796875
31,8277.2314453125
32,8276.8017578125
33,8277.669921875
34,8276.9189453125
35,8277.875
36,8277.5185546875
37,8277.22265625
38,8277.2841796875
39,8277.6328125
40,8277.7353515625
41,8278.0126953125
42,8277.1240234375
43,8276.8994140625
44,8276.9306640625
45,8277.9189453125
46,8276.572265625
47,8275.9443359375
48,8277.0634765625
49,8277.236328125
50,8277.96875
51,8277.7177734375
52,8277.37890625
53,8276.533203125
54,8277.6103515625
55,8278.2109375
56,8277.0078125
57,8277.533203125
58,8277.8916015625
59,8278.1484375
60,8277.6435546875
61,8277.7021484375
62,8277.4453125
63,8277.51953125
64,8277.8193359375
65,8277.447265625
66,8277.8876953125
67,8277.16796875
68,8277.7216796875
69,8277.3701171875
70,8276.8115234375
71,8277.0185546875
72,8276.9892578125
73,8277.671875
74,8277.65234375
75,8277.6171875
76,8277.5107421875
77,8276.5302734375
78,8276.68359375
79,8277.2919921875
80,8278.6767578125
81,8276.64453125
82,8277.0791015625
83,8277.4453125
84,8278.0263671875
85,8277.353515625
86,8277.6904296875
87,8277.7822265625
88,8277.3115234375
89,8278.3662109375
90,8276.826171875
91,8276.7548828125
92,8278.037109375
93,8277.091796875
94,8277.048828125
95,8277.2412109375
96,8277.3857421875
97,8276.947265625
98,8277.7685546875
99,8276.728515625
100,8277.287109375
101,8277.2158203125
102,8278.048828125
103,8276.8857421875
104,8276.8271484375
105,8277.412109375
106,8277.76953125
107,8278.021484375
108,8277.498046875
109,8277.310546875
110,8277.8603515625
111,8277.169921875
112,8277.5498046875
113,8278.1572265625
114,8276.8740234375
115,8277.7861328125
116,8277.0205078125
117,8277.033203125
118,8277.052734375
119,8277.3408203125
120,8276.744140625
121,8277.552734375
122,8277.755859375
123,8277.689453125
124,8277.0625
