Feature Index,Category,Score,Explanation
8489,Low-level,3,"The feature likely represents a theme of economic downturns with tokens like 'recession', 'crisis', and 'crashed'. While there is a clear overall pattern, some tokens like 'in' and 'leading' show inconsistencies, suggesting some word-level polysemy."
9072,Undiscernible,1,"The activations show no discernible pattern or clear association with a specific theme, indicating random noise or irrelevant activations."
15013,Undiscernible,1,"The activations are applied to tokens that do not show a discernible or consistent pattern, appearing to be unrelated without a clear theme indication."
2364,Low-level,3,"The tokens 'crisis', 'global', and 'market' show activation patterns related to economic themes, indicating a low-level feature focused on word semantics. However, some inconsistencies exist, such as the token ',', which does not contribute meaningfully to the identified theme."
11683,Undiscernible,1,"The activations appear random and do not display a discernible pattern, suggesting that the feature is undiscernible and likely corresponds to noise."
571,Low-level,4,"The feature shows a pattern around economic or financial terms like 'global', 'market', 'recession', and 'crashed', indicating word-level polysemy with minor deviation. This suggests low-level activation patterns with strong associations to specific concepts."
9191,Low-level,3,"The activations show a pattern related to economic terms, possibly indicating a feature related to economic discussions, but there are minor variances in activation strengths suggesting some inconsistencies."
8532,Low-level,3,"The activation values show a focus on word-level tokens related to economic themes, suggesting a low-level feature with some inconsistencies, as not all tokens are clearly related to a cohesive pattern."
4418,Low-level,3,"The activations suggest focus on financial/economic terms, indicating word-level polysemy but with some inconsistencies in theme, like the activation of 'the'."
3266,Undiscernible,1,The activations are scattered across unrelated tokens with no discernible pattern of relevance to a specific feature.
15951,Low-level,4,"The activated tokens are related to economic terminology, suggesting a low-level feature related to specific word senses. The pattern is clear with minimal deviation."
5584,Undiscernible,1,The activations lack a discernible pattern; tokens do not share a clear meaningful theme or polysemic characteristic.
1410,Low-level,3,"The activations are related to economic and market terms, indicating a theme, but 'the' does not fit this theme, suggesting some inconsistency in activation."
9540,Undiscernible,1,"The activations are for common tokens and punctuation without a discernible pattern, suggesting random noise or irrelevant activations."
13926,Undiscernible,1,"The activation values show no clear pattern or theme, indicating random or irrelevant activations across tokens."
