Batch,Average_L0
0,12210.9169921875
1,12198.76171875
2,12183.841796875
3,12184.9306640625
4,12173.6982421875
5,12158.697265625
6,12193.86328125
7,12163.96484375
8,12180.767578125
9,12160.0732421875
10,12192.0595703125
11,12183.3876953125
12,12191.1318359375
13,12183.6240234375
14,12174.845703125
15,12182.044921875
16,12186.859375
17,12193.28125
18,12196.01953125
19,12201.6591796875
20,12172.9580078125
21,12177.0595703125
22,12197.0546875
23,12195.4794921875
24,12206.958984375
25,12194.57421875
26,12180.220703125
27,12178.462890625
28,12169.4140625
29,12169.501953125
30,12185.8955078125
31,12159.333984375
32,12163.666015625
33,12164.4423828125
34,12178.3291015625
35,12198.392578125
36,12174.9892578125
37,12185.5361328125
38,12194.7373046875
39,12195.3388671875
40,12167.41015625
41,12180.380859375
42,12190.8173828125
43,12194.1396484375
44,12172.3994140625
45,12197.755859375
46,12169.50390625
47,12178.0302734375
48,12185.4423828125
49,12168.71875
50,12176.703125
51,12164.5947265625
52,12174.23046875
53,12155.9423828125
54,12171.88671875
55,12198.048828125
56,12171.60546875
57,12180.802734375
58,12195.166015625
59,12185.5302734375
60,12186.3662109375
61,12201.771484375
62,12178.6455078125
63,12165.810546875
64,12180.3447265625
65,12167.75390625
66,12212.9169921875
67,12188.287109375
68,12169.3720703125
69,12166.1572265625
70,12168.4296875
71,12188.1943359375
72,12162.892578125
73,12170.82421875
74,12175.48828125
75,12193.248046875
76,12164.5556640625
77,12136.7021484375
78,12179.138671875
79,12203.1943359375
80,12201.7822265625
81,12171.6142578125
82,12189.138671875
83,12191.740234375
84,12184.0498046875
85,12187.5107421875
86,12191.796875
87,12194.4189453125
88,12195.1044921875
89,12200.5947265625
90,12176.005859375
91,12178.712890625
92,12170.533203125
93,12184.82421875
94,12188.9931640625
95,12194.23828125
96,12202.5322265625
97,12161.9794921875
98,12180.2158203125
99,12168.3193359375
100,12193.4912109375
101,12182.546875
102,12177.974609375
103,12176.8837890625
104,12177.927734375
105,12188.0517578125
106,12173.3720703125
107,12177.73828125
108,12181.9443359375
109,12150.27734375
110,12175.82421875
111,12177.9775390625
112,12179.5673828125
113,12175.466796875
114,12194.7236328125
115,12189.9501953125
116,12166.9111328125
117,12174.8349609375
118,12166.8515625
119,12173.412109375
120,12180.2509765625
121,12180.67578125
122,12193.71875
123,12179.6669921875
124,12188.2099609375
