Feature Index,Category,Score,Explanation
10328,Undiscernible,1,"The activations do not show a clear pattern or theme, with tokens being largely generic and not indicative of either low-level or high-level patterns."
12632,Undiscernible,1,"The activations span across various common tokens without a coherent pattern, indicating noise or irrelevant activations."
15791,Low-level,4,"The feature shows a clear pattern of activating tokens related to economic terms ('recession', 'market', 'crashed'), suggesting a word-level polysemy focus. There is one deviation with 'during'."
8727,Low-level,5,"The tokens show a consistent pattern related to economic downturns, indicating a clear and focused topic typical of low-level features."
10849,Low-level,4,"The tokens activated are related to economic terminology, showing a clear pattern of word-level polysemy, but with a minor deviation with 'The', which slightly reduces the monosemanticity score."
6218,Undiscernible,1,"The activation values do not show a clear, consistent pattern associated with either low-level or high-level features. The activations seem random and lack discernibility."
7967,Low-level,3,"The activations focus on words related to global issues and events, such as 'global', 'recession', and 'crisis', indicating a clear but not entirely consistent low-level pattern."
7495,Low-level,2,"The activations suggest a focus on common tokens without a clear and structured theme, indicative of low-level polysemy or word-level associations with broad and unstructured relevancy."
11877,Undiscernible,1,"The activations on common and unrelated tokens suggest no clear pattern, indicating random or irrelevant activations."
11349,Undiscernible,1,"The tokens 'leading', 'recession', 'market', 'global', and 'during' do not reveal a clear or consistent pattern, and the activation levels are relatively similar, indicating random noise or irrelevant activations."
7529,Undiscernible,1,"The activations show no clear pattern, with seemingly random tokens like common punctuation and generic words being activated, suggesting no meaningful structure."
15214,High-level,3,"The feature shows a consistent activation pattern with terms related to economic downturns, indicating a broad theme but with some inconsistencies like 'leading'."
15015,Undiscernible,1,"The activation values show no clear pattern or coherent theme among the activated tokens, indicating random noise or irrelevant activations."
4075,Undiscernible,1,"The activations are on seemingly unrelated tokens with no consistent pattern or clear theme, indicating random or irrelevant activations."
15157,Undiscernible,1,"The activations show no clear or cohesive pattern, with seemingly arbitrary associations to different tokens, indicating random noise or irrelevant activations."
344,Low-level,4,The tokens have a clear association with economic concepts indicating a word-level polysemy feature related to economic situations. There is a coherent theme with only minor deviations.
9237,Undiscernible,1,"The activations do not form a clear pattern or theme, resembling random noise rather than a consistent feature."
14445,Low-level,3,"The feature shows relevance to economically related words, especially in contexts of negative events ('crisis', 'crashed'). However, it also activates with generic words ('the', 'during'), suggesting some inconsistency."
14635,Low-level,3,"The activations are centered around tokens related to financial concepts ('market', 'crisis', 'crashed'), indicating a low-level feature with an overall pattern, though there is some inconsistency with the presence of non-financial tokens like '200' and ','."
11336,Low-level,4,"The feature shows a clear pattern of activation around economic terms such as 'market', 'crashed', 'recession', and 'crisis', indicating a low-level feature related to words associated with economic downturns. There is a minor deviation with the token 'Ġ' not strongly fitting the pattern."
5575,Low-level,3,"The feature primarily activates around market-related terms like 'crisis', 'market', and 'crashed', indicating a word-level polysemy pattern. However, there are some inconsistencies with tokens like 'The' and 'in' receiving activation, suggesting a clear overall pattern but with some deviations."
9056,Undiscernible,1,"The activations show no clear or consistent pattern, with tokens related to a variety of themes, indicating random noise or irrelevant activations."
217,Undiscernible,1,"The activations are distributed across common and unrelated tokens like '200', 'during', 'crisis', and 'the', showing no clear pattern or thematic relevance."
