Feature Index,Category,Score,Explanation
938,Low-level,2,"The feature shows a slight tendency to word-level polysemy with words like 'market', 'crashed', and 'crisis', indicating a theme around financial or economic contexts. However, the activation levels are not strong and consistent enough to show a clear pattern."
1292,Undiscernible,1,"The activations do not indicate a clear or consistent pattern relating to either low-level or high-level features, suggesting random noise or irrelevant activations."
1229,Undiscernible,1,"The activations lack a clear pattern or theme, suggesting random noise and irrelevance."
1568,Low-level,3,"The feature predominantly activates around finance-related tokens ('market', 'stock', 'crashed', 'crisis'), which suggests a pattern but also includes a general token ('in'), indicating some inconsistency. Therefore, it's classified as a low-level feature with an overall pattern but some noise."
837,Low-level,3,"The feature shows some consistency in activating around the theme of 'economic downturn', as indicated by tokens like 'economic', 'crisis', 'market', and 'crashed'. However, there are inconsistencies, such as the activation of the token 'The', which do not align with the core theme, resulting in a moderate monosemantic score."
1097,Low-level,3,"The activations focus on words related to economic downfall ('crisis', 'crashed') with some inconsistencies ('market', 'the'). Clear pattern indicating polysemy, but with minor deviations."
1060,Undiscernible,1,"The activations do not display a clear or consistent pattern, and the tokens appear unrelated, suggesting random noise or irrelevant activations."
80,Undiscernible,1,"The activation values are scattered without a consistent pattern or theme, leaning towards randomness or noise with no clear association to a specific low-level or high-level feature."
323,Undiscernible,1,"The feature shows no discernible pattern as the tokens '. ', 'begin_of_text', 'during', 'the', and 'in' do not present a clear or consistent theme or pattern. Activation levels appear to be random and irrelevant."
1741,Undiscernible,1,"The activations across tokens like 'crisis', 'during', 'crashed', 'the', and 'The' show no clear pattern or theme, and appear random and inconsistent, suggesting it does not align with either low-level or high-level categorization."
910,Low-level,3,"The tokens activated suggest a theme around financial events such as markets and crises, indicating a low-level feature focused on word-level polysemy, but with some inconsistencies."
1828,Low-level,3,"The feature seems to activate around economic and financial terms ('economic', 'crisis', 'stock') but 'The' and '200' show some inconsistency. This suggests a prevalent theme but with some inconsistencies."
626,Low-level,3,"The feature seems to activate around words related to economic situations, indicating a theme, but with some inconsistencies in the activation values."
1053,Undiscernible,1,"The activations do not show a clear or consistent pattern, with moderately high activation values distributed across unrelated tokens, suggesting random noise."
1933,Low-level,3,"The feature shows some level of specificity with activations on words related to a certain context (e.g., 'market', 'stock', 'crisis'), suggesting a low-level pattern. However, there's some inconsistency with the inclusion of tokens like '.' and 'during', leading to a score of 3."
569,Low-level,3,"The activations seem to focus on a broad theme related to financial or economic contexts with words like 'crisis', 'crashed', and 'stock'. However, the inclusion of more general words like 'during' and 'in' indicates some inconsistency in the pattern, suggesting a word-level polysemy feature with some variability."
1711,Undiscernible,1,"The activations do not show a clear pattern or theme among the tokens, indicating random noise or irrelevant activations."
1776,Undiscernible,1,"The activations do not demonstrate a clear or consistent pattern; the tokens are common and their relevance is unclear, suggesting random activation or noise."
1798,Undiscernible,1,"The activations are low and do not reveal a clear pattern or theme across the tokens. The values are close together, showing no significant relevance to any specific concept or structure, suggesting random noise or irrelevant activations."
598,Low-level,3,"The tokens such as 'crashed', 'market', and 'crisis' indicate a low-level pattern associated with economic downturns, but there are some inconsistencies with tokens like 'during' which suggest a less monosemantic interpretation."
1271,Undiscernible,1,"The activations do not suggest a clear pattern or specific category, showing no strong association with either low-level or high-level features."
