Batch,Average_L0
0,120.8203125
1,124.658203125
2,121.4814453125
3,121.869140625
4,134.5244140625
5,125.5439453125
6,121.619140625
7,126.3740234375
8,123.345703125
9,126.69921875
10,125.263671875
11,120.91015625
12,124.7958984375
13,124.6064453125
14,123.7587890625
15,127.626953125
16,128.3046875
17,120.9208984375
18,119.2783203125
19,120.6455078125
20,130.8828125
21,119.505859375
22,123.251953125
23,128.283203125
24,124.98046875
25,124.365234375
26,138.53515625
27,125.74609375
28,129.3603515625
29,128.1962890625
30,124.1435546875
31,118.9541015625
32,130.525390625
33,127.671875
34,126.3779296875
35,116.7353515625
36,128.1015625
37,127.9482421875
38,126.3291015625
39,125.2099609375
40,130.4765625
41,125.947265625
42,121.333984375
43,129.2509765625
44,129.4150390625
45,117.6943359375
46,126.6162109375
47,120.3486328125
48,128.5712890625
49,120.9990234375
50,126.1748046875
51,123.9697265625
52,130.83984375
53,139.2314453125
54,127.7138671875
55,126.0361328125
56,125.701171875
57,121.7578125
58,123.8115234375
59,124.2890625
60,117.09765625
61,118.1533203125
62,128.2705078125
63,127.646484375
64,123.7001953125
65,124.53515625
66,118.935546875
67,127.859375
68,124.6689453125
69,135.1328125
70,127.7958984375
71,126.8173828125
72,137.5517578125
73,116.7041015625
74,130.197265625
75,129.2783203125
76,129.9736328125
77,126.7578125
78,129.4013671875
79,117.4794921875
80,124.5849609375
81,128.94140625
82,124.724609375
83,124.0537109375
84,120.4716796875
85,116.6181640625
86,122.50390625
87,114.5517578125
88,124.2392578125
89,121.4931640625
90,125.529296875
91,122.5791015625
92,125.419921875
93,131.1513671875
94,118.5380859375
95,117.142578125
96,123.76171875
97,130.912109375
98,129.583984375
99,135.7333984375
100,121.216796875
101,122.486328125
102,124.7158203125
103,123.537109375
104,126.1943359375
105,129.22265625
106,122.9990234375
107,119.087890625
108,124.9541015625
109,140.19140625
110,126.791015625
111,122.21875
112,118.4033203125
113,119.548828125
114,130.3017578125
115,123.046875
116,128.44921875
117,124.55859375
118,128.130859375
119,121.2470703125
120,124.173828125
121,122.24609375
122,125.8642578125
123,120.4775390625
124,121.7158203125
