Batch,Average_L0
0,66.27734375
1,68.3271484375
2,66.9091796875
3,65.6259765625
4,79.5458984375
5,70.8486328125
6,66.771484375
7,75.001953125
8,70.875
9,68.7685546875
10,67.806640625
11,68.1748046875
12,71.8125
13,70.3154296875
14,66.658203125
15,72.390625
16,71.701171875
17,69.9140625
18,63.6982421875
19,65.0634765625
20,70.853515625
21,69.416015625
22,67.23046875
23,72.298828125
24,68.53515625
25,68.435546875
26,79.6796875
27,73.001953125
28,65.9140625
29,73.80078125
30,68.1064453125
31,69.689453125
32,74.712890625
33,73.8388671875
34,71.6494140625
35,62.037109375
36,73.611328125
37,70.8369140625
38,68.478515625
39,67.5791015625
40,71.994140625
41,68.2578125
42,66.123046875
43,71.4541015625
44,76.0703125
45,69.025390625
46,70.4189453125
47,68.0283203125
48,74.2177734375
49,66.90234375
50,70.6875
51,70.0478515625
52,73.5966796875
53,81.39453125
54,75.11328125
55,68.521484375
56,70.6533203125
57,66.6962890625
58,66.6875
59,70.0634765625
60,64.748046875
61,60.8310546875
62,74.048828125
63,76.46484375
64,70.6015625
65,65.7998046875
66,64.1103515625
67,68.5791015625
68,71.123046875
69,76.6298828125
70,76.5478515625
71,71.375
72,82.095703125
73,65.5234375
74,66.62890625
75,74.6328125
76,72.330078125
77,74.4814453125
78,71.0048828125
79,61.294921875
80,66.044921875
81,73.1318359375
82,70.03125
83,66.8583984375
84,65.6259765625
85,64.4697265625
86,69.76171875
87,58.599609375
88,68.6953125
89,66.533203125
90,69.2548828125
91,68.7255859375
92,69.4296875
93,73.2041015625
94,67.0703125
95,65.6103515625
96,69.4052734375
97,75.8427734375
98,72.9375
99,77.5751953125
100,66.1201171875
101,71.6982421875
102,71.359375
103,74.13671875
104,75.048828125
105,70.1025390625
106,64.5751953125
107,67.7939453125
108,74.072265625
109,77.458984375
110,73.4755859375
111,71.7216796875
112,65.2216796875
113,67.369140625
114,73.5673828125
115,66.2705078125
116,70.6533203125
117,70.1376953125
118,71.87109375
119,68.5625
120,71.4462890625
121,69.3369140625
122,70.4970703125
123,63.4453125
124,66.630859375
