Feature Index,Category,Score,Explanation
1026,High-level,3,"The feature seems to activate for related financial terms such as 'stock', 'crisis', and 'market', suggesting a theme around financial contexts, but the activations for 'in' and '8' indicate some inconsistencies in the pattern."
730,Undiscernible,1,"The activations do not reveal a clear or consistent pattern relevant to either low-level or high-level features, with random tokens showing weak associations."
696,Undiscernible,1,"The activations display no discernible pattern related to low-level or high-level features, and appear random and inconsistent."
1146,Undiscernible,1,"The activations show no clear pattern or thematic coherence among the tokens, appearing random or noise-like."
1742,Low-level,3,"The activations on tokens like 'crisis', 'market', and 'stock' suggest a potential focus on economic terms, indicating a low-level feature related to specific concepts. However, the activation of '8' and the gap token suggests some inconsistency in the pattern, resulting in a moderate monosemanticity score."
264,Undiscernible,1,"The activation values do not show a clear or consistent pattern, indicating random noise or irrelevant activations."
1060,Low-level,3,"The activations appear related to numbers and specific phrases, suggesting a low-level pattern. However, the pattern is not entirely consistent, indicating some inconsistencies."
1371,Low-level,3,"The activations show moderate consistency; words like 'crisis' and 'economic' suggest a specific topic, fitting low-level feature polysemy. However, the presence of numbers without clear contextual relevance introduces some inconsistencies."
1431,Undiscernible,1,"The activation values show no clear pattern as they are associated with tokens that do not exhibit a coherent theme or structure, indicating random activation."
1387,Undiscernible,1,The low activation values and the selection of common words with no clear thematic or structural connection suggest no discernible pattern.
553,Undiscernible,1,"The feature shows no clear pattern among the activations, with values spread across unrelated tokens, indicating no discernible common theme or structure."
1084,Low-level,3,"The feature shows activation for specific tokens like 'crisis', 'during', '8', and 'crashed', suggesting moderate consistency with word-level associations, but some inconsistency with the broad variety of tokens activated."
1835,Low-level,3,"The activations indicate a focus on economic terms, suggesting a low-level polysemy feature. However, 'The' introduces some inconsistency, indicating an overall pattern with minor inconsistencies."
1807,Low-level,2,"The activations relate to economic terms and numbers, suggesting a broad theme of economic data. However, the pattern lacks clear structure, hence the low-level classification with a score of 2."
215,Undiscernible,1,The activation values do not show a clear pattern or relevance to a specific low-level or high-level feature. The activations are distributed among common tokens without indicating a cohesive theme or structure.
1653,Undiscernible,1,"The activations show no clear pattern or meaningful theme, with random tokens activated at low levels indicating noise or irrelevant associations."
419,Low-level,3,"This feature shows moderate activation around economic contexts, with 'economic', 'crashed', and 'market' suggesting a focus on economy-related terms. However, the inclusion of 'The' and 'during' with similar activation values introduces some noise, indicating a clear but inconsistent pattern."
900,Low-level,4,"The tokens indicate a clear pattern related to economic terms and contexts, suggesting a low-level feature focusing on word-level semantics with one or two deviations."
1842,Low-level,3,"The tokens suggest a theme related to economic or market events (e.g., 'market crisis', 'crashed'), indicating a pattern consistent with word-level polysemy. However, the presence of more abstract or less specifically themed tokens like '8' and 'during' introduces some inconsistencies, suggesting a low-level feature with a clear overall pattern but with some variations."
34,Undiscernible,1,"The activation values are associated with tokens ('economic', 'during', 'in', 'stock') that do not show a clear or consistent pattern, indicating random noise or irrelevant activations."
22,Low-level,3,"The activations show a clear association with economic terms, indicative of polysemous usage in finance-related contexts, but there are some inconsistencies such as with numeric token '8'."
824,Low-level,3,"The tokens activated appear to revolve around a financial or economic theme, indicating a low-level feature related to specific word semantics. However, the presence of '8' suggests some inconsistency, preventing a higher score."
563,Low-level,3,"The activations suggest a pattern focusing on economic contexts, with relevant tokens like 'economic', 'market', and 'crisis'. However, the inclusion of tokens like 'during' and '8' introduces some inconsistencies, thus meriting a score of 3."
1812,Undiscernible,1,"The activations show no clear pattern or consistent theme, indicating noise or irrelevant activations across diverse tokens."
39,Undiscernible,2,"The tokens activated (200, 8, Ġcrisis, The, Ġcrashed) do not display a consistent pattern indicating a clear high-level or low-level feature. The activations appear random and do not strongly align with a specific theme or structure."
781,Low-level,3,"The activations show a pattern related to economic events or terms such as 'economic', 'stock', and 'crashed', indicating a low-level feature focusing on word-level polysemy with some inconsistencies."
1656,Undiscernible,1,"The activation values do not show a clear, consistent pattern but rather seem random and unconnected, indicating this feature likely represents noise or irrelevant data."
908,High-level,3,"The activations are related to economic contexts which suggests a theme, possibly indicating high-level long-range patterning, though with some inconsistencies due to the presence of numerical tokens."
1655,Low-level,3,The feature mostly relates to polysemic terms involving financial aspects but has some inconsistent activations such as '200' and '8'.
1291,Undiscernible,2,"The activations do not show a clear, consistent pattern. The tokens with higher activation values do not suggest a coherent theme or structure, indicating noise or irrelevant activations."
477,Undiscernible,1,The feature activation data shows no clear or consistent pattern among the tokens. Activations appear random and do not align with either low-level or high-level feature definitions.
354,Low-level,3,"The activations show a tendency towards words related to economic contexts like 'crisis', 'stock', and 'crashed', suggesting a pattern. However, standard words like 'The' and 'during' have similar activation levels, indicating some inconsistencies typical of low-level polysemy."
1923,Undiscernible,1,"The activations across tokens do not reveal any clear or consistent pattern, indicating the feature is likely noise or irrelevant."
691,Low-level,3,"The activations suggest a clear theme related to economic terminology, indicative of word-level polysemy. However, the presence of numeric tokens introduces some inconsistency."
1986,Low-level,3,"The feature activates around specific words that may relate to polysemy such as 'crashed' and 'economic', showing a low-level association with word meanings. However, the pattern is not completely consistent as some tokens like 'The' show irrelevant activation."
441,Undiscernible,1,The activations do not show a clear or consistent pattern; the tokens activated are common words without strong semantic connection.
535,Undiscernible,1,"The activations do not show a clear pattern or theme, as the tokens activated ('Ġthe', 'Ġduring', '200', 'Ġ', 'Ġin') do not indicate any coherent low-level or high-level feature, suggesting random noise or irrelevant activations."
244,Undiscernible,1,"The activation values are low and do not exhibit a consistent pattern or association with a discernible concept, indicating random noise or irrelevant activations."
240,Undiscernible,1,The feature activation data lacks a clear pattern as most activations are low and scattered without a consistent thematic or structural alignment. This suggests the token activations might be random or noisy.
1266,Low-level,4,"The activations show a clear pattern related to financial terms, such as 'market', 'crashed', and 'stock', indicating a possible polysemy or thematic cohesion at the word level, with minimal deviating examples like 'during' and '200'."
729,Undiscernible,1,"The activations are dispersed across unrelated tokens without a coherent pattern, indicating random noise or irrelevant activations."
496,Undiscernible,1,The activations do not reveal any consistent pattern or theme; they seem random and unrelated.
573,Undiscernible,1,"The activation values do not show a clear pattern or consistent theme across the tokens, suggesting the feature lacks discernible structure."
290,Undiscernible,1,The feature activations do not exhibit a consistent pattern or clear association with a discernible concept.
701,Low-level,4,"The feature shows a pattern of activating on terms related to financial downturns (e.g., 'crashed', 'market', 'crisis') with strong activation on these tokens. The presence of one or two non-related activations ('200', 'the') introduces minor deviation but does not obscure the clear theme of financial turmoil."
381,Undiscernible,1,"The activation values across the tokens show no clear pattern or common theme, with scattered and low activations indicating random noise or irrelevant activations."
113,Undiscernible,1,"The activations show no clear or discernible pattern, with tokens such as 'stock', 'economic', and others having varying levels of activation, indicating randomness and irrelevance."
788,Undiscernible,1,"The feature activation data shows no clear pattern or consistent theme, with seemingly random activations across various tokens."
323,Undiscernible,1,"The activation values do not show a clear pattern or association with either low-level or high-level features, indicating randomness and lack of discernible structure."
1556,Low-level,3,"The feature appears to relate to financial terms associated with markets and crises, indicating a low-level lexical pattern related to finance. However, the activation on '8' introduces an inconsistency, thus decreasing the score."
1511,Undiscernible,1,"The activations lack a clear and consistent pattern, and include common tokens with no apparent thematic or structural coherence, indicating random noise or irrelevant activations."
1407,Low-level,3,"The activations show a tendency towards specific words related to finance (e.g., 'crashed', 'stock'), suggesting polysemy at the word level. However, there's some inconsistency with generic tokens like '8', 'The', and 'Ġ', indicating a clear pattern but with some inconsistencies."
1472,Undiscernible,1,"The activations do not exhibit a clear pattern or theme. The tokens activated do not share a consistent attribute or meaning, indicating a lack of discernible pattern."
460,Undiscernible,1,"The activation levels are low and lack a discernible pattern, making it difficult to categorize the feature as low-level or high-level."
881,Low-level,3,"The activations show a focus on economic-related terms which suggests a low-level feature capturing some aspect of economic discussions. However, the pattern is not entirely consistent, as the activations are relatively close but do not form a strong, clear pattern with little deviation."
1292,Undiscernible,1,"The activation pattern shows no clear theme or consistent high activations. Tokens like 'The' and 'during' are activated similarly without a coherent pattern, suggesting random noise."
1155,Low-level,3,"The activation values suggest a focus on specific tokens related to a market or financial context, indicating word-level polysemy. However, there are some inconsistencies with the activation of general tokens like 'The' and 'Γin'."
1776,Undiscernible,1,"The activation values do not follow a clear or consistent pattern, suggesting random or irrelevant activations."
846,Undiscernible,1,"The activations across the tokens do not show a clear pattern or thematic consistency, indicating randomness and irrelevance, characteristic of undiscernible features."
1280,Undiscernible,1,"The activation values provided do not show a clear or consistent pattern associated with any meaningful text features, suggesting randomness or noise."
828,Undiscernible,1,"The activations across the tokens do not exhibit a clear or consistent pattern, suggesting random or irrelevant activations typical of undiscernible features."
103,Low-level,4,"The tokens with high activation ('stock', 'crisis', 'market', 'crashed') suggest a consistent theme related to financial terms, indicating a low-level feature capturing specific word-level polysemy. There is minor deviation with 'The' showing some activation but it does not heavily impact the overall pattern."
884,Low-level,3,"There is a discernible pattern related to words associated with economic downturns like 'crashed' and 'crisis,' but there are inconsistencies with other tokens like 'market' having lower activation."
149,Low-level,3,"The tokens activated such as 'economic', 'crashed', 'during', and 'crisis' suggest a focus on economic downturns or events, indicating a low-level feature related to word or phrase semantics. However, the inclusion of '200' without a clear relation to the theme introduces some inconsistency."
1744,Undiscernible,1,"The activation data shows no clear pattern, with random tokens having activation values, indicating noise or irrelevant activations."
1551,Low-level,2,"The feature shows activation for related economic terms such as 'crashed', 'economic', and 'stock', indicating a low-level, word-level association. However, it lacks a clear structure as the activation values are relatively low and involve common tokens like 'The', suggesting only a broad theme without strong consistency."
586,Low-level,3,"The feature activates on tokens like 'market', 'crashed', and 'crisis', suggesting a financial theme. However, the activation is not entirely consistent, given tokens like 'in' and random numbers like '8'."
195,Low-level,4,"The feature consistently activates on tokens related to financial terms ('market', 'economic', 'stock', 'crashed', 'crisis'), indicating a clear pattern, but there are one or two tokens ('crashed') that deviate slightly from strictly financial terms."
267,Undiscernible,1,"The activation data does not show a clear pattern or theme, with activations on seemingly unrelated tokens."
1205,Low-level,4,"The activations show a clear pattern related to economic terms and concepts, with one or two non-core terms like 'The' suggesting slight inconsistencies."
302,Low-level,2,"The activations revolve around economic-related terms like 'market' and 'stock', suggesting a broad economic theme without clear structure, fitting low-level, word-level analysis."
435,Undiscernible,1,"The activations are distributed among common tokens like 'the', 'in', and 'during' without forming any discernible pattern or structure, suggesting random noise rather than a meaningful feature."
1666,Undiscernible,1,"The activations do not show a clear or consistent pattern across tokens, indicating random noise or irrelevant activations."
1933,Undiscernible,1,"The activations across tokens like 'crashed', 'crisis', 'market', '200', and 'during' do not show a clear, consistent pattern or specific thematic focus, resembling random noise."
862,Undiscernible,1,"The activations are associated with a mix of tokens with no clear pattern or theme, suggesting random noise."
1065,Undiscernible,1,"The activations do not show a consistent pattern or clear theme, indicating random or irrelevant associations."
1659,Low-level,3,"The tokens show some relevance to financial aspects or crises, indicating a pattern related to economic events. However, there is variation with terms like 'crushed things' or general tokens like 'the', causing some inconsistencies."
1127,Low-level,3,"The tokens have a loose association with economic downturns (e.g., 'crashed', 'crisis'), reflecting word-level polysemy. There are some variations with 'economic' and 'during', contributing to minor inconsistencies."
1445,Undiscernible,1,"The activation values do not show a clear or consistent pattern related to any specific linguistic structure or theme. The activated tokens appear to be random and unrelated, indicating a lack of discernible feature."
26,Undiscernible,1,"The activations show no discernible pattern or thematic consistency and seem random, indicating the feature does not align with any distinguishable category."
209,Undiscernible,1,"The activations seem random and do not indicate a clear pattern or association with a specific type of feature, with varied tokens activated and no cohesive theme apparent."
18,Undiscernible,1,"The feature activations show no clear pattern or theme and include generic tokens and low activation values, consistent with random noise or irrelevant activations."
1157,Low-level,4,"The feature activates around tokens related to economic contexts such as 'stock', 'crisis', and 'economic', indicating a clear pattern with some minor inconsistencies."
1000,Low-level,3,"The activations show a pattern where tokens related to significant events or states ('crisis', 'crashed') have higher activations, indicating a word-level polysemy focused on impactful terms, though there is some inconsistency given the presence of common tokens like 'the' receiving moderate activations."
1425,Low-level,3,"The activations are related to economic and financial concepts (e.g., 'crashed', 'stock', 'crisis', 'economic'). This demonstrates a clear pattern with some consistency, suggesting a polysemy related to economic contexts. However, there are a few inconsistencies, such as the activation of '8,' indicating some variability in the pattern."
1932,Undiscernible,1,The activations are applied to common tokens with no discernible pattern or thematic coherence suggesting random noise or irrelevant activations.
856,Undiscernible,1,"The activations do not exhibit a clear pattern or thematic consistency, appearing to highlight random tokens without a discernible correlation or structure."
1496,Low-level,4,"The tokens (economic, during, crashed, stock) suggest a theme around economic events or contexts, indicating a low-level pattern related to specific word associations, with minor inconsistency due to the presence of 'The'."
225,Low-level,3,"The activations show a clear pattern related to finance with terms like 'stock', 'market', and 'crisis', but the presence of 'during' adds some inconsistency, affecting the monosemanticity score."
653,Low-level,4,"The feature activates around word-level polysemy indicating concept association with 'crisis' and 'crashed', showing a pattern with minor deviations."
1618,Undiscernible,1,"The activations appear random without a discernible pattern or thematic structure, indicating it does not pertain to a meaningful linguistic feature."
1503,Undiscernible,1,"The feature's activations are mostly random and unrelated, with the largest activation corresponding to a beginning of text token, indicating no clear pattern or consistent theme."
1314,Undiscernible,1,The activations show no discernible pattern as the tokens activated do not form a consistent theme or recognizable pattern.
735,Undiscernible,1,"The activation values do not indicate a clear pattern related to a specific concept or category beyond random noise, especially given the extreme value for a non-relevant token."
2037,Undiscernible,1,"The activations do not display a clear or consistent pattern related to either low-level or high-level features, as the activations vary greatly with an unexpectedly high value for a structurally irrelevant token."
1619,Undiscernible,1,"There is no discernible pattern among the activated tokens, with the 'begin_of_text' token showing a significantly higher activation than others, suggesting random noise."
1002,Undiscernible,1,"The activations show no clear pattern or theme, with a high activation on <|begin_of_text|> suggesting noise, making it undiscernible."
762,Undiscernible,1,"The feature lacks a clear pattern as the activation values do not suggest a discernible structure or theme, with the only high activation being on the special token <|begin_of_text|>, implying noise or random activation."
894,Undiscernible,1,"The activation values show no clear pattern, as the <|begin_of_text|> token has an unusually high activation compared to others, suggesting random noise or irrelevant activations."
1703,Undiscernible,1,"The feature shows no clear pattern or consistent theme among the token activations, with a very high activation for <|begin_of_text|> overshadowing all other values."
