Batch,Average_L0
0,8032.5048828125
1,8039.9951171875
2,8026.7744140625
3,8030.5732421875
4,8027.1005859375
5,8028.544921875
6,8032.8798828125
7,8023.3154296875
8,8027.8388671875
9,8024.2509765625
10,8032.294921875
11,8030.25
12,8032.9794921875
13,8029.126953125
14,8023.9697265625
15,8023.880859375
16,8028.830078125
17,8013.560546875
18,8025.986328125
19,8033.587890625
20,8030.5439453125
21,8022.1474609375
22,8033.0625
23,8026.4775390625
24,8042.2822265625
25,8030.3876953125
26,8028.701171875
27,8023.4873046875
28,8038.1474609375
29,8024.5927734375
30,8035.193359375
31,8026.904296875
32,8021.873046875
33,8024.41015625
34,8024.5458984375
35,8030.521484375
36,8033.69921875
37,8028.9814453125
38,8040.529296875
39,8036.0537109375
40,8028.119140625
41,8030.5029296875
42,8029.833984375
43,8017.0595703125
44,8031.234375
45,8024.44140625
46,8026.099609375
47,8023.302734375
48,8023.3369140625
49,8023.8916015625
50,8027.0380859375
51,8023.96875
52,8025.767578125
53,8015.3115234375
54,8025.4404296875
55,8030.0546875
56,8019.4775390625
57,8022.5
58,8026.19140625
59,8037.5380859375
60,8026.708984375
61,8039.7763671875
62,8028.6005859375
63,8029.7578125
64,8026.330078125
65,8021.4521484375
66,8033.998046875
67,8039.6875
68,8027.1796875
69,8023.634765625
70,8034.9375
71,8024.3740234375
72,8032.892578125
73,8019.775390625
74,8029.220703125
75,8026.5634765625
76,8021.1142578125
77,8013.3359375
78,8030.5693359375
79,8042.4130859375
80,8039.255859375
81,8033.029296875
82,8022.2861328125
83,8035.51953125
84,8023.173828125
85,8036.06640625
86,8038.1455078125
87,8028.708984375
88,8027.3408203125
89,8039.0234375
90,8025.693359375
91,8024.3212890625
92,8022.7939453125
93,8025.5478515625
94,8034.8818359375
95,8026.970703125
96,8035.4580078125
97,8019.701171875
98,8031.9931640625
99,8030.8408203125
100,8027.705078125
101,8034.3203125
102,8019.404296875
103,8018.1455078125
104,8027.2109375
105,8027.35546875
106,8038.8515625
107,8023.419921875
108,8027.4619140625
109,8019.73046875
110,8023.7841796875
111,8026.126953125
112,8029.369140625
113,8024.3681640625
114,8034.619140625
115,8041.8056640625
116,8025.1669921875
117,8025.0517578125
118,8023.8076171875
119,8022.6953125
120,8024.51953125
121,8028.390625
122,8025.357421875
123,8026.6513671875
124,8033.986328125
