Batch,Average_L0
0,10745.619140625
1,10750.7255859375
2,10744.8369140625
3,10746.611328125
4,10739.7353515625
5,10745.359375
6,10744.947265625
7,10738.69921875
8,10740.427734375
9,10745.396484375
10,10748.4091796875
11,10745.751953125
12,10741.62109375
13,10743.056640625
14,10741.58984375
15,10737.5703125
16,10740.478515625
17,10726.513671875
18,10740.322265625
19,10748.927734375
20,10752.2392578125
21,10737.685546875
22,10746.4404296875
23,10739.849609375
24,10755.162109375
25,10741.5263671875
26,10742.830078125
27,10736.80078125
28,10751.9013671875
29,10739.6005859375
30,10750.60546875
31,10737.2578125
32,10738.0390625
33,10737.0732421875
34,10741.951171875
35,10741.271484375
36,10746.3642578125
37,10742.8740234375
38,10753.591796875
39,10752.8173828125
40,10747.76171875
41,10747.416015625
42,10741.986328125
43,10737.017578125
44,10742.875
45,10736.845703125
46,10741.978515625
47,10738.896484375
48,10740.7021484375
49,10739.8447265625
50,10744.7041015625
51,10737.5400390625
52,10744.0908203125
53,10738.7099609375
54,10735.810546875
55,10747.748046875
56,10733.408203125
57,10742.83984375
58,10740.1318359375
59,10748.4697265625
60,10739.837890625
61,10753.2900390625
62,10739.759765625
63,10745.0224609375
64,10737.89453125
65,10741.1982421875
66,10744.0400390625
67,10752.818359375
68,10745.6103515625
69,10738.642578125
70,10745.7939453125
71,10741.44140625
72,10746.5517578125
73,10738.7001953125
74,10748.6044921875
75,10744.421875
76,10739.888671875
77,10732.5546875
78,10748.3828125
79,10757.4814453125
80,10754.74609375
81,10741.17578125
82,10738.3759765625
83,10754.810546875
84,10741.662109375
85,10744.8173828125
86,10749.2841796875
87,10744.3984375
88,10742.4541015625
89,10751.314453125
90,10741.2919921875
91,10739.90234375
92,10741.515625
93,10739.669921875
94,10748.5595703125
95,10735.9873046875
96,10750.853515625
97,10732.828125
98,10747.853515625
99,10747.0771484375
100,10744.9609375
101,10738.55078125
102,10733.7236328125
103,10727.4306640625
104,10739.0751953125
105,10748.31640625
106,10752.62890625
107,10739.880859375
108,10741.9794921875
109,10743.7412109375
110,10737.40625
111,10737.6923828125
112,10741.9736328125
113,10736.2890625
114,10743.4638671875
115,10746.869140625
116,10744.3720703125
117,10738.91015625
118,10740.048828125
119,10740.76171875
120,10736.3701171875
121,10740.673828125
122,10735.7353515625
123,10743.48828125
124,10744.8115234375
