Feature Index,Category,Score,Explanation
1709,Low-level,3,"The tokens show a clear relation to financial markets context ('stock', 'market', 'during', 'in') with consistent activations, but the presence of '.' suggests some inconsistency."
1238,Undiscernible,1,"The tokens activated show no clear pattern or consistency and appear to be random, thus classifying it as undiscernible."
907,Undiscernible,1,"The activation values do not exhibit a clear pattern related to a specific, meaningful feature. The tokens activated seem random, with no discernible theme or structure, indicative of irrelevant activations or noise."
1854,Low-level,3,"The activation data includes tokens like 'crisis' and numbers, suggesting a pattern related to specific contexts or word-level importance. However, the pattern's consistency is moderate, with some variation in the tokens."
157,Undiscernible,1,"The tokens 'crisis', 'market', 'stock', and punctuation '.' show no clear pattern or consistent theme, suggesting random activation likely characteristic of noise."
836,Undiscernible,1,"The activations lack a discernible pattern or theme. Tokens such as 'the', 'economic' and punctuation like '.' do not form any consistent or meaningful grouping, suggesting random or irrelevant activations."
1732,Undiscernible,1,"The feature shows a random pattern of activations without any clear semantic or structural theme, as the highest activations are assigned to generic and unrelated tokens like '.', 'market', and 'economic'."
1812,Low-level,2,"The activations pertain to tokens related to economic terms or market concepts, indicating a low-level feature of economic polysemy. However, the pattern lacks structure and consistency, as the tokens are not strongly associated with a singular clear concept."
553,Low-level,4,"The feature shows a focus on tokens related to economic downturns ('crashed', 'crisis', 'market'), indicating a clear pattern with a focus on financial contexts, but one or two tokens like 'in' and 'during' slightly deviate from this meaning."
1266,Low-level,4,"The feature shows a clear pattern related to financial terms ('market', 'crashed', 'stock') with one deviating example ('in'). This suggests a word-level polysemy related to finance and economics."
849,Undiscernible,1,"The activations are on common tokens without a discernible consistent pattern or specific semantic association, indicating random noise or irrelevant activations."
460,Undiscernible,1,"The activation values for the tokens do not show a clear or consistent pattern. The tokens activated do not align with specific low-level or high-level features, suggesting randomness."
2043,Undiscernible,1,"The activations are associated with a variety of tokens ('market', '8', '.', 'crisis', '<|begin_of_text|>') with no clear pattern or thematic consistency apparent, indicating random noise or irrelevant activations."
1914,Low-level,3,"The activations suggest a weak theme related to financial events ('crashed', 'market', 'stock') but not strong or consistent enough to indicate a high level structure or clear pattern."
1933,Low-level,3,"The activations show a general theme of economic and market-related terms with some consistency, but the inclusion of '200' and 'during' suggests minor inconsistencies."
70,Low-level,4,"The feature shows a clear pattern relating to financial or economic terminology such as 'crashed', 'crisis', and 'stock', depicting a low-level semantic understanding of word-level polysemy related to economic downturns, with minimal deviation."
912,Low-level,3,"The activations are related to words with economic or context-specific connotations, suggesting low-level feature activation focused on word-level polysemy, but there are some inconsistencies in relevance."
