Batch,Average_L0
0,8373.17578125
1,8371.73046875
2,8372.853515625
3,8373.3681640625
4,8372.1240234375
5,8370.6171875
6,8371.78125
7,8373.26953125
8,8371.6337890625
9,8373.9541015625
10,8373.486328125
11,8372.646484375
12,8371.70703125
13,8372.5947265625
14,8371.99609375
15,8372.802734375
16,8374.103515625
17,8371.80859375
18,8372.4482421875
19,8374.1298828125
20,8372.8408203125
21,8373.873046875
22,8372.2060546875
23,8372.48828125
24,8373.8486328125
25,8371.583984375
26,8373.0810546875
27,8372.0078125
28,8373.6015625
29,8371.8623046875
30,8374.943359375
31,8373.486328125
32,8372.853515625
33,8371.767578125
34,8375.400390625
35,8373.3408203125
36,8373.3251953125
37,8372.6103515625
38,8370.283203125
39,8372.22265625
40,8372.833984375
41,8372.28515625
42,8374.9775390625
43,8372.951171875
44,8370.9609375
45,8372.1875
46,8372.84375
47,8373.5380859375
48,8372.7685546875
49,8371.2041015625
50,8374.248046875
51,8372.8076171875
52,8371.6259765625
53,8372.5546875
54,8373.732421875
55,8373.7421875
56,8373.8837890625
57,8372.13671875
58,8375.18359375
59,8373.1279296875
60,8370.7451171875
61,8372.4091796875
62,8372.5537109375
63,8372.4912109375
64,8373.1513671875
65,8372.2529296875
66,8374.322265625
67,8373.431640625
68,8373.7080078125
69,8374.197265625
70,8373.48046875
71,8371.48046875
72,8371.4462890625
73,8373.3515625
74,8374.572265625
75,8372.3037109375
76,8373.861328125
77,8374.404296875
78,8374.66015625
79,8373.3828125
80,8374.8583984375
81,8372.798828125
82,8373.1728515625
83,8373.556640625
84,8373.4775390625
85,8372.64453125
86,8370.8154296875
87,8373.05859375
88,8372.4833984375
89,8375.12109375
90,8374.0810546875
91,8373.26171875
92,8374.0654296875
93,8373.2099609375
94,8371.7412109375
95,8373.0625
96,8371.669921875
97,8372.96875
98,8373.0458984375
99,8374.4775390625
100,8375.5830078125
101,8371.9697265625
102,8372.328125
103,8372.55078125
104,8371.8544921875
105,8372.974609375
106,8373.646484375
107,8372.0703125
108,8372.0205078125
109,8372.5712890625
110,8372.990234375
111,8373.16796875
112,8371.8388671875
113,8372.896484375
114,8371.79296875
115,8372.46875
116,8374.28125
117,8372.76953125
118,8372.892578125
119,8371.4794921875
120,8374.564453125
121,8373.01953125
122,8372.6845703125
123,8374.115234375
124,8372.2822265625
