Batch,Average_L0
0,8253.642578125
1,8253.9765625
2,8253.48828125
3,8256.5498046875
4,8257.728515625
5,8252.7373046875
6,8254.529296875
7,8252.05859375
8,8257.421875
9,8255.5771484375
10,8254.9482421875
11,8253.849609375
12,8255.171875
13,8252.990234375
14,8254.5400390625
15,8255.6220703125
16,8256.2939453125
17,8253.45703125
18,8251.9892578125
19,8254.4580078125
20,8256.85546875
21,8256.71875
22,8258.0693359375
23,8254.11328125
24,8256.0751953125
25,8254.376953125
26,8253.2041015625
27,8252.095703125
28,8254.58203125
29,8253.998046875
30,8254.3955078125
31,8253.705078125
32,8251.2138671875
33,8253.9208984375
34,8256.2236328125
35,8254.1015625
36,8255.1796875
37,8253.802734375
38,8254.1767578125
39,8253.93359375
40,8257.7392578125
41,8256.7861328125
42,8254.625
43,8257.0693359375
44,8252.19140625
45,8253.7841796875
46,8252.6884765625
47,8254.91015625
48,8258.564453125
49,8258.94140625
