Feature Index,Category,Score,Explanation
279,Undiscernible,1,"The activations appear to be random and do not form a consistent or clear pattern, typical of undiscernible features characterized by noise or irrelevant activations."
1933,Low-level,3,"The activations are related to concepts that could potentially form a theme around time and events (e.g., 'during', 'crisis', 'market'). However, the presence of numbers like '8' and '200' introduces inconsistencies, suggesting a pattern but with some deviations."
128,Undiscernible,1,"The activations show no discernible pattern as they are associated with common tokens ('during', 'in') and punctuation ('.'), indicating random or irrelevant activations."
1473,Undiscernible,1,"The activation values do not demonstrate a clear or consistent pattern, with tokens that appear to be unrelated and random, thus lacking discernible structure."
131,Undiscernible,1,"The activations show no clear pattern. The tokens such as '.', 'during', 'economic', 'The', and 'in' are common and unrelated, indicating random noise or irrelevant activations."
1279,Undiscernible,1,"The activation levels show no clear pattern or thematic structure, indicating random or irrelevant activations."
2043,Undiscernible,1,The activations do not show a discernible pattern or meaningful association with each other.
283,Undiscernible,1,"The activations shown do not exhibit a clear or consistent pattern, with varying tokens and no obvious thematic connection."
1425,Low-level,3,"The activations indicate a focus on economic distress-related terms ('crashed', 'crisis', 'economic') which aligns with low-level polysemy. However, the inclusion of '8' suggests some inconsistency."
269,Low-level,3,"The tokens activated (economic, in, market, crisis) suggest a theme related to economic topics, indicating a low-level, word-based feature. However, the weak pattern consistency and the presence of a numeric token slightly weaken the clarity, resulting in a score of 3."
756,Undiscernible,1,"The activation values do not show a clear pattern or consistent theme, indicating random noise or irrelevant activations."
284,Undiscernible,1,"The activations do not form a clear pattern and appear to include common words and numbers as well as punctuation, suggesting random noise rather than a structured feature."
379,Undiscernible,1,"The activations show no clear or consistent pattern among the tokens, indicating random or irrelevant activations."
820,Undiscernible,1,"The activation values are low and do not demonstrate a clear, discernible pattern or specific theme across tokens, indicating it might be random noise."
169,Undiscernible,1,"The activation values do not reveal any discernible pattern, as the tokens activated appear random and unrelated, suggesting noise."
546,Undiscernible,1,"The activations are inconsistent and don't reveal a clear pattern, making it difficult to associate them with either low-level or high-level features."
71,Undiscernible,1,"The activations of tokens such as 'crisis', 'economic', and 'crashed' do not form a clear, consistent pattern without deviations, suggesting random or irrelevant activations."
1762,Undiscernible,1,"The tokens activated show no clear pattern or thematic relevance, indicating random noise or irrelevant activations."
304,Low-level,5,"The activations are consistent and are all related to financial/market terms, indicating a clear pattern without deviating examples."
907,Undiscernible,1,"The tokens activated ('200', 'crashed', '8') do not show a clear, consistent pattern or theme. The activations appear to be random and lack discernible structure, indicating that the feature is not coherent enough to be classified as low-level or high-level."
520,Undiscernible,1,"The activation values do not show a clear pattern or theme as they are associated with unrelated words and numbers, indicating random noise or irrelevant activations."
651,Undiscernible,1,"The activations do not show a clear or consistent pattern related to specific linguistic features, indicating random noise or irrelevant activations."
1789,Undiscernible,1,"The activations show no clear pattern or structure, suggesting random noise or irrelevant activations."
1155,Undiscernible,1,"The activations do not show a clear or consistent pattern related to low-level or high-level features. The tokens 'in', 'the', 'during', 'crisis', 'market' do not exhibit a unified theme or pattern, indicating random noise."
1567,Low-level,3,"The activations are centered around economically-oriented tokens, indicating a low-level feature with word-level polysemy related to economic terminology. However, the inclusion of the isolated token '8' suggests some inconsistencies, preventing a higher score."
2003,Undiscernible,1,The feature activations appear random with no discernible pattern or theme connecting the tokens.
770,Undiscernible,1,"The activations show no clear pattern or thematic relevance, with common tokens activating similar to each other, likely indicating noise."
1751,Undiscernible,1,"The activations are random and lack a clear, consistent pattern, suggesting noise rather than meaningful feature activation."
443,Undiscernible,1,"The activations show no clear pattern or thematic consistency, as the tokens activated are unrelated and random."
251,Low-level,3,"The feature shows a focus on financial terms like 'market', 'stock', and 'crisis', consistent with word-level polysemy, but the presence of general tokens like 'in' suggests some inconsistency."
1190,Undiscernible,1,"The activations do not show a discernible pattern or consistent theme across the tokens, reflecting random or irrelevant activations."
1559,Undiscernible,1,"The activations range across various unrelated tokens with no clear pattern or consistent theme, indicating randomness."
1696,Low-level,2,"The activations suggest a theme around disruptions or adverse events (e.g., 'crisis', 'crashed'). However, the pattern lacks clear structure, as indicated by somewhat random tokens like '.', 'during', and '8'. This suggests low-level association but inconsistent activation."
682,Undiscernible,1,"The feature activations show no clear or consistent pattern related to token relevance, indicating randomness or noise."
422,Undiscernible,1,"The activation data includes common tokens and appears random, showing no clear or structured pattern indicative of a specific feature."
1488,Undiscernible,1,"The activation data shows no clear pattern or consistent association with a specific concept or structure, indicating random noise or irrelevant activations."
1387,Low-level,3,"The tokens 'the', 'during', 'in', 'market', and 'economic' suggest a focus on word-level semantics related to context in texts, indicating a low-level feature. However, the connection between the tokens lacks strong consistency, hence the score of 3."
1045,Undiscernible,1,"The tokens activated ('economic', 'crashed', 'market', 'in') lack a clear, consistent theme or pattern, indicating random or irrelevant activations."
277,Undiscernible,1,"The activations on 'The', '.', 'Ġmarket', '8', and 'Ġin' show no clear pattern or cohesive theme, indicating a lack of structure and relevance."
1666,Undiscernible,1,"The activations appear random with no clear pattern or thematic alignment, indicating noise."
842,Low-level,3,"The tokens activated suggest word-level polysemy related to economic contexts, but there are inconsistencies in activation levels among tokens, indicating a somewhat clear pattern with minor inconsistencies."
626,Undiscernible,1,"The activations show no clear pattern or consistent theme, suggesting random or irrelevant activations."
738,Low-level,3,"The activation values suggest a focus on economic-related terms, indicating a low-level feature related to a specific domain. However, the pattern is somewhat inconsistent, making it less clear than a perfect monosemantic feature."
998,Undiscernible,1,"The activations show no clear pattern or theme, with tokens not aligning to any discernible low-level or high-level feature."
60,Undiscernible,1,"The activation values show no clear pattern or consistent theme, with the highest activations being on common or non-specific tokens, suggesting random noise or irrelevant activations."
100,Undiscernible,1,"The tokens activated ('8', 'the', 'market', 'during', 'The') do not exhibit a clear and consistent pattern, suggesting random or irrelevant activations typical of undiscernible features."
621,Undiscernible,1,"The activations are spread across common tokens without a clear pattern, suggesting random noise and no discernible pattern."
976,Undiscernible,1,"The activations lack a discernible pattern or specific theme among the tokens, showing randomness indicative of noise."
968,Low-level,3,"The activation values show a focus on words related to crises (e.g., 'crisis', 'crashed') but also include common words like 'the', which indicates some inconsistencies."
602,Low-level,4,"The activation values focus on economic terms like 'market', 'economic', and 'crisis', indicating a clear pattern related to economic topics with slight variations in association strength."
70,Low-level,2,"The feature activates around concepts associated with 'crisis' and 'stock', indicating a broad theme in financial contexts. However, there is a lack of structured pattern, leading to its classification as low-level with a score of 2."
35,Low-level,5,"The tokens activated (crisis, economic, stock, crashed) indicate a consistent theme related to financial events, showing a clear pattern with no deviating examples, characteristic of a low-level feature focusing on word-level semantics."
1053,Undiscernible,1,"The activations seem random and there is no clear pattern or theme, indicating noise."
1094,Undiscernible,2,"The activations on the tokens like 'stock', 'economic', and numbers do not show a clear or consistent pattern indicative of low or high-level features, but there seems to be a vague theme related to economics or finance."
598,Undiscernible,1,"The activation values do not exhibit a clear pattern or association with specific linguistic or semantic features, indicating random or irrelevant activations."
788,Undiscernible,1,"The tokens with the highest activation values ('ġ', 'ġstock', 'ġthe', 'The', '8') do not form a clear pattern, indicating random noise or irrelevant activations."
1401,Low-level,5,"The tokens activated indicate focused attention on topics related to economic contexts (e.g., 'economic', 'crisis', 'stock'). The pattern is clear and consistent, showing relevance to word-level themes."
16,Low-level,4,"The activations are concentrated around specific tokens like 'market', 'stock', and common articles like 'the', indicating a consistent association with specific word-level polysemy. There is a clear pattern with potentially one or two deviations."
1083,Undiscernible,1,"The activation values appear randomly distributed across unrelated tokens, such as '8', '.', and word fragments like 'crisis' and 'market', without a clear or consistent pattern."
157,Undiscernible,1,"The activations show no discernible pattern or thematic consistency, suggesting random noise or irrelevant activations, typical of an undiscernible feature."
59,Undiscernible,2,"The tokens show a broad economic theme, but lack coherence or a structured pattern, suggesting random activations."
1284,Low-level,3,"The activations show a focus on contextually related economic terms, indicating a pattern of polysemy at the word level, although the inclusion of a number token suggests some inconsistency."
132,Low-level,3,"The activations suggest a focus on specific terms related to economic situations, indicating a pattern at the word level, though some terms like 'the' do not fit perfectly, suggesting minor inconsistencies."
1314,Undiscernible,1,"The activations appear random and do not show any clear pattern or theme, indicating the feature is filled with noise and lacks discernible structure."
1642,Undiscernible,1,"The activations lack a clear, consistent pattern across tokens and appear to relate to random elements without a discernible theme."
