Batch,Average_L0
0,16341.1328125
1,16342.6943359375
2,16338.146484375
3,16337.2294921875
4,16331.6787109375
5,16336.25390625
6,16341.5849609375
7,16332.1328125
8,16334.6259765625
9,16341.2373046875
10,16340.9404296875
11,16341.140625
12,16333.798828125
13,16339.3134765625
14,16341.5859375
15,16337.9658203125
16,16337.9248046875
17,16335.111328125
18,16341.4580078125
19,16341.900390625
20,16340.7412109375
21,16336.9736328125
22,16341.18359375
23,16337.115234375
24,16341.7138671875
25,16337.49609375
26,16337.62890625
27,16334.873046875
28,16343.591796875
29,16334.2978515625
30,16341.73046875
31,16335.48828125
32,16331.8642578125
33,16334.1044921875
34,16335.2421875
35,16345.3095703125
36,16335.3330078125
37,16338.484375
38,16339.49609375
39,16341.3193359375
40,16341.76953125
41,16341.546875
42,16340.8564453125
43,16335.99609375
44,16330.7548828125
45,16335.720703125
46,16334.91796875
47,16334.8115234375
48,16332.51953125
49,16337.3388671875
50,16334.1552734375
51,16337.7431640625
52,16334.6748046875
53,16326.6611328125
54,16331.9091796875
55,16340.8115234375
56,16336.98046875
57,16341.1572265625
58,16344.197265625
59,16339.3681640625
60,16341.400390625
61,16344.0146484375
62,16334.6640625
63,16332.7666015625
64,16335.0576171875
65,16340.814453125
66,16344.076171875
67,16341.4921875
68,16334.1376953125
69,16334.9208984375
70,16334.0244140625
71,16336.6708984375
72,16330.205078125
73,16341.0185546875
74,16347.033203125
75,16335.1337890625
76,16336.9765625
77,16331.9658203125
78,16341.25390625
79,16346.6904296875
80,16344.6669921875
81,16336.1806640625
82,16337.505859375
83,16340.759765625
84,16340.9140625
85,16345.0029296875
86,16338.919921875
87,16346.515625
88,16337.85546875
89,16341.0859375
90,16338.330078125
91,16338.4228515625
92,16338.9091796875
93,16335.1474609375
94,16339.353515625
95,16339.4013671875
96,16341.1357421875
97,16332.2841796875
98,16337.5576171875
99,16334.662109375
100,16342.61328125
101,16331.98046875
102,16334.6328125
103,16331.99609375
104,16331.748046875
105,16338.5322265625
106,16341.5771484375
107,16341.763671875
108,16333.2509765625
109,16334.96484375
110,16334.73046875
111,16335.3662109375
112,16340.970703125
113,16338.1318359375
114,16340.8388671875
115,16339.814453125
116,16337.544921875
117,16338.3447265625
118,16335.796875
119,16338.8798828125
120,16334.51953125
121,16334.6611328125
122,16339.2060546875
123,16342.0009765625
124,16340.982421875
