Feature Index,Category,Score,Explanation
953,Undiscernible,1,"The activations do not exhibit a clear pattern or theme; the tokens appear unrelated, indicating random or noise-like feature behavior."
1568,Undiscernible,1,"The activation levels do not show a clear pattern, as the tokens are common and do not suggest a coherent theme or structure."
1986,Undiscernible,1,"The activation values are close and do not show a clear pattern or consistent theme, resembling random noise."
34,Low-level,3,"The feature activates around economic terms like 'market', 'stock', and 'economic', indicating a pattern related to economic context, but some tokens like 'in' and '8' are inconsistent, showing moderate overall consistency."
256,Low-level,2,"The activations suggest a broad theme related to numbers and possibly financial terms but lack clear structure, indicating word-level polysemy without distinct patterns."
866,Undiscernible,1,"The activations on tokens like 'during', 'stock', '8', 'economic', and '200' show no clear pattern or theme, indicating random or irrelevant activations."
1233,Undiscernible,1,"The activation values show no clear pattern or consistency, with random tokens being activated and no discernible theme."
1471,Low-level,3,"The feature shows a moderate pattern with activations related to economic and crisis-related terms, indicating a low-level feature. However, the presence of numbers and beginning tokens shows some inconsistencies, thus scoring a 3."
696,Low-level,3,"The activations show a focus on word-level tokens like 'market' and 'stock', suggesting polysemous behavior typical of low-level features, but there is inconsistency with unrelated tokens like '8' and 'The'."
1660,Undiscernible,1,"The activations show no clear pattern or consistent theme among the tokens, indicating randomness or noise."
1292,Undiscernible,1,"The activation values do not show a clear pattern or significant association with any specific category or concept, indicating random noise or irrelevant activations."
1238,Undiscernible,1,"The activations do not show any clear pattern or consistent theme, indicating randomness and irrelevance."
1373,Low-level,3,"The activations show a possible pattern related to economic downturns with words like 'crisis', 'economic', and 'crashed', but there are inconsistencies with 'market' and '8', indicating some variation within a low-level pattern."
606,Low-level,3,"The feature shows a pattern associated with economic terminology, indicating a low-level word-level polysemy. However, some inconsistencies exist, such as the activation of '<|begin_of_text|>', reducing its monosemanticity score."
63,Undiscernible,1,"The activations show no clear pattern or consistent theme among the tokens, indicating random noise or irrelevant activations."
1406,Low-level,3,"The tokens activated suggest a theme related to economic contexts or discussions, indicative of low-level polysemy features. While there is an overarching theme, the pattern is not very consistent due to some variability in the activation values."
441,Undiscernible,1,"The feature activations display no consistent pattern or discernible theme among the tokens, indicating random noise or irrelevant activations."
1425,Undiscernible,1,"The activations do not show a discernible pattern, appearing as random noise without clear thematic structure."
1286,Low-level,2,"The tokens suggest a broad theme related to market and economic terms, but the lack of a structured pattern and the presence of a high activation on <|begin_of_text|> indicate insufficient consistency."
782,Undiscernible,1,"The activations do not follow any clear or consistent pattern, as they encompass various unrelated tokens with low activation values."
573,Undiscernible,1,"There is no clear pattern among the tokens with activations, suggesting random noise or irrelevant activations."
1155,Undiscernible,1,"The activations do not form any discernible pattern, with a random assortment of tokens showing activation."
730,Undiscernible,1,"The activations show no clear semantic pattern, as they consist of random tokens ranging from numbers to words without a consistent theme or context."
116,Low-level,3,"The activations are focused on tokens that are generally related to a topic or subject matter (e.g., 'stock', 'market'), indicating a thematic concentration typical of low-level features, but it lacks a clear pattern due to the high activation on <|begin_of_text|> and common tokens like 'the' and 'in'."
1053,Undiscernible,1,The activations show no clear pattern or consistent theme and appear randomly distributed across unrelated tokens.
837,Low-level,4,"The feature primarily activates around economic-related terms such as 'crisis', 'economic', 'market', and 'crashed', suggesting a word-level polysemy pattern related to economic contexts. The activations display a clear pattern with slight variation as shown by the activation of the token '<|begin_of_text|>'."
553,Low-level,4,"The feature activates on words related to economic downturns, indicating a low-level focus on specific word meanings, with a clear pattern but minor deviations."
1261,Undiscernible,1,"The activation values show no clear or consistent pattern, suggestive of random noise or irrelevant activations."
781,Undiscernible,1,"The feature lacks a clear pattern, with unrelated tokens having similar low activation values, indicating random or irrelevant activations."
1518,Undiscernible,1,"The activation values do not show a consistent pattern, as the tokens activated ('the', 'crisis', 'in', '8', 'during') are random and do not indicate a specific low-level or high-level feature category."
