Batch,Average_L0
0,2340.861328125
1,3669.2958984375
2,2766.912109375
3,4316.314453125
4,3898.705078125
5,2330.73046875
6,2296.3818359375
7,2565.126953125
8,4036.1796875
9,2662.0087890625
10,3460.927734375
11,2254.0244140625
12,2644.7763671875
13,2284.939453125
14,2493.5546875
15,2859.7578125
16,2767.099609375
17,2393.5654296875
18,2412.1357421875
19,2976.96484375
20,3649.1123046875
21,3535.5712890625
22,4426.044921875
23,2281.1494140625
24,3649.330078125
25,2630.7900390625
26,2362.078125
27,3344.943359375
28,2457.50390625
29,2588.6552734375
30,3728.3955078125
31,2399.794921875
32,2469.171875
33,2339.78515625
34,2778.1787109375
35,2245.6279296875
36,2906.9208984375
37,2346.7421875
38,2250.9345703125
39,3209.2412109375
40,3053.2646484375
41,3184.8349609375
42,2370.845703125
43,2637.6337890625
44,2157.5
45,2297.6015625
46,3546.26171875
47,2326.564453125
48,4224.8125
49,4010.2890625
