Feature Index,Category,Score,Explanation
1233,Undiscernible,1,"The activations do not show a clear or consistent pattern, and the tokens activated appear random and unrelated."
622,Undiscernible,1,"The activation values show no discernible pattern among the tokens, indicating random or irrelevant activations typical of undiscernible features."
1798,Low-level,3,"The feature appears to activate around financial terminology like 'market', 'stock', and 'crisis', suggesting a thematic cluster. However, the inclusion of '<|begin_of_text|>' and 'Ġ' introduces some inconsistency, indicating it is more likely a low-level, word-level theme with some minor noise."
354,Low-level,2,"The activations seem to focus on specific word-level tokens like 'economic' and 'crisis', suggesting a low-level feature, but the pattern lacks structure and consistency."
1812,Undiscernible,1,"The tokens have varied and low activation values without a clear pattern or strong association, indicating random noise and irrelevant activations."
51,Low-level,2,"The activations focus on economic terms suggesting a theme, but lack a clear structure or strong pattern, as seen in the variation of related terms."
1468,Undiscernible,1,"The activation values show no clear pattern or theme, indicating random or irrelevant activations."
729,Undiscernible,1,"The tokens have low activation values with no clear thematic or structural pattern, indicating random noise or irrelevant activations."
701,Low-level,3,"The feature seems focused on tokens associated with economic events ('crashed', 'crisis', 'market') suggesting word-level polysemy, but the activation values show some inconsistencies, as '200' doesn't strongly connect with the others."
34,Low-level,2,"The tokens activated ('market', 'economic', 'stock') suggest a broad theme related to economics, but there's a lack of a clear structure or pattern, indicating a low-level feature focused on word-level semantics without strong consistency."
477,Undiscernible,1,The activation values recorded do not show a clear nor consistent pattern related to a specific feature category. Activations seem random and do not demonstrate a coherent theme or pattern across the tokens.
256,Undiscernible,1,"The activations show no clear specific pattern or theme, suggesting random noise or irrelevant activations."
1729,Undiscernible,1,"The activation values show no clear pattern or consistent relevance to a specific linguistic feature, indicating random noise or irrelevant activations."
1373,Low-level,4,"The feature shows a clear pattern around economic or market-related terms like 'market', 'economic', 'crisis', and 'crashed', with one deviating example being the numeral '8'."
1819,Low-level,3,"The activations are related to an economic context, indicative of a semantic theme around economic downturns, which suggests a low-level feature. However, some inconsistencies in specific activations prevent a higher score."
806,Undiscernible,1,"The tokens exhibit low activation values across a broad theme without a clear pattern, suggesting random noise and lack of discernible purpose."
1660,Undiscernible,1,"The activations do not show a clear pattern or association with a specific theme. Tokens are random, and the activation values are very close to each other, indicating noise or lack of relevance."
1986,Undiscernible,1,"The activation pattern lacks a clear and consistent theme, with random words activated without a discernible pattern."
103,Low-level,3,"The feature shows a tendency towards financial and economic terms (e.g., 'crisis', 'market', 'stock', 'crashed'), indicating word-level polysemy. There is some pattern, but the presence of 'The' with a lower activation value suggests minor inconsistency."
323,Undiscernible,1,"The activations on given tokens do not show a clear or consistent pattern, resembling noise, indicating an undiscernible feature."
18,Undiscernible,1,"The activation values show no discernible pattern or theme linking the tokens, indicating irrelevant activations."
1292,Undiscernible,1,"The activations do not show a clear or consistent pattern, indicating randomness or noise rather than a meaningful feature."
149,Undiscernible,1,"The activation values do not show a clear or consistent pattern that aligns with either low-level or high-level features, suggesting random noise or irrelevant activations."
900,Low-level,3,"The tokens suggest a theme related to finance and economy, indicating a low-level feature related to specific concepts. However, some inconsistency with the inclusion of 'during' impacts the consistency score."
1407,Undiscernible,1,"The activation values show no consistent pattern or clear association with a specific feature, indicating random or irrelevant activations typical of undiscernible features."
1568,Low-level,3,"The activations are associated with specific tokens that suggest a theme related to economic and numerical concepts, indicating low-level semantic relevance, but lack consistency with some deviations in token types."
846,Low-level,3,"The tokens suggest a theme related to economics and markets, but the pattern is not very strong and includes common tokens like 'The'."
1205,Low-level,3,"The activations show an apparent theme related to economic concepts with some consistency, but the inclusion of a generic token like 'The' as a highly active token suggests some inconsistencies."
419,Undiscernible,1,"The tokens activated do not show any clear pattern, theme, or structure, indicating random noise or irrelevant activations."
1724,High-level,4,"The tokens are related to economic themes, suggesting a high-level pattern of detecting financial topics. There is one potentially unrelated token, <|begin_of_text|>, creating a slight deviation."
1655,Low-level,4,"The activations are focused on words related to economic themes ('stock', 'crisis', 'economic', 'crashed'), indicating a clear pattern with a possible polysemy at the word level. The token '8' deviates from this pattern but overall consistency is high, suggesting it is a low-level feature."
1146,Low-level,3,"The tokens 'during', 'crisis', 'market' suggest a theme related to contexts or situations but lack clear consistency across examples, indicating some level of word-level topicality with inconsistencies."
1157,Low-level,3,"The activations suggest a focus on economic-related words like 'crisis', 'market', and 'economic', indicating a low-level feature. However, the presence of numbers such as '200' and '8' introduces some inconsistency, reducing the overall monosemanticity score."
779,Low-level,3,"The tokens activated are related to economic terminology, indicating a consistent theme in word-level polysemy. However, there is some inconsistency with the activation of '8', which diverges from the economic theme."
730,Undiscernible,1,"The activations show no discernible pattern; tokens seem unrelated and show inconsistency, suggesting random noise."
1286,Undiscernible,1,"The activation values show no discernible pattern or theme, given the marginally varied activations across unrelated tokens such as 'market', 'crisis', 'during', and the generic token ' '."
2024,Undiscernible,1,"The activation values show no clear pattern or significant activation towards any specific low-level word or high-level concept, suggesting random noise or irrelevant activations."
1749,Low-level,5,"This feature is categorized as low-level due to the consistent activation on tokens related to a specific topic ('market', 'stock', 'crisis', 'crashed') indicating word-level polysemy related to financial contexts with no deviating examples."
381,Low-level,2,"The activations are associated with word-level tokens such as 'crashed' and 'market', indicating a potential polysemy aspect, but the pattern is broad and lacks clear structure."
1887,Low-level,3,"The activations are related to specific words ('stock', 'economic') suggesting a low-level feature focusing on certain familiar terms. However, the inclusion of common articles and prepositions ('the', 'during') indicates some inconsistencies, thus a score of 3."
441,Undiscernible,1,"The activations on tokens like 'the', 'stock', 'in', and 'during' do not suggest a clear pattern or theme, indicating a lack of consistent activation across a discernible context, suggesting random noise or irrelevant activations."
251,Low-level,4,"The feature shows a relevant pattern focused on word-level concepts related to crashes and crises, suggesting a low-level polysemy feature. There is a largely consistent pattern with a minor deviation in the high activation of '<|begin_of_text|>', overall maintaining clear significance."
