Batch,Average_L0
0,5029.783203125
1,6105.84765625
2,5371.466796875
3,6593.5693359375
4,6271.79296875
5,5026.958984375
6,4981.365234375
7,5253.478515625
8,6410.4794921875
9,5281.388671875
10,5928.8193359375
11,4972.0908203125
12,5277.212890625
13,4998.646484375
14,5170.0654296875
15,5431.5830078125
16,5359.4384765625
17,5060.7353515625
18,5103.1259765625
19,5562.2001953125
20,6042.9453125
21,5995.474609375
22,6687.84375
23,4975.4697265625
24,6118.7587890625
25,5260.5869140625
26,5061.890625
27,5847.92578125
28,5102.4111328125
29,5266.427734375
30,6121.4658203125
31,5089.3544921875
32,5133.947265625
33,5049.47265625
34,5390.560546875
35,4994.142578125
36,5479.150390625
37,5048.9365234375
38,4962.23828125
39,5750.3935546875
40,5607.7236328125
41,5720.255859375
42,5076.0234375
43,5259.625
44,4924.9375
45,5029.03125
46,5986.279296875
47,5014.125
48,6501.2265625
49,6347.251953125
