Feature Index,Category,Score,Explanation
1891,Undiscernible,1,"The activation values do not exhibit a clear pattern or consistent theme across the tokens, indicating random noise or irrelevant activations."
916,Undiscernible,1,"The feature does not show a consistent pattern of activations related to a specific theme or concept, as the tokens are common and have low activations, suggesting noise or irrelevant activations."
1385,Undiscernible,1,"The activations do not show a clear pattern or relevance to a specific theme, indicating random noise or irrelevant activations."
1150,Undiscernible,1,"The activation values show no clear pattern or relevance to any specific theme or structure, indicating random noise."
1292,Undiscernible,1,"The activation values are low and do not show a clear pattern or thematic consistency, suggesting random noise or irrelevant activations."
246,Undiscernible,1,"The activations show no discernible pattern indicative of either low-level polysemy or high-level long-range patterns, and they appear random and inconsistent."
1511,Undiscernible,1,"The activations lack a coherent pattern or theme. Tokens such as 'the', '.', 'in', and 'The' are too common and varied in usage to indicate a clear low-level or high-level feature, suggesting random noise or irrelevant activations."
1519,Low-level,4,"The tokens 'economic', 'crisis', and 'crashed' suggest a pattern related to impactful or disruptive events, fitting the low-level feature category related to word-level polysemy. There is a clear pattern with minor inconsistencies."
811,Undiscernible,1,"The activations show no clear pattern or consistent theme across the tokens, indicating an undiscernible feature corresponding to random noise or irrelevant activations."
1250,Undiscernible,1,"The activations show no discernible pattern among the tokens, suggesting randomness or noise."
1711,Undiscernible,1,"The activations appear random with no discernible pattern among the tokens, indicating an undiscernible feature."
1798,Undiscernible,1,"The activations show no clear pattern or thematic structure, with tokens having similar low activation values, suggesting random noise or irrelevant activations."
1115,Undiscernible,1,"The feature activation data shows no discernible pattern or consistent theme, with random tokens such as punctuation and numbers being activated similarly without a clear semantic reason."
256,Undiscernible,1,"The activation levels do not show any clear pattern or consistent theme and appear random, indicating an undiscernible feature."
1887,Undiscernible,1,"The activations show no clear pattern or theme, with tokens appearing random and irrelevant to each other, indicating noise."
535,Undiscernible,1,"The activation values are very low and there is no discernible pattern or meaningful structure in the token activations, indicating random noise or irrelevant activations."
1390,Undiscernible,1,"The activations show no clear pattern as the tokens 'in', 'stock', and 'market' have similar activation levels, while '<|begin_of_text|>' has a significantly higher activation, indicating randomness or irrelevant activations."
1157,Low-level,3,"The activations are related to economic and numerical terms, showing a pattern around market/economic themes, typical of word-level polysemy, but there are inconsistencies with varying activation strengths."
751,Undiscernible,1,"The activations appear random and lack a coherent pattern or theme, indicating no clear relevance to any specific feature."
1604,Low-level,3,"The tokens activate around a theme related to financial events ('crisis', 'stock', 'crashed'), indicating a low-level feature related to specific terms often found in financial contexts. However, the presence of generic tokens like 'the' introduces some inconsistencies."
788,Undiscernible,1,"The activations show no clear pattern or association with a coherent idea, indicating random noise or irrelevant activations."
1261,Undiscernible,1,"The activation values do not show a discernible pattern or clear theme, indicating random noise or irrelevant activations."
1689,Low-level,3,"The activations are associated with economically themed tokens, indicating a clear but not perfect pattern."
1659,Low-level,4,"The feature primarily activates around economic-related tokens such as 'market', 'stock', 'crisis', and 'crashed', indicating a consistent pattern related to finance or economics, though there are one or two slightly deviating examples."
849,High-level,4,"The activations suggest a pattern related to financial contexts, such as 'stock', 'crashed', and 'crisis', with a theme of market instability. There is one token ('8') that slightly deviates from the financial context, indicating a mostly clear pattern with minor inconsistency."
290,Undiscernible,1,"The activations provided show little to no discernible pattern, with random tokens such as '.', 'economic', 'market', and special tokens being activated without a clear thematic or structural relationship."
26,Low-level,3,"The activations are associated with a general theme related to stock market or financial contexts ('economic', 'crashed', 'stock'), but they also include tokens with no clear connection to this theme ('200', 'The'), suggesting some inconsistencies in the pattern."
386,Undiscernible,1,"The activations do not form a clear or coherent pattern linked to either low-level polysemy or high-level patterns, suggesting random or irrelevant activations."
1845,Low-level,3,"The activation values exhibit some consistency around words like 'crisis' and 'crashed', possibly indicating a pattern related to events or disruptions, but the overall pattern is muddled by unrelated tokens like '8' and 'The'."
