Batch,Average_L0
0,16295.6875
1,16295.6875
2,16295.6875
3,16295.6875
4,16295.6875
5,16295.6875
6,16295.6875
7,16295.6875
8,16295.6875
9,16295.6875
10,16295.6875
11,16295.6875
12,16295.6875
13,16295.6875
14,16295.6875
15,16295.6875
16,16295.6875
17,16295.6875
18,16295.6875
19,16295.6875
20,16295.6875
21,16295.6875
22,16295.6875
23,16295.6875
24,16295.6875
25,16295.6875
26,16295.6875
27,16295.6875
28,16295.6875
29,16295.6875
30,16295.6875
31,16295.6875
32,16295.6875
33,16295.6875
34,16295.6875
35,16295.6875
36,16295.6875
37,16295.6875
38,16295.6875
39,16295.6875
40,16295.6875
41,16295.6875
42,16295.6875
43,16295.6875
44,16295.6875
45,16295.6875
46,16295.6875
47,16295.6875
48,16295.6875
49,16295.6875
