Batch,Average_L0
0,16265.0986328125
1,16265.099609375
2,16265.1025390625
3,16265.095703125
4,16265.10546875
5,16265.1044921875
6,16265.1123046875
7,16265.109375
8,16265.09375
9,16265.1015625
10,16265.09765625
11,16265.10546875
12,16265.1025390625
13,16265.109375
14,16265.087890625
15,16265.1015625
16,16265.103515625
17,16265.1044921875
18,16265.10546875
19,16265.09765625
20,16265.1103515625
21,16265.09765625
22,16265.0947265625
23,16265.1064453125
24,16265.1005859375
25,16265.1044921875
26,16265.1015625
27,16265.1103515625
28,16265.1015625
29,16265.0986328125
30,16265.103515625
31,16265.109375
32,16265.1005859375
33,16265.0908203125
34,16265.1064453125
35,16265.103515625
36,16265.1025390625
37,16265.103515625
38,16265.1044921875
39,16265.1083984375
40,16265.103515625
41,16265.1044921875
42,16265.103515625
43,16265.0947265625
44,16265.0947265625
45,16265.1005859375
46,16265.103515625
47,16265.1005859375
48,16265.107421875
49,16265.103515625
