Feature Index,Category,Score,Explanation
782,Undiscernible,1,"The feature activation values show no clear, consistent pattern among the tokens, suggesting random noise or irrelevant activations."
441,Undiscernible,1,"The activations appear random with no discernible pattern, characteristic of undiscernible features."
143,Undiscernible,1,"The tokens activated do not show a clear or coherent pattern, suggesting random noise or irrelevant activations."
296,Undiscernible,1,"The activations do not show a clear pattern; they appear random and lack thematic consistency, indicating noise."
645,Low-level,4,"The feature consistently activates around economic terms indicating a possible pattern related to finance, although 'Ġ' shows slight deviation."
1205,Low-level,4,"The activations focus on tokens related to economic terms and actions which implies a low-level semantic association, with a clear pattern and one or two potential outlier activations."
255,Undiscernible,1,"The feature activation data shows no clear or consistent pattern, with random activations across generic tokens and lacks discernible linguistic or semantic coherence."
1798,Low-level,2,"The tokens activated suggest a broad theme related to economic contexts ('market', 'crisis'), but the lack of a strict pattern and inclusion of less relevant tokens ('in', '8', and whitespace) indicate low-level features with minimal structure."
1791,Low-level,2,"The activations revolve around economic terms, suggesting a broad theme related to finance or economics, but the lack of a clear, distinctive pattern and relatively low activation consistency indicate a low-level feature related to word-level polysemy without much structure."
621,Undiscernible,1,"The activations are spread across common tokens like numbers and articles with no clear pattern or theme, indicating random noise and lack of relevance."
71,Low-level,3,"The feature shows activation on tokens related to a specific event ('stock', 'crashed') indicating a potential word-level polysemy, but some inconsistencies ('during', space token) prevent a clearer pattern classification."
2024,Low-level,3,"The feature shows consistent activations around economic concepts but with some inconsistencies, indicating a low-level feature related to words or phrases like 'market' and 'economic'."
1561,Low-level,4,"The activations indicate a pattern related to financial terms, which suggests a low-level feature associated with word-level polysemy. There is a clear pattern with a minor deviation."
1711,Low-level,3,"The feature shows activation with terms related to economics or markets, suggesting a thematic pattern indicating word-level polysemy. However, the presence of a couple of deviations and the broad scope of terms involved results in a score of 3."
1092,Low-level,3,"The activations suggest a focus on word-level themes related to economic terms like 'economic', 'crisis', and 'crashed', but with some inconsistency as indicated by activated tokens such as '.' and '8'."
598,Undiscernible,1,"The activations show random associations with disparate tokens like numbers and unrelated words, indicating no clear pattern."
1356,Undiscernible,1,"The activations are random and sparse without a clear pattern or theme, indicating undiscernible features."
272,Undiscernible,1,"The activation values show no discernible pattern or theme, suggesting random or irrelevant activations typical of undiscernible features."
568,Low-level,3,"The activations show a consistent theme related to events or things that can 'crash' or experience a sudden decrease, such as 'crashed' and 'stock'. However, there are some inconsistencies with more general tokens like 'the' that indicate clear but not perfect consistency."
849,Low-level,3,"The tokens activated are related to financial or economic contexts (e.g., stock, crashed, crisis), indicating a low-level feature focused on specific word-level meanings, but some inconsistency with tokens like '200' and '8'."
196,Undiscernible,1,"The feature activations show no clear or consistent pattern among the tokens, indicating randomness or irrelevance."
419,Undiscernible,1,"The activation values do not show a clear pattern, with seemingly random associations among general tokens that do not convey specific low-level or high-level feature characteristics."
1934,Undiscernible,1,"The activations lack a discernible pattern, appearing to be random noise or irrelevant activations."
756,Low-level,3,"The activations suggest a focus on words related to finance or market movements, like 'economic', 'crashed', and 'stock'. However, there is inconsistency with tokens like 'The' and '8', which slightly deviate from the pattern."
365,Low-level,3,"The feature activates around terms related to economic terms like 'crashed', 'stock', and 'crisis', suggesting a low-level focus on specific word context. However, the activation on 'in' and 'during' introduces inconsistency, leading to a score of 3."
1604,High-level,3,"The tokens 'during', 'stock', 'the', 'crisis', and 'crashed' suggest a theme related to financial or economic contexts, potentially indicating a high-level pattern. However, the coherence is moderate, with some general broad theming around economic terminology, but lacks a clear long-range structure."
1157,Low-level,3,"The activations relate to economic and numerical concepts with no clear long-range pattern, showing a consistent but not perfectly clear low-level theme with some inconsistencies in activation values."
1776,Undiscernible,1,"The activation values show no discernible pattern or clear theme, suggesting random or irrelevant activations indicative of noise."
730,Undiscernible,1,"The activation values are similar and low across different tokens with no clear pattern or discernible theme, indicating random noise with no relevance to any specific feature."
1292,Undiscernible,1,"The activations show no clear pattern or thematic structure, suggesting random noise or irrelevant activations."
900,High-level,4,"The tokens activated suggest a clear pattern related to economic contexts, with a focus on financial terminology often relevant in higher-level discussions."
337,Undiscernible,1,"The activation values show no clear pattern or theme. Tokens like 'during', 'in', '.', 'crashed', and '<|begin_of_text|>' do not exhibit a coherent relationship, indicating random or irrelevant activations."
1261,Undiscernible,1,"The activations do not show a discernible pattern, suggesting random noise and irrelevant activations."
751,Low-level,3,"The activation values suggest a focus on certain tokens like 'stock' and 'the', indicating polysemy, but the activation differences are not very pronounced, leading to some inconsistencies in identifying a strong pattern."
582,Undiscernible,1,"The activations are close in value and correspond to very common tokens with no clear pattern or thematic connection, indicating noise or irrelevant activations."
1006,Undiscernible,1,"The feature lacks a discernible pattern, as the activations appear to be random and do not consistently relate to any specific low-level or high-level feature."
1000,Undiscernible,1,"The activation values show no discernible pattern or consistent relevance to a coherent feature, indicating random noise or irrelevant activations."
938,Undiscernible,1,"The activation values show no clear or consistent pattern, with tokens such as 'stock', 'crisis', and 'The' activating similarly, indicating randomness or noise."
930,Undiscernible,1,"The activations lack a clear pattern or theme; tokens like punctuation and generic terms have similar activation values, suggesting random noise or irrelevance."
59,Undiscernible,1,"The activations do not form a clear or consistent pattern, as the tokens are common and seemingly unrelated. They appear to be random without a discernible theme."
1812,Undiscernible,1,"The activation values are very similar and show no clear pattern or significance related to specific tokens, suggesting random noise."
866,Low-level,3,"The feature appears to capture specific word-level elements related to economics, such as 'economic', 'crashed', and 'stock', indicating a pattern. However, tokens like '8' and '200' introduce some inconsistencies, preventing a higher score."
1923,Undiscernible,1,"The activations show no clear pattern or meaningful association among the tokens, indicating random noise or irrelevant activations."
519,Low-level,4,"The feature activates around economic and market-related tokens, indicating a pattern of word-level polysemy. There is a clear pattern with minor inconsistencies, such as the activation of the token '8', which slightly deviates from the theme."
906,Undiscernible,1,"The activations show a lack of clear pattern, with activated tokens being seemingly unrelated, suggesting random noise or irrelevant activations."
1221,Undiscernible,1,"The activations do not show a clear pattern relating to specific low or high-level features, suggesting random noise or irrelevant activations."
1581,Low-level,2,"The tokens activated ('market', '200', 'economic', 'during', 'in') suggest a broad theme related to general context words, possibly indicating a low-level feature. However, the pattern lacks clear structure, leading to a lower monosemanticity score."
34,Undiscernible,1,"The activation values for tokens like 'market', 'stock', 'in', 'economic', and '8' do not form a clear or consistent pattern, resembling random noise rather than a coherent low or high-level feature."
476,Undiscernible,1,"The activations across the tokens do not show a clear pattern or theme, with low-level and unrelated tokens having slight activation, suggesting noise and randomness."
1083,Undiscernible,1,"The activations are low and lack a clear pattern related to any specific tokens, indicating random noise and no discernible feature."
987,Undiscernible,1,"The activation values do not show a consistent pattern or clear association with a specific concept, indicating randomness or noise."
1911,Undiscernible,1,"The activations do not demonstrate a clear or consistent pattern related to either low-level or high-level features. The tokens activated appear random and unrelated, indicating noise."
1115,Undiscernible,1,"The activations show no clear pattern or thematic consistency, suggesting random noise or irrelevant activations."
267,Undiscernible,1,The activations are random and no discernible pattern or association is evident among the tokens.
288,Undiscernible,1,"The activations show no clear or consistent pattern, with random tokens like 'in', 'crisis', 'crashed', including punctuation and the beginning of text token receiving varying levels of activation."
1445,Low-level,2,"The feature activates on common tokens with a slight preference for those related to events ('crashed', 'during'), suggesting a broad theme but lacking a clear, consistent structure."
256,Undiscernible,1,"The activations are low and lack a clear pattern, indicating random associations with no discernible theme or consistent activation."
