Feature Index,Category,Score,Explanation
813,Undiscernible,1,"The activations show no clear pattern or theme, indicative of random noise or irrelevant activations."
931,Low-level,3,"The activations are consistent with a theme related to finance or economic matters, suggesting low-level polysemy, but some tokens lack strong association."
1238,Low-level,3,"The activations are consistent with representing word-level polysemy, such as in the tokens 'crashed' and 'during', indicating a possible focus on contexts related to events or temporal situations, although there is some inconsistency with the activation of 'the' and numerical tokens which decreases the score."
967,Undiscernible,1,"The activations display no clear pattern or consistent theme, suggesting random or irrelevant associations."
1989,Undiscernible,1,"The activations across the tokens do not display a clear or consistent pattern related to a specific theme or structure. The tokens such as 'The', 'during', 'crashed', '8', and 'stock' are not evidently related to a coherent low-level or high-level feature, suggesting random or irrelevant activations."
1371,Undiscernible,1,"The activations appear random and do not display a clear, consistent pattern associated with a specific theme or structure."
648,Undiscernible,1,"The activations show no clear pattern or consistent theme, as they involve varied tokens with no evident relation, indicating randomness or irrelevant activations."
1729,Undiscernible,1,"The activations do not show a clear pattern or meaningful activation distribution, indicating randomness or noise."
1406,Low-level,3,"The activations show a tendency towards economic terms, indicating a low-level feature related to economic contexts, but there are some inconsistencies such as 'the' and 'The'."
1583,Undiscernible,1,"The activation values show no clear pattern or thematic consistency, suggesting random noise or irrelevant activations."
1630,Undiscernible,1,"The activations do not show a discernible pattern or consistent theme, suggesting random noise and irrelevant activations."
442,Undiscernible,1,"The activation values show no clear pattern or consistent theme among the tokens, indicating random noise or irrelevant activations."
34,Undiscernible,1,"The activations show no clear pattern or theme and appear random, with low consistency among the tokens."
1769,Low-level,3,"The feature activates around economic-related words, suggesting a theme, but lacks strong consistency due to mildly varying activation values."
1668,Undiscernible,1,"The activations are inconsistent with no clear pattern, indicating random noise or irrelevant activations across different tokens."
586,Undiscernible,1,"The activations show no clear pattern or theme; they seem random and lack consistency, indicating an undiscernible feature."
288,Low-level,3,"The activations show some focus on specific words like 'crisis' and 'crashed', indicating word-level polysemy, but also include generic tokens like '<|begin_of_text|>', suggesting some inconsistency."
918,Undiscernible,1,"The activations are assigned to common tokens and punctuation with no discernible pattern or theme, suggesting random noise or irrelevant activations."
1518,Undiscernible,1,"The feature shows no clear pattern or structured theme, as the activated tokens do not suggest any coherent semantic or syntactic pattern."
1115,Undiscernible,1,"The activations listed show no clear or meaningful pattern related to specific word-level or high-level semantic content, indicating random noise or irrelevant activations."
954,Undiscernible,1,"The tokens activated ('the', 'in', 'crisis', '8', 'during') lack a consistent pattern or clear theme, indicating no discernible pattern."
386,Undiscernible,1,"The feature activations lack any clear pattern or thematic consistency, suggesting random noise or irrelevant activations."
782,Undiscernible,1,"The activation values do not exhibit a consistent or clear pattern, indicating random noise or irrelevant activations."
1530,Undiscernible,1,"The activations do not show a clear or coherent pattern related to either low-level or high-level features, as the tokens activated appear unrelated and random."
1181,Undiscernible,1,"The activation data shows no clear pattern or theme among the tokens, indicating random noise or irrelevant activations."
1858,Undiscernible,1,"The activation values show no discernible pattern related to specific tokens or meaningful text features, indicating random noise or irrelevant activations."
1065,Low-level,3,"The feature exhibits activation on specific tokens like 'market', 'during', and 'economic', suggesting a low-level theme related to an economic context, but with some inconsistencies as it does not form a clear and specific pattern."
1292,Undiscernible,1,"The activations are associated with random tokens with no apparent pattern or theme, indicating noise or irrelevant activations."
930,Undiscernible,1,"The activations do not show a clear or consistent pattern, appearing random and not tied to any specific tokens or themes, indicating the feature is likely noise."
1634,Undiscernible,1,"The activation values appear random and lack a discernible pattern or consistent theme, indicating noise or irrelevance."
1233,Undiscernible,1,"The activation values do not show a clear or consistent pattern across tokens, suggesting random noise or irrelevant activations."
2004,Undiscernible,1,"The tokens 'in', '200', '.', 'The', and '8' do not present a discernible pattern or theme, indicating random activation with no clear structure."
1252,Undiscernible,1,"The activation data shows no clear pattern or consistent relevance to any specific theme or structure, indicating random or irrelevant activations typical of undiscernible features."
