Feature Index,Category,Score,Explanation
1891,Undiscernible,1,"The activations show no clear or consistent pattern, as the tokens appear unrelated both on a low-level or high-level basis, resembling random noise."
116,Undiscernible,1,"The activation values are low and appear random, with no clear or consistent pattern indicating relevance to a specific feature category."
1845,Undiscernible,1,"The activations do not show a clear, consistent pattern or theme and appear to reflect random or irrelevant activations across different tokens."
1309,Undiscernible,1,"The activations are spread across different tokens without a clear pattern or theme, suggesting random noise and making the feature undiscernible."
1445,Undiscernible,1,"The activation values do not show a clear or consistent pattern, suggesting random or irrelevant activations."
1971,Undiscernible,1,The feature activations appear random and lack a discernible pattern that aligns with either low-level or high-level categorizations.
1174,Undiscernible,1,"The feature activations show no clear pattern or consistent theme, with activation values spread across common tokens without a discernible structure."
1934,Undiscernible,1,"The activations across tokens such as 'in', '8', 'The', 'the', and 'during' show no discernible pattern or thematic consistency, indicating randomness and irrelevance."
742,Low-level,2,"The activations show a broad theme related to economic terms (e.g., 'economic', 'crashed', 'stock') but lack a clear, consistent pattern, indicating word-level polysemy or general economic context, with some randomness."
598,Undiscernible,1,"The tokens have random activations with no discernible pattern, indicating noise."
1000,Low-level,2,"The activations show a weak theme associated with polysemous words like 'crashed', showing a tendency but lacking a clear and consistent pattern."
1238,Low-level,3,"The activations have a clear thematic pattern relating to financial events or narratives, suggesting word-level polysemy. However, some inconsistency exists with the presence of tokens like 'the', which does not strongly relate to the broader theme."
143,Undiscernible,1,"The activation values are similar across different tokens, with no clear pattern or consistent association to any specific semantic or syntactic feature, suggesting random noise."
788,Undiscernible,1,"The activations show no clear pattern, as they consist of random tokens with very low variation in activation values, indicating noise rather than a meaningful feature."
209,Low-level,3,"The tokens have a general theme related to economic concepts like 'stock', 'crisis', and 'market', but the activation values are relatively close and there are some inconsistencies like the token '8', indicating a low-level feature with some inconsistencies."
1465,Undiscernible,1,"The activations show no clear or consistent pattern, with only basic tokens and low activation values, indicating random or irrelevant activations."
60,Undiscernible,1,"The activations show no clear pattern or theme, as they are applied to common tokens without a discernible context or higher semantic meaning."
1894,Undiscernible,1,"The activations show no clear pattern or significant association with any specific word or token category, indicating random noise."
