Batch,Average_L0
0,16324.3984375
1,16324.3984375
2,16324.3984375
3,16324.3984375
4,16324.3984375
5,16324.3984375
6,16324.3984375
7,16324.3984375
8,16324.3984375
9,16324.3984375
10,16324.3984375
11,16324.3984375
12,16324.3984375
13,16324.3984375
14,16324.3984375
15,16324.3984375
16,16324.3984375
17,16324.3984375
18,16324.3984375
19,16324.3984375
20,16324.3984375
21,16324.3984375
22,16324.3984375
23,16324.3984375
24,16324.3984375
25,16324.3984375
26,16324.3984375
27,16324.3984375
28,16324.3984375
29,16324.3984375
30,16324.3984375
31,16324.3984375
32,16324.3984375
33,16324.3984375
34,16324.3984375
35,16324.3984375
36,16324.3984375
37,16324.3984375
38,16324.3984375
39,16324.3984375
40,16324.3984375
41,16324.3984375
42,16324.3984375
43,16324.3984375
44,16324.3984375
45,16324.3984375
46,16324.3984375
47,16324.3984375
48,16324.3984375
49,16324.3984375
