Batch,Average_L0
0,1524.6962890625
1,2872.3408203125
2,1956.744140625
3,3528.3193359375
4,3078.20703125
5,1484.3623046875
6,1448.5029296875
7,1724.716796875
8,3246.419921875
9,1851.634765625
10,2652.658203125
11,1439.3427734375
12,1812.830078125
13,1462.0498046875
14,1659.015625
15,2017.640625
16,1926.265625
17,1535.046875
18,1562.25390625
19,2127.3037109375
20,2832.4765625
21,2743.90625
22,3644.84765625
23,1467.404296875
24,2810.0361328125
25,1826.0673828125
26,1522.849609375
27,2515.03515625
28,1596.90234375
29,1755.890625
30,2920.697265625
31,1570.1923828125
32,1611.2685546875
33,1492.9404296875
34,1953.857421875
35,1428.6044921875
36,2118.1259765625
37,1512.30859375
38,1439.19921875
39,2384.3662109375
40,2238.8681640625
41,2340.134765625
42,1520.529296875
43,1835.77734375
44,1367.400390625
45,1471.8974609375
46,2734.3642578125
47,1499.65625
48,3408.6025390625
49,3240.052734375
