Feature Index,Category,Score,Explanation
1445,Undiscernible,1,"The activation values show no clear or consistent pattern among the tokens, indicating random noise or irrelevant activations."
95,Undiscernible,1,"The feature shows no clear pattern or consistent activation associated with any meaningful group of tokens, indicating random or irrelevant activations."
793,Undiscernible,1,"The activations show no discernible pattern or structure; activation values are sparse and inconsistent, suggesting random noise or irrelevant activations."
1221,Undiscernible,1,The activations appear random with no discernible pattern or clear associated theme.
768,Undiscernible,1,"The activation values are low and show no clear pattern, indicating the activations are likely random noise."
13,Low-level,3,"The activations show a focus on economy-related terms, indicating polysemy at a word level. Although there is an overall pattern relating to economic contexts, the inclusion of 'The' causes a slight inconsistency."
1465,Undiscernible,1,"The activation values show no discernible pattern and seem random, indicating a feature that is likely noise or irrelevant."
539,Undiscernible,1,"The activations on common tokens and punctuation, such as 'the', 'in', 'The', and '.', show no discernible pattern or clear relevance, indicating random noise."
1894,Undiscernible,1,"The tokens activated do not show a consistent pattern or theme, suggesting random noise or irrelevant activations."
363,Undiscernible,1,"The activations do not show a clear pattern or theme, suggesting random noise and irrelevant activations."
1429,Low-level,3,"The feature seems to activate tokens related to economic themes like 'market', 'crisis', and 'economic' but with some variability and lack of coherence, earning it a low-level classification with moderate consistency."
577,Undiscernible,1,The activations appear random and do not form a clear pattern related to any specific context or theme.
159,Undiscernible,1,"The activations lack a discernible pattern and appear random as the tokens activated ('the', 'during', '.', '200') do not conform to a consistent semantic or syntactic theme."
1309,Low-level,2,"The feature shows slight preference for words related to financial events, such as 'stock' and 'crashed,' indicating a low-level pattern. However, the theme is broad and lacks consistent focus, resulting in a score of 2."
1032,Undiscernible,1,"The activations seem random and don't present any clear pattern or theme among the tokens, suggesting the feature is undiscernible."
1188,Undiscernible,1,"The activations show no clear pattern or thematic connection among the tokens, suggesting random noise or irrelevant activations."
1821,Undiscernible,1,"The activations show no clear pattern or theme related to low-level polysemy or high-level patterns, indicating random noise with no discernible pattern."
918,Undiscernible,1,"The activations show no discernible pattern or clear association with specific tokens, indicating the feature is likely random noise."
962,Undiscernible,1,The activations show no clear or consistent pattern and appear to be random or noise.
1279,Undiscernible,1,"The activations lack a coherent pattern and are associated with common, non-specific tokens, indicating random noise."
1447,Undiscernible,1,"The activations do not form a discernible pattern or consistent theme, indicative of random noise or irrelevant activations."
41,Undiscernible,1,"The activations do not reveal a discernible pattern or coherent theme. There is a significant spike in activation for the token <|begin_of_text|>, which does not contribute meaning in terms of content, suggesting the feature may represent noise."
1139,Undiscernible,1,"The activations do not show a clear pattern or theme, indicating random noise or irrelevant activations."
131,Low-level,2,"The feature shows a slight focus on tokens related to financial topics (e.g., 'stock', 'market', 'crisis'), but the overall activation pattern is weak and lacks clear structure. The only prominent activation is on a non-informative token, indicating a broad theme without strong consistency."
391,Undiscernible,1,"The activation values do not show a clear, consistent pattern linked to a coherent semantic or grammatical construct, indicating random noise or irrelevance."
1696,Undiscernible,1,"The activations are very low and show no discernible pattern, suggesting random noise or irrelevant activations."
1028,Undiscernible,1,"The feature shows no clear pattern of activations related to a specific theme or concept, indicating randomness or noise."
1934,Undiscernible,1,"The activations are associated with tokens that do not show any clear pattern or thematic consistency. Tokens like 'The', 'in', and 'during' are common and context-dependent, while '8' and '<|begin_of_text|>' add to the lack of a discernible pattern, indicating random or noise-like activations."
