Feature Index,Category,Score,Explanation
1447,Undiscernible,1,"The activations show no discernible pattern, indicating random noise or irrelevant activations."
1519,Undiscernible,1,"The activations do not form a consistent or clear pattern, with tokens like 'during', '200', 'economic', 'crashed', and a special token indicating random or irrelevant activations."
13,Undiscernible,1,"The activations do not show a clear or consistent pattern, as the tokens appear unrelated and the activation values are close to each other without highlighting a specific theme."
888,Low-level,3,"The activation values show relevance to a range of tokens that suggest a broad theme but lack a clear structure, potentially indicative of word-level polysemy."
1530,Undiscernible,1,"The tokens activated ('economic', 'crisis', '.', '8', '<|begin_of_text|>') show no clear pattern or theme that can be described as low-level or high-level, suggesting random noise and irrelevant activations."
152,Undiscernible,1,"The activation values do not show any discernible pattern, as they appear to be distributed without any clear association to a specific theme or pattern. This suggests random activations, indicative of undiscernible features."
563,Undiscernible,1,"The activations show no clear discernible pattern or theme linking these tokens; thus, the feature appears random or irrelevant."
148,Undiscernible,1,"The activations do not show a discernible pattern or clear theme, indicating this feature is likely random noise or irrelevant."
14,Low-level,3,"The tokens 'stock', 'the', and 'crashed' show a slight pattern related to low-level polysemy, indicating a word-level feature with some inconsistencies in activation values."
1247,Undiscernible,1,"The activation values are uniformly low and apply to generic tokens like 'the', 'in', and '.', indicating no specific pattern or theme, suggesting random noise or irrelevant activations."
2024,Undiscernible,1,"The activations do not exhibit a clear pattern, and the tokens activated appear random and unrelated, lacking any discernible structure or consistent theme."
1465,Undiscernible,1,"The tokens have low activation values and lack any discernible pattern or consistent theme, indicating randomness and irrelevance."
2000,Undiscernible,1,"The activations lack a discernible pattern or consistent theme, resembling random noise or irrelevant activations."
60,Undiscernible,1,"The activations show no clear or consistent pattern across the tokens, suggesting random noise or irrelevance."
339,Undiscernible,1,"The activation data shows no clear pattern or thematic consistency, suggesting this feature is irrelevant or random noise."
930,Undiscernible,1,"The feature shows activation on common tokens and special tokens like start-of-text, with no discernible pattern indicating meaningful associations."
906,Low-level,2,"The activations are focused on specific words but lack a strong cohesive theme or distinct pattern, indicating a broad theme without clear structure."
1860,Undiscernible,1,"The token activations lack a discernible pattern, indicating random noise or irrelevant activations."
1894,Undiscernible,1,"The activation values for the tokens show no clear pattern or relevance to specific content, suggesting random noise or irrelevant activations typical of an undiscernible feature."
535,Undiscernible,1,"The activation values show no clear pattern or thematic consistency across tokens, indicating randomness or noise."
