Batch,Average_L0
0,10767.8193359375
1,10625.16796875
2,10710.759765625
3,10587.84765625
4,10642.3203125
5,10790.3935546875
6,10769.935546875
7,10742.8896484375
8,10622.97265625
9,10729.615234375
10,10679.677734375
11,10742.9111328125
12,10758.0361328125
13,10747.3955078125
14,10728.7861328125
15,10717.935546875
16,10730.5400390625
17,10780.5498046875
18,10782.84375
19,10680.0146484375
20,10667.94140625
21,10675.0185546875
22,10607.681640625
23,10783.8349609375
24,10646.857421875
25,10704.3544921875
26,10791.01953125
27,10683.71484375
28,10787.24609375
29,10738.0849609375
30,10649.7177734375
31,10771.05078125
32,10768.7783203125
33,10773.0634765625
34,10741.662109375
35,10786.0634765625
36,10695.65625
37,10763.8330078125
38,10766.8779296875
39,10676.720703125
40,10693.7177734375
41,10704.189453125
42,10793.0
43,10729.5849609375
44,10752.3818359375
45,10766.619140625
46,10679.296875
47,10805.4609375
48,10615.4169921875
49,10599.83984375
