Feature Index,Category,Score,Explanation
639,Undiscernible,1,"The activated tokens do not form a discernible pattern or theme, indicating random or irrelevant activations."
256,Undiscernible,1,"The activations lack a discernible pattern or clear theme, indicating random or irrelevant activations."
1156,Undiscernible,1,"The activations show no clear discernible pattern, indicating random or irrelevant activations with low values and unrelated tokens."
1471,Undiscernible,1,"The activations show no clear pattern or theme, with tokens related to multiple disjointed concepts such as 'crisis', 'economic', and a beginning-of-text marker."
783,Undiscernible,1,"The activations show no discernible pattern or clear association with specific words or linguistic structures, indicating random noise or irrelevant activations."
1238,Undiscernible,1,"The activations show no clear pattern or theme across different tokens, indicating random noise or irrelevant activations."
1292,Undiscernible,1,"The activations do not show any discernible pattern or clear theme, instead appearing random and inconsistent."
1233,Undiscernible,1,"The activations do not present a clear pattern or coherent theme, as the token values seem random and lack significant association with any specific concept or group, indicating no discernible pattern."
772,Undiscernible,1,"The activations show no clear pattern or consistent theme among the tokens, indicating random noise or irrelevant activations."
34,Low-level,3,"The activations focus on tokens related to economics, indicating a theme; however, the pattern is not entirely consistent given the presence of unrelated tokens such as '8' and '<|begin_of_text|>'."
781,Low-level,3,"The activations reflect associations with potentially polysemous tokens like 'stock' and 'crashed', indicating some word-level patterns with inconsistencies."
866,Undiscernible,1,"The activation values show no clear pattern or consistent theme connecting the tokens, suggesting random or irrelevant activations."
696,Undiscernible,1,"The token activations do not show a clear pattern or theme, as the tokens appear random and unrelated. There is no discernible focus or consistency in the activations."
953,Undiscernible,1,"The activations do not display a clear pattern or theme, with varying unrelated tokens showing similar activation levels. This randomness indicates the feature likely represents noise or is irrelevant."
1373,Low-level,3,"The tokens (e.g., 'crisis', 'crashed', 'economic') indicate a theme around economic downturns or crises, showing a pattern at the word level. However, the presence of tokens like 'during' and '8' introduces some inconsistencies, preventing a higher score."
255,Undiscernible,1,"The activation values show no discernible pattern or thematic consistency across the tokens, indicating random activations."
63,Undiscernible,1,"The activations lack a clear pattern, with tokens showing low and similar activation values, suggesting random noise or irrelevant activations."
1660,Undiscernible,1,"The activations are random and do not exhibit a clear pattern, indicating noise or irrelevant activations."
606,Low-level,3,"The tokens with higher activation values relate to economic terms, suggesting a theme of financial topics. However, the inclusion of the token '200' indicates some inconsistency in the pattern."
1828,Low-level,3,"The activations suggest a common theme related to economic or market events ('crashed', 'crisis', 'stock'), indicating low-level polysemy related to financial terms. However, the presence of '8' and 'during' without a clear connection makes the pattern inconsistent."
782,Undiscernible,1,"The activations are on seemingly unrelated tokens without a clear pattern or theme, indicating random noise."
573,Low-level,2,"The feature activates around tokens related to economic events (e.g., 'stock', 'crisis', 'crashed'), suggesting a loose theme but lacks clear structural consistency."
1406,Low-level,3,"The tokens have a general theme around economic concepts, but the activation values are fairly close, indicating a clear pattern with some inconsistencies."
1053,Undiscernible,1,"The activations are low and occur on disconnected tokens without a clear, discernible pattern, indicating random noise or irrelevant activations."
30,Undiscernible,1,"The activations do not show any discernible pattern or consistent theme indicating meaningful features, suggesting randomness or irrelevant activations."
149,Low-level,3,"The activations suggest a focus on specific terms related to markets and finance, indicating low-level word-level polysemy. However, the inclusion of numerical tokens like '200' suggests some inconsistency, thus a score of 3."
730,Undiscernible,1,"The tokens activated show no clear or consistent pattern, making the feature seem like random noise or irrelevant activations."
553,Low-level,4,"The activations are related to economic contexts like 'stock', 'crisis', and 'crashed', indicating a clear pattern with a thematic relevance to economic perturbations. Only minor deviations are present, supporting a consistent association."
1274,Undiscernible,1,"The activations show no clear pattern, with the highest activation on a non-semantic token and low relevance across other tokens, indicating noise."
1877,Undiscernible,1,"The activations are spread across unrelated tokens like 'crisis', '8', 'economic', 'stock', and 'The', showing no discernible pattern."
