Batch,Average_L0
0,1457.1630859375
1,2854.16015625
2,1911.2587890625
3,3517.96484375
4,3059.12890625
5,1426.1220703125
6,1389.380859375
7,1675.080078125
8,3237.2255859375
9,1807.375
10,2637.23046875
11,1383.697265625
12,1764.8779296875
13,1403.4892578125
14,1612.517578125
15,1966.13671875
16,1878.669921875
17,1477.3984375
18,1506.359375
19,2092.19921875
20,2807.1025390625
21,2709.552734375
22,3639.6181640625
23,1414.3740234375
24,2782.1923828125
25,1777.54296875
26,1466.0205078125
27,2483.31640625
28,1535.7265625
29,1712.3359375
30,2897.78515625
31,1511.1630859375
32,1556.3486328125
33,1435.490234375
34,1897.908203125
35,1375.416015625
36,2076.044921875
37,1450.0185546875
38,1379.3271484375
39,2349.755859375
40,2203.4501953125
41,2295.52734375
42,1458.0234375
43,1787.08984375
44,1312.5517578125
45,1409.94921875
46,2705.982421875
47,1456.2109375
48,3390.296875
49,3232.36328125
