Feature Index,Category,Score,Explanation
1373,Low-level,4,"The activations indicate a pattern related to economically significant events, with terms like 'crisis', 'stock', 'economic', and 'crashed' showing higher relevance. There is one example, '8', that slightly deviates from the clear economic context, suggesting a highly consistent but not perfect pattern."
606,Low-level,3,"The tokens activated suggest a focus on economic terms, with some activation on numerical and special tokens, indicating a low-level focus on specific words and themes, though the inclusion of <|begin_of_text|> suggests some inconsistency."
1655,Low-level,4,"The activations suggest a focus on economic or market-related terms ('stock', 'crashed', 'economic'), indicating a pattern related to economic events, which aligns with low-level, word-level polysemy."
225,Undiscernible,1,"The activations lack a clear pattern or thematic consistency, indicating random noise or irrelevant activations."
568,Low-level,3,"The feature shows a pattern possibly related to specific topics such as economic events, but the presence of a random token suggests inconsistency in activation, indicating a low-level word-level polysemy with some inconsistencies."
673,Undiscernible,1,"The activations do not show a discernible pattern, and the tokens appear unrelated, indicating random noise or irrelevant activations."
1205,Low-level,3,"The activations show a trend towards economic or stock-related terms, indicating a low-level feature focused on word-level polysemy associated with financial themes. There is some consistency, but the pattern is obscured by minor deviations."
1156,Undiscernible,1,"The activations display no clear pattern or thematic coherence, suggesting random or irrelevant activations."
1155,Undiscernible,1,"The activations lack a discernible pattern or coherent theme, with high activation on various unrelated tokens like 'The', 'economic', and numbers."
116,Undiscernible,1,"The activations are low and dispersed, showing no clear pattern or consistent activation indicating that the feature is mostly noise with no identifiable focus."
782,Undiscernible,1,The activation values do not show a discernible or consistent pattern and appear to be random or irrelevant.
80,Undiscernible,1,"The activations show no discernible pattern, with tokens having low and non-specific activation values, indicating random noise or irrelevant activations."
1468,Undiscernible,1,"The activation values show no clear pattern or strong association with specific tokens or themes, and the tokens themselves seem unrelated, indicating random noise or irrelevant activations."
103,Undiscernible,1,"The activation values show no discernible pattern and seem to be random, suggesting an undiscernible feature."
866,Low-level,3,"The activations suggest an association with economic terms, indicating a low-level theme. However, the pattern is inconsistent due to the inclusion of indistinct numerical tokens."
953,Low-level,3,"The activations are focused on specific tokens suggesting a pattern, but there are some inconsistencies that prevent a clear categorization."
781,Undiscernible,2,"The tokens activated by this feature do not form a clear or consistent pattern, and the activation values suggest random associations, making it challenging to fit them into a coherent low-level or high-level interpretation."
215,Undiscernible,1,"The activations show no clear or consistent pattern, indicating random noise or irrelevant activations."
195,Low-level,3,"The feature shows activations for economically related terms, indicating a word-level pattern. However, the presence of an unrelated token like '8' suggests some inconsistencies."
107,Low-level,3,"The feature activates around economic-related terms such as 'stock', 'crashed', 'economic', suggesting a theme related to financial contexts. However, the presence of tokens like 'during' and '8' introduces some inconsistency, reducing the clarity of the pattern."
1216,Low-level,3,"The activated tokens such as 'crisis', 'crashed', and 'economic' suggest an underlying theme related to economic activity or conditions, typical of word-level semantics. However, the presence of tokens like '8' and 'during' introduces some inconsistencies, preventing a higher score."
1828,Undiscernible,1,The activations do not reveal a clear pattern and appear to be arbitrary without a discernible theme or structure.
987,Undiscernible,1,"The activations are associated with seemingly random tokens, lacking a clear pattern or thematic consistency."
864,Undiscernible,1,"The feature activation data does not show a clear or consistent pattern, and the activations appear random with no apparent semantic or thematic cohesion."
1371,Undiscernible,1,"The activations lack a clear pattern or consistent theme, indicating random noise or irrelevant activations."
302,Undiscernible,1,"The activations show no clear consistent theme or pattern, indicating randomness or noise."
1809,Undiscernible,1,"The activation values show no clear pattern or discernible theme related to low-level or high-level features. The tokens activated seem random and lack consistency, indicating the feature is undiscernible."
1986,Low-level,3,"The tokens activated are mostly related to economic and financial terminology, indicating a consistent theme, but the presence of unrelated token '8' suggests some inconsistency."
255,Undiscernible,1,"The activations show no clear pattern or consistent theme, with the tokens listed not appearing to share a common semantic or syntactic thread suggestive of a meaningful feature."
573,Undiscernible,1,"The activations show no clear or consistent pattern across the tokens, suggesting random noise or irrelevant activations."
783,Undiscernible,1,"The feature activations do not present a clear, consistent pattern, as the tokens are unrelated, indicating random noise or irrelevant activations."
1193,Undiscernible,1,"The tokens activated do not form a clear pattern or cohesive theme, indicating random or noise-like activations."
1157,Low-level,3,"The activation values suggest a focus on economic terms, indicating a low-level feature with a clear overall pattern, though there are some inconsistencies with numerical tokens."
381,Low-level,3,"The activations suggest a possible theme related to economic terms and events, such as 'stock' and 'crashed', indicating word-level polysemy. However, the pattern is not very strong and there are inconsistencies, leading to a moderate monosemanticity score."
108,Low-level,3,"The feature shows activations on individual words such as 'during', 'crisis', 'The', '8', and 'economic', indicating a focus on word-level semantics typical of low-level features, with some inconsistencies in pattern observed."
