Estimating norm scaling factor: 100%|██████████| 1000/1000 [01:06<00:00, 15.15it/s]
4600| l1_loss: 0.00000 | mse_loss: 46.68287:  57%|█████▊    | 2355200/4096000 [17:18<10:42, 2709.46it/s]
                                                               
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.0011771559206856135, 'ce_loss_with_ablation': 8.3441743850708, 'ce_loss_with_sae': 8.3511381149292, 'ce_loss_without_sae': 2.428450107574463}, 'reconstruction_quality': {'explained_variance': -0.001027194783091545, 'mse': 29.768178939819336, 'cossim': 0.32203105092048645}, 'shrinkage': {'l2_norm_in': 51.4463005065918, 'l2_norm_out': 0.0023535822983831167, 'l2_ratio': 5.969674020889215e-05, 'relative_reconstruction_bias': 0.008917339146137238}, 'sparsity': {'l0': 17.122461318969727, 'l1': 0.37575563788414}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.0035338833416843204, 'ce_loss_with_ablation': 8.179327964782715, 'ce_loss_with_sae': 8.199381828308105, 'ce_loss_without_sae': 2.504589557647705}, 'reconstruction_quality': {'explained_variance': -0.008668405003845692, 'mse': 29.391590118408203, 'cossim': 0.3062363564968109}, 'shrinkage': {'l2_norm_in': 51.35799026489258, 'l2_norm_out': 0.004420515149831772, 'l2_ratio': 0.00012144341599196196, 'relative_reconstruction_bias': 0.0003960603498853743}, 'sparsity': {'l0': 1.0224609375, 'l1': 0.013244193978607655}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.006843181051284717, 'ce_loss_with_ablation': 8.407093048095703, 'ce_loss_with_sae': 8.4475679397583, 'ce_loss_without_sae': 2.492461919784546}, 'reconstruction_quality': {'explained_variance': -0.016965504735708237, 'mse': 28.43543815612793, 'cossim': 0.294729083776474}, 'shrinkage': {'l2_norm_in': 50.79108428955078, 'l2_norm_out': 0.006985589861869812, 'l2_ratio': 0.0001909709390019998, 'relative_reconstruction_bias': 0.0010730427457019687}, 'sparsity': {'l0': 3.051953077316284, 'l1': 0.07148797065019608}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.009764120520086798, 'ce_loss_with_ablation': 8.274026870727539, 'ce_loss_with_sae': 8.330906867980957, 'ce_loss_without_sae': 2.448617696762085}, 'reconstruction_quality': {'explained_variance': -0.01993168704211712, 'mse': 28.474802017211914, 'cossim': 0.2917778193950653}, 'shrinkage': {'l2_norm_in': 50.868865966796875, 'l2_norm_out': 0.009044855833053589, 'l2_ratio': 0.00024702571681700647, 'relative_reconstruction_bias': 0.0007973486790433526}, 'sparsity': {'l0': 0.2650390565395355, 'l1': 0.0026503275148570538}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.016363631719852834, 'ce_loss_with_ablation': 8.290864944458008, 'ce_loss_with_sae': 8.38709831237793, 'ce_loss_without_sae': 2.409935235977173}, 'reconstruction_quality': {'explained_variance': -0.019953668117523193, 'mse': 28.146936416625977, 'cossim': 0.2913064658641815}, 'shrinkage': {'l2_norm_in': 50.788780212402344, 'l2_norm_out': 0.011500314809381962, 'l2_ratio': 0.000314682605676353, 'relative_reconstruction_bias': 0.001016407273709774}, 'sparsity': {'l0': 0.11835937947034836, 'l1': 0.0004012419085483998}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.019007726971665705, 'ce_loss_with_ablation': 8.138930320739746, 'ce_loss_with_sae': 8.248712539672852, 'ce_loss_without_sae': 2.363267660140991}, 'reconstruction_quality': {'explained_variance': -0.014195665717124939, 'mse': 28.70875358581543, 'cossim': 0.2900095582008362}, 'shrinkage': {'l2_norm_in': 51.07990646362305, 'l2_norm_out': 0.013915682211518288, 'l2_ratio': 0.0003800399135798216, 'relative_reconstruction_bias': 0.0012353044003248215}, 'sparsity': {'l0': 0.25, 'l1': 0.002851718571037054}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.03555177399680818, 'ce_loss_with_ablation': 7.877847194671631, 'ce_loss_with_sae': 8.076071739196777, 'ce_loss_without_sae': 2.3021888732910156}, 'reconstruction_quality': {'explained_variance': -0.06603814661502838, 'mse': 23.356176376342773, 'cossim': 0.29499706625938416}, 'shrinkage': {'l2_norm_in': 47.190765380859375, 'l2_norm_out': 0.016320055350661278, 'l2_ratio': 0.0004649510665331036, 'relative_reconstruction_bias': 0.0014783951919525862}, 'sparsity': {'l0': 0.06855469197034836, 'l1': 0.0005742604262195528}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.032233647011109125, 'ce_loss_with_ablation': 8.123493194580078, 'ce_loss_with_sae': 8.314762115478516, 'ce_loss_without_sae': 2.1896650791168213}, 'reconstruction_quality': {'explained_variance': 0.01494508981704712, 'mse': 30.873733520507812, 'cossim': 0.293608158826828}, 'shrinkage': {'l2_norm_in': 51.62335968017578, 'l2_norm_out': 0.01924249902367592, 'l2_ratio': 0.0005391066079027951, 'relative_reconstruction_bias': 0.0017127275932580233}, 'sparsity': {'l0': 0.015625, 'l1': 1.653837171033956e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.022917381294556474, 'ce_loss_with_ablation': 8.417459487915039, 'ce_loss_with_sae': 8.554033279418945, 'ce_loss_without_sae': 2.458061695098877}, 'reconstruction_quality': {'explained_variance': -0.014702214859426022, 'mse': 28.812210083007812, 'cossim': 0.29194605350494385}, 'shrinkage': {'l2_norm_in': 50.71451187133789, 'l2_norm_out': 0.021372465416789055, 'l2_ratio': 0.0005901893600821495, 'relative_reconstruction_bias': 0.0019042734056711197}, 'sparsity': {'l0': 0.04726562649011612, 'l1': 0.00015555588470306247}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.035076874172193864, 'ce_loss_with_ablation': 8.14732551574707, 'ce_loss_with_sae': 8.357478141784668, 'ce_loss_without_sae': 2.1561238765716553}, 'reconstruction_quality': {'explained_variance': -0.004563002847135067, 'mse': 29.38624382019043, 'cossim': 0.2910324037075043}, 'shrinkage': {'l2_norm_in': 51.387481689453125, 'l2_norm_out': 0.02326001226902008, 'l2_ratio': 0.000639603880699724, 'relative_reconstruction_bias': 0.0020664462354034185}, 'sparsity': {'l0': 0.0021484375465661287, 'l1': 1.9498371329973452e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.05075518236141492, 'ce_loss_with_ablation': 7.67152214050293, 'ce_loss_with_sae': 7.94345760345459, 'ce_loss_without_sae': 2.313735008239746}, 'reconstruction_quality': {'explained_variance': -0.040906667709350586, 'mse': 25.466060638427734, 'cossim': 0.2936941683292389}, 'shrinkage': {'l2_norm_in': 48.9029655456543, 'l2_norm_out': 0.02560652606189251, 'l2_ratio': 0.0007172468467615545, 'relative_reconstruction_bias': 0.0023012030869722366}, 'sparsity': {'l0': 0.008007812313735485, 'l1': 0.00010197913798037916}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
