Estimating norm scaling factor: 100%|██████████| 1000/1000 [00:18<00:00, 55.10it/s]
4600| l0_loss: 38099.48438 | mse_loss: 2.46654:  19%|█▉        | 2355200/12288000 [04:19<15:44, 10515.77it/s]
                                                               
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.014719285310627217, 'ce_loss_with_ablation': 8.3441743850708, 'ce_loss_with_sae': 8.431249618530273, 'ce_loss_without_sae': 2.428450107574463}, 'reconstruction_quality': {'explained_variance': -0.0009467832860536873, 'mse': 23.93855094909668, 'cossim': 0.2684171199798584}, 'shrinkage': {'l2_norm_in': 46.161800384521484, 'l2_norm_out': 0.07443112879991531, 'l2_ratio': 0.0005594735266640782, 'relative_reconstruction_bias': 0.03882608562707901}, 'sparsity': {'l0': 318.3677673339844, 'l1': 32.676021575927734}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.36825180246452566, 'ce_loss_with_ablation': 8.179327964782715, 'ce_loss_with_sae': 6.089595317840576, 'ce_loss_without_sae': 2.504589557647705}, 'reconstruction_quality': {'explained_variance': 0.00435527553781867, 'mse': 23.048221588134766, 'cossim': 0.43662863969802856}, 'shrinkage': {'l2_norm_in': 46.08256149291992, 'l2_norm_out': 0.6564604640007019, 'l2_ratio': 0.013782898895442486, 'relative_reconstruction_bias': 0.01910150609910488}, 'sparsity': {'l0': 593.4597778320312, 'l1': 448.3343811035156}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5856704278955284, 'ce_loss_with_ablation': 8.407093048095703, 'ce_loss_with_sae': 4.943068504333496, 'ce_loss_without_sae': 2.492461919784546}, 'reconstruction_quality': {'explained_variance': 0.006233375519514084, 'mse': 21.618030548095703, 'cossim': 0.5593459010124207}, 'shrinkage': {'l2_norm_in': 45.57388687133789, 'l2_norm_out': 0.9986464381217957, 'l2_ratio': 0.019229119643568993, 'relative_reconstruction_bias': 0.0334424264729023}, 'sparsity': {'l0': 1188.951171875, 'l1': 843.2705078125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8028276872071366, 'ce_loss_with_ablation': 8.274026870727539, 'ce_loss_with_sae': 3.597227096557617, 'ce_loss_without_sae': 2.448617696762085}, 'reconstruction_quality': {'explained_variance': 0.011889551766216755, 'mse': 21.396024703979492, 'cossim': 0.6624957919120789}, 'shrinkage': {'l2_norm_in': 45.643680572509766, 'l2_norm_out': 1.1645386219024658, 'l2_ratio': 0.022781431674957275, 'relative_reconstruction_bias': 0.036661144345998764}, 'sparsity': {'l0': 1899.5306396484375, 'l1': 1307.822509765625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9371226624128921, 'ce_loss_with_ablation': 8.290864944458008, 'ce_loss_with_sae': 2.779712438583374, 'ce_loss_without_sae': 2.409935235977173}, 'reconstruction_quality': {'explained_variance': 0.020567912608385086, 'mse': 21.069721221923828, 'cossim': 0.7459293007850647}, 'shrinkage': {'l2_norm_in': 45.571815490722656, 'l2_norm_out': 1.2936983108520508, 'l2_ratio': 0.026205075904726982, 'relative_reconstruction_bias': 0.03785238787531853}, 'sparsity': {'l0': 2639.701904296875, 'l1': 1812.7547607421875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9581038258798752, 'ce_loss_with_ablation': 8.138930320739746, 'ce_loss_with_sae': 2.60524582862854, 'ce_loss_without_sae': 2.363267660140991}, 'reconstruction_quality': {'explained_variance': 0.030123133212327957, 'mse': 21.471561431884766, 'cossim': 0.7819080352783203}, 'shrinkage': {'l2_norm_in': 45.833038330078125, 'l2_norm_out': 1.3602205514907837, 'l2_ratio': 0.027742816135287285, 'relative_reconstruction_bias': 0.03799434378743172}, 'sparsity': {'l0': 3156.266357421875, 'l1': 2210.886962890625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9753184019537154, 'ce_loss_with_ablation': 7.877847194671631, 'ce_loss_with_sae': 2.439805030822754, 'ce_loss_without_sae': 2.3021888732910156}, 'reconstruction_quality': {'explained_variance': -0.01582503877580166, 'mse': 17.468963623046875, 'cossim': 0.8091205954551697}, 'shrinkage': {'l2_norm_in': 42.343387603759766, 'l2_norm_out': 1.2856080532073975, 'l2_ratio': 0.029101163148880005, 'relative_reconstruction_bias': 0.03802752122282982}, 'sparsity': {'l0': 3620.44921875, 'l1': 2397.733154296875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9826207348447034, 'ce_loss_with_ablation': 8.123493194580078, 'ce_loss_with_sae': 2.292790651321411, 'ce_loss_without_sae': 2.1896650791168213}, 'reconstruction_quality': {'explained_variance': 0.0667780414223671, 'mse': 23.057510375976562, 'cossim': 0.858465850353241}, 'shrinkage': {'l2_norm_in': 46.3206672668457, 'l2_norm_out': 1.5016120672225952, 'l2_ratio': 0.030980786308646202, 'relative_reconstruction_bias': 0.038009531795978546}, 'sparsity': {'l0': 3970.361083984375, 'l1': 2899.862060546875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9815980667900327, 'ce_loss_with_ablation': 8.417459487915039, 'ce_loss_with_sae': 2.5677261352539062, 'ce_loss_without_sae': 2.458061695098877}, 'reconstruction_quality': {'explained_variance': 0.03866983577609062, 'mse': 21.523216247558594, 'cossim': 0.8567312359809875}, 'shrinkage': {'l2_norm_in': 45.50518035888672, 'l2_norm_out': 1.4678514003753662, 'l2_ratio': 0.030977392569184303, 'relative_reconstruction_bias': 0.03801901265978813}, 'sparsity': {'l0': 4285.4365234375, 'l1': 3119.117919921875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9903481729279184, 'ce_loss_with_ablation': 8.14732551574707, 'ce_loss_with_sae': 2.2139499187469482, 'ce_loss_without_sae': 2.1561238765716553}, 'reconstruction_quality': {'explained_variance': 0.05281174182891846, 'mse': 21.93861961364746, 'cossim': 0.8892275094985962}, 'shrinkage': {'l2_norm_in': 46.1090202331543, 'l2_norm_out': 1.5498554706573486, 'l2_ratio': 0.03252604231238365, 'relative_reconstruction_bias': 0.038000594824552536}, 'sparsity': {'l0': 4548.19677734375, 'l1': 3405.97265625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9943922238457599, 'ce_loss_with_ablation': 7.67152214050293, 'ce_loss_with_sae': 2.343780279159546, 'ce_loss_without_sae': 2.313735008239746}, 'reconstruction_quality': {'explained_variance': 0.01815551333129406, 'mse': 19.016422271728516, 'cossim': 0.8883552551269531}, 'shrinkage': {'l2_norm_in': 43.87971115112305, 'l2_norm_out': 1.4615956544876099, 'l2_ratio': 0.032397616654634476, 'relative_reconstruction_bias': 0.038024868816137314}, 'sparsity': {'l0': 4795.03369140625, 'l1': 3489.24072265625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9904447167288238, 'ce_loss_with_ablation': 8.263566970825195, 'ce_loss_with_sae': 2.2184031009674072, 'ce_loss_without_sae': 2.1600825786590576}, 'reconstruction_quality': {'explained_variance': 0.051524098962545395, 'mse': 22.045438766479492, 'cossim': 0.8826746940612793}, 'shrinkage': {'l2_norm_in': 46.20183181762695, 'l2_norm_out': 1.5421361923217773, 'l2_ratio': 0.03234134241938591, 'relative_reconstruction_bias': 0.03803989291191101}, 'sparsity': {'l0': 5003.90087890625, 'l1': 3795.466796875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9947308201880335, 'ce_loss_with_ablation': 7.926191806793213, 'ce_loss_with_sae': 2.3437283039093018, 'ce_loss_without_sae': 2.314157485961914}, 'reconstruction_quality': {'explained_variance': 0.002959098434075713, 'mse': 17.776165008544922, 'cossim': 0.9086210131645203}, 'shrinkage': {'l2_norm_in': 42.69443893432617, 'l2_norm_out': 1.4532006978988647, 'l2_ratio': 0.033385876566171646, 'relative_reconstruction_bias': 0.03804076462984085}, 'sparsity': {'l0': 5250.9345703125, 'l1': 3864.820068359375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9925401285244732, 'ce_loss_with_ablation': 8.118090629577637, 'ce_loss_with_sae': 2.2394518852233887, 'ce_loss_without_sae': 2.195268392562866}, 'reconstruction_quality': {'explained_variance': 0.053260933607816696, 'mse': 21.568960189819336, 'cossim': 0.9211506843566895}, 'shrinkage': {'l2_norm_in': 45.868587493896484, 'l2_norm_out': 1.6007044315338135, 'l2_ratio': 0.03413231298327446, 'relative_reconstruction_bias': 0.03805781528353691}, 'sparsity': {'l0': 5431.14306640625, 'l1': 4196.1298828125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9903653117858511, 'ce_loss_with_ablation': 8.427742958068848, 'ce_loss_with_sae': 2.5115747451782227, 'ce_loss_without_sae': 2.454019784927368}, 'reconstruction_quality': {'explained_variance': 0.047794803977012634, 'mse': 21.760784149169922, 'cossim': 0.9079920649528503}, 'shrinkage': {'l2_norm_in': 45.93000411987305, 'l2_norm_out': 1.5711817741394043, 'l2_ratio': 0.03336257115006447, 'relative_reconstruction_bias': 0.03804604709148407}, 'sparsity': {'l0': 5611.6376953125, 'l1': 4365.48193359375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9932014532238064, 'ce_loss_with_ablation': 8.402118682861328, 'ce_loss_with_sae': 2.4534647464752197, 'ce_loss_without_sae': 2.412745714187622}, 'reconstruction_quality': {'explained_variance': 0.04963124170899391, 'mse': 21.448610305786133, 'cossim': 0.9183573126792908}, 'shrinkage': {'l2_norm_in': 45.59210968017578, 'l2_norm_out': 1.5767253637313843, 'l2_ratio': 0.03383226320147514, 'relative_reconstruction_bias': 0.03802274540066719}, 'sparsity': {'l0': 5801.19140625, 'l1': 4476.91748046875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9955478841017924, 'ce_loss_with_ablation': 8.146868705749512, 'ce_loss_with_sae': 2.109934091567993, 'ce_loss_without_sae': 2.0829367637634277}, 'reconstruction_quality': {'explained_variance': 0.0563204251229763, 'mse': 21.584564208984375, 'cossim': 0.9322891235351562}, 'shrinkage': {'l2_norm_in': 46.20526885986328, 'l2_norm_out': 1.6307499408721924, 'l2_ratio': 0.034617502242326736, 'relative_reconstruction_bias': 0.03805374726653099}, 'sparsity': {'l0': 5955.42431640625, 'l1': 4705.13427734375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.993293807950125, 'ce_loss_with_ablation': 8.202306747436523, 'ce_loss_with_sae': 2.164107084274292, 'ce_loss_without_sae': 2.123340368270874}, 'reconstruction_quality': {'explained_variance': 0.05492860823869705, 'mse': 21.91273307800293, 'cossim': 0.9208097457885742}, 'shrinkage': {'l2_norm_in': 46.091243743896484, 'l2_norm_out': 1.6017448902130127, 'l2_ratio': 0.03398960456252098, 'relative_reconstruction_bias': 0.03805302456021309}, 'sparsity': {'l0': 6090.81494140625, 'l1': 4809.31591796875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9953283149435989, 'ce_loss_with_ablation': 8.009419441223145, 'ce_loss_with_sae': 2.082242012023926, 'ce_loss_without_sae': 2.05442214012146}, 'reconstruction_quality': {'explained_variance': 0.06625000387430191, 'mse': 21.83673667907715, 'cossim': 0.9426577687263489}, 'shrinkage': {'l2_norm_in': 46.077999114990234, 'l2_norm_out': 1.6406787633895874, 'l2_ratio': 0.035034336149692535, 'relative_reconstruction_bias': 0.03808361664414406}, 'sparsity': {'l0': 6229.49755859375, 'l1': 4977.33349609375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9947168858853099, 'ce_loss_with_ablation': 8.16748046875, 'ce_loss_with_sae': 2.4734983444213867, 'ce_loss_without_sae': 2.4432566165924072}, 'reconstruction_quality': {'explained_variance': 0.05390819534659386, 'mse': 21.329626083374023, 'cossim': 0.9409593939781189}, 'shrinkage': {'l2_norm_in': 46.04875564575195, 'l2_norm_out': 1.6365219354629517, 'l2_ratio': 0.034968163818120956, 'relative_reconstruction_bias': 0.03807658702135086}, 'sparsity': {'l0': 6383.1220703125, 'l1': 5142.69873046875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9987279914619042, 'ce_loss_with_ablation': 7.681670665740967, 'ce_loss_with_sae': 2.309885263442993, 'ce_loss_without_sae': 2.3030436038970947}, 'reconstruction_quality': {'explained_variance': 0.0074363029561936855, 'mse': 17.703493118286133, 'cossim': 0.9440040588378906}, 'shrinkage': {'l2_norm_in': 42.43720626831055, 'l2_norm_out': 1.5059047937393188, 'l2_ratio': 0.035086601972579956, 'relative_reconstruction_bias': 0.03807291388511658}, 'sparsity': {'l0': 6536.9970703125, 'l1': 5018.47802734375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 1.0000605049095412, 'ce_loss_with_ablation': 7.7107343673706055, 'ce_loss_with_sae': 2.248894214630127, 'ce_loss_without_sae': 2.2492246627807617}, 'reconstruction_quality': {'explained_variance': 0.05262758955359459, 'mse': 21.05706024169922, 'cossim': 0.9469513297080994}, 'shrinkage': {'l2_norm_in': 45.2996711730957, 'l2_norm_out': 1.6209545135498047, 'l2_ratio': 0.03530241921544075, 'relative_reconstruction_bias': 0.038056086748838425}, 'sparsity': {'l0': 6660.40087890625, 'l1': 5304.64990234375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9954716153420974, 'ce_loss_with_ablation': 8.233386993408203, 'ce_loss_with_sae': 2.375208854675293, 'ce_loss_without_sae': 2.348560094833374}, 'reconstruction_quality': {'explained_variance': 0.05829111486673355, 'mse': 21.825544357299805, 'cossim': 0.9404069781303406}, 'shrinkage': {'l2_norm_in': 46.07387924194336, 'l2_norm_out': 1.6337846517562866, 'l2_ratio': 0.03487095236778259, 'relative_reconstruction_bias': 0.03805850073695183}, 'sparsity': {'l0': 6800.8681640625, 'l1': 5466.83154296875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9967765756614202, 'ce_loss_with_ablation': 8.403114318847656, 'ce_loss_with_sae': 2.434629201889038, 'ce_loss_without_sae': 2.415328025817871}, 'reconstruction_quality': {'explained_variance': 0.05200572684407234, 'mse': 21.45790672302246, 'cossim': 0.942481517791748}, 'shrinkage': {'l2_norm_in': 45.89087677001953, 'l2_norm_out': 1.6297472715377808, 'l2_ratio': 0.03497963771224022, 'relative_reconstruction_bias': 0.038066308945417404}, 'sparsity': {'l0': 6924.81201171875, 'l1': 5596.65380859375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.9971208286958323, 'ce_loss_with_ablation': 7.830250263214111, 'ce_loss_with_sae': 2.2921395301818848, 'ce_loss_without_sae': 2.2761483192443848}, 'reconstruction_quality': {'explained_variance': 0.05884329602122307, 'mse': 21.416568756103516, 'cossim': 0.9549930691719055}, 'shrinkage': {'l2_norm_in': 46.06428146362305, 'l2_norm_out': 1.6643017530441284, 'l2_ratio': 0.03568195924162865, 'relative_reconstruction_bias': 0.03810039907693863}, 'sparsity': {'l0': 7057.43603515625, 'l1': 5786.37255859375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
