Training SAE:   0%|          | 0/4096000 [00:00<?, ?it/s]                          /data/yusenp/NLP/KAN-LLaMA/sae_lens/training/activations_store.py:738: UserWarning: All samples in the training dataset have been exhausted, we are now beginning a new epoch with the same samples.
  warnings.warn(scaling factor:  46%|████▋     | 465/1000 [00:00<00:01, 519.34it/s]
Estimating norm scaling factor: 100%|██████████| 1000/1000 [00:01<00:00, 537.26it/s]
4700| l0_loss: 11419.78516 | mse_loss: 0.37096:  59%|█████▉    | 2406400/4096000 [02:51<02:00, 14018.55it/s]
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.04059146434078652, 'ce_loss_with_ablation': 7.993437767028809, 'ce_loss_with_sae': 7.7620849609375, 'ce_loss_without_sae': 2.2938945293426514}, 'reconstruction_quality': {'explained_variance': -0.007425230927765369, 'mse': 23.74806785583496, 'cossim': 0.190702423453331}, 'shrinkage': {'l2_norm_in': 46.36882781982422, 'l2_norm_out': 0.26943597197532654, 'l2_ratio': 0.003550568362697959, 'relative_reconstruction_bias': 0.13589949905872345}, 'sparsity': {'l0': 1648.3157958984375, 'l1': 104.55757141113281}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.22488507687853213, 'ce_loss_with_ablation': 8.472864151000977, 'ce_loss_with_sae': 9.833740234375, 'ce_loss_without_sae': 2.4214351177215576}, 'reconstruction_quality': {'explained_variance': -0.024623317644000053, 'mse': 22.774887084960938, 'cossim': 0.28058499097824097}, 'shrinkage': {'l2_norm_in': 45.6624641418457, 'l2_norm_out': 0.11872128397226334, 'l2_ratio': 0.0011280024191364646, 'relative_reconstruction_bias': 0.036379795521497726}, 'sparsity': {'l0': 717.8246459960938, 'l1': 51.03339767456055}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.33959842407556845, 'ce_loss_with_ablation': 8.208343505859375, 'ce_loss_with_sae': 6.289405345916748, 'ce_loss_without_sae': 2.5577337741851807}, 'reconstruction_quality': {'explained_variance': -0.01974649913609028, 'mse': 22.644208908081055, 'cossim': 0.28911513090133667}, 'shrinkage': {'l2_norm_in': 45.78252029418945, 'l2_norm_out': 0.16528455913066864, 'l2_ratio': 0.0013341322774067521, 'relative_reconstruction_bias': 0.017891783267259598}, 'sparsity': {'l0': 497.03790283203125, 'l1': 105.3180923461914}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5439116996020025, 'ce_loss_with_ablation': 8.418126106262207, 'ce_loss_with_sae': 5.1750640869140625, 'ce_loss_without_sae': 2.4556472301483154}, 'reconstruction_quality': {'explained_variance': -0.005200617015361786, 'mse': 22.6956787109375, 'cossim': 0.39718297123908997}, 'shrinkage': {'l2_norm_in': 46.30064392089844, 'l2_norm_out': 0.5510466694831848, 'l2_ratio': 0.00798131339251995, 'relative_reconstruction_bias': 0.02687492035329342}, 'sparsity': {'l0': 539.8054809570312, 'l1': 311.9455871582031}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5845998387472566, 'ce_loss_with_ablation': 8.324442863464355, 'ce_loss_with_sae': 4.8948588371276855, 'ce_loss_without_sae': 2.457893133163452}, 'reconstruction_quality': {'explained_variance': -0.008023589849472046, 'mse': 21.662527084350586, 'cossim': 0.45814189314842224}, 'shrinkage': {'l2_norm_in': 46.08438491821289, 'l2_norm_out': 0.7366129755973816, 'l2_ratio': 0.01132131926715374, 'relative_reconstruction_bias': 0.033459678292274475}, 'sparsity': {'l0': 562.734375, 'l1': 417.2831115722656}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.689059013447485, 'ce_loss_with_ablation': 8.514806747436523, 'ce_loss_with_sae': 4.346796035766602, 'ce_loss_without_sae': 2.4659624099731445}, 'reconstruction_quality': {'explained_variance': -0.0038250552024692297, 'mse': 21.768802642822266, 'cossim': 0.5138505101203918}, 'shrinkage': {'l2_norm_in': 46.138763427734375, 'l2_norm_out': 0.8513236045837402, 'l2_ratio': 0.013838136568665504, 'relative_reconstruction_bias': 0.03498150035738945}, 'sparsity': {'l0': 655.0017700195312, 'l1': 505.9645690917969}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.7612421592284669, 'ce_loss_with_ablation': 8.2409029006958, 'ce_loss_with_sae': 3.8072593212127686, 'ce_loss_without_sae': 2.4166805744171143}, 'reconstruction_quality': {'explained_variance': 0.011945354752242565, 'mse': 22.642602920532227, 'cossim': 0.5509833693504333}, 'shrinkage': {'l2_norm_in': 46.51462173461914, 'l2_norm_out': 0.9394327402114868, 'l2_ratio': 0.015683231875300407, 'relative_reconstruction_bias': 0.03568955883383751}, 'sparsity': {'l0': 771.9674072265625, 'l1': 595.9496459960938}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.7921580848245495, 'ce_loss_with_ablation': 8.194169998168945, 'ce_loss_with_sae': 3.688754081726074, 'ce_loss_without_sae': 2.5066487789154053}, 'reconstruction_quality': {'explained_variance': 0.00596146285533905, 'mse': 22.24712562561035, 'cossim': 0.5891335606575012}, 'shrinkage': {'l2_norm_in': 46.28438949584961, 'l2_norm_out': 0.997332751750946, 'l2_ratio': 0.01740776002407074, 'relative_reconstruction_bias': 0.036252424120903015}, 'sparsity': {'l0': 833.1683959960938, 'l1': 661.6236572265625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8334048383501695, 'ce_loss_with_ablation': 8.161482810974121, 'ce_loss_with_sae': 3.490295171737671, 'ce_loss_without_sae': 2.5565385818481445}, 'reconstruction_quality': {'explained_variance': 0.005323001649230719, 'mse': 21.826536178588867, 'cossim': 0.6175559163093567}, 'shrinkage': {'l2_norm_in': 45.978057861328125, 'l2_norm_out': 1.03241765499115, 'l2_ratio': 0.018461061641573906, 'relative_reconstruction_bias': 0.03676823526620865}, 'sparsity': {'l0': 942.6849975585938, 'l1': 721.6007690429688}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8564609668231226, 'ce_loss_with_ablation': 8.346538543701172, 'ce_loss_with_sae': 3.310671091079712, 'ce_loss_without_sae': 2.466682195663452}, 'reconstruction_quality': {'explained_variance': 0.019417909905314445, 'mse': 22.677398681640625, 'cossim': 0.6512033343315125}, 'shrinkage': {'l2_norm_in': 46.60456466674805, 'l2_norm_out': 1.1008220911026, 'l2_ratio': 0.01972196437418461, 'relative_reconstruction_bias': 0.03706216812133789}, 'sparsity': {'l0': 1042.6871337890625, 'l1': 809.1591796875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8866560809404103, 'ce_loss_with_ablation': 8.018692016601562, 'ce_loss_with_sae': 3.1204891204833984, 'ce_loss_without_sae': 2.4943370819091797}, 'reconstruction_quality': {'explained_variance': 0.023872334510087967, 'mse': 22.907590866088867, 'cossim': 0.6637272834777832}, 'shrinkage': {'l2_norm_in': 46.766441345214844, 'l2_norm_out': 1.128421425819397, 'l2_ratio': 0.02034848928451538, 'relative_reconstruction_bias': 0.03728475421667099}, 'sparsity': {'l0': 1139.7362060546875, 'l1': 881.7615356445312}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
