Estimating norm scaling factor: 100%|██████████| 1000/1000 [00:01<00:00, 524.73it/s]
4700| l0_loss: 11218.29102 | mse_loss: 0.35248:  59%|█████▉    | 2406400/4096000 [02:52<02:00, 14039.40it/s]
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.04048111370645652, 'ce_loss_with_ablation': 7.993437767028809, 'ce_loss_with_sae': 7.76271390914917, 'ce_loss_without_sae': 2.2938945293426514}, 'reconstruction_quality': {'explained_variance': -0.007419086992740631, 'mse': 21.32967185974121, 'cossim': 0.1942630261182785}, 'shrinkage': {'l2_norm_in': 43.947296142578125, 'l2_norm_out': 0.2654120624065399, 'l2_ratio': 0.003630600171163678, 'relative_reconstruction_bias': 0.14311698079109192}, 'sparsity': {'l0': 1584.0330810546875, 'l1': 97.4682388305664}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.1682577644147814, 'ce_loss_with_ablation': 8.472864151000977, 'ce_loss_with_sae': 9.491064071655273, 'ce_loss_without_sae': 2.4214351177215576}, 'reconstruction_quality': {'explained_variance': -0.024597173556685448, 'mse': 20.45318031311035, 'cossim': 0.27990424633026123}, 'shrinkage': {'l2_norm_in': 43.2778205871582, 'l2_norm_out': 0.12227761745452881, 'l2_ratio': 0.0012728696456179023, 'relative_reconstruction_bias': 0.03759811446070671}, 'sparsity': {'l0': 741.7546997070312, 'l1': 49.60039520263672}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.3404674398611836, 'ce_loss_with_ablation': 8.208343505859375, 'ce_loss_with_sae': 6.284494876861572, 'ce_loss_without_sae': 2.5577337741851807}, 'reconstruction_quality': {'explained_variance': -0.01970498636364937, 'mse': 20.321578979492188, 'cossim': 0.28717130422592163}, 'shrinkage': {'l2_norm_in': 43.391605377197266, 'l2_norm_out': 0.16610664129257202, 'l2_ratio': 0.0014314318541437387, 'relative_reconstruction_bias': 0.018427206203341484}, 'sparsity': {'l0': 508.8662109375, 'l1': 100.90214538574219}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5401630464968059, 'ce_loss_with_ablation': 8.418126106262207, 'ce_loss_with_sae': 5.197415351867676, 'ce_loss_without_sae': 2.4556472301483154}, 'reconstruction_quality': {'explained_variance': -0.004727104213088751, 'mse': 20.3415470123291, 'cossim': 0.3985978066921234}, 'shrinkage': {'l2_norm_in': 43.88267135620117, 'l2_norm_out': 0.555336594581604, 'l2_ratio': 0.008533275686204433, 'relative_reconstruction_bias': 0.02833263948559761}, 'sparsity': {'l0': 536.7572631835938, 'l1': 295.7604675292969}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5974917675878084, 'ce_loss_with_ablation': 8.324442863464355, 'ce_loss_with_sae': 4.819227695465088, 'ce_loss_without_sae': 2.457893133163452}, 'reconstruction_quality': {'explained_variance': -0.007249135058373213, 'mse': 19.394824981689453, 'cossim': 0.4614626467227936}, 'shrinkage': {'l2_norm_in': 43.677711486816406, 'l2_norm_out': 0.7424713373184204, 'l2_ratio': 0.012039187364280224, 'relative_reconstruction_bias': 0.03542998433113098}, 'sparsity': {'l0': 567.3933715820312, 'l1': 397.9307861328125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.6983926965807633, 'ce_loss_with_ablation': 8.514806747436523, 'ce_loss_with_sae': 4.290338039398193, 'ce_loss_without_sae': 2.4659624099731445}, 'reconstruction_quality': {'explained_variance': -0.0028861630707979202, 'mse': 19.489261627197266, 'cossim': 0.5147332549095154}, 'shrinkage': {'l2_norm_in': 43.729248046875, 'l2_norm_out': 0.8530916571617126, 'l2_ratio': 0.014631024561822414, 'relative_reconstruction_bias': 0.03685513883829117}, 'sparsity': {'l0': 655.3265991210938, 'l1': 479.3206481933594}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.7586291111153957, 'ce_loss_with_ablation': 8.2409029006958, 'ce_loss_with_sae': 3.8224782943725586, 'ce_loss_without_sae': 2.4166805744171143}, 'reconstruction_quality': {'explained_variance': 0.012976758182048798, 'mse': 20.269500732421875, 'cossim': 0.550226628780365}, 'shrinkage': {'l2_norm_in': 44.08547592163086, 'l2_norm_out': 0.9397884607315063, 'l2_ratio': 0.016556745395064354, 'relative_reconstruction_bias': 0.03757518157362938}, 'sparsity': {'l0': 771.2123413085938, 'l1': 563.0316772460938}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.7955292585559882, 'ce_loss_with_ablation': 8.194169998168945, 'ce_loss_with_sae': 3.6695804595947266, 'ce_loss_without_sae': 2.5066487789154053}, 'reconstruction_quality': {'explained_variance': 0.007125169038772583, 'mse': 19.91489601135254, 'cossim': 0.586574375629425}, 'shrinkage': {'l2_norm_in': 43.867271423339844, 'l2_norm_out': 0.9961153268814087, 'l2_ratio': 0.018367905169725418, 'relative_reconstruction_bias': 0.0380878709256649}, 'sparsity': {'l0': 823.9130859375, 'l1': 625.1331787109375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.826625218428472, 'ce_loss_with_ablation': 8.161482810974121, 'ce_loss_with_sae': 3.528294563293457, 'ce_loss_without_sae': 2.5565385818481445}, 'reconstruction_quality': {'explained_variance': 0.006583719979971647, 'mse': 19.531518936157227, 'cossim': 0.6146200895309448}, 'shrinkage': {'l2_norm_in': 43.576934814453125, 'l2_norm_out': 1.0321725606918335, 'l2_ratio': 0.019470538944005966, 'relative_reconstruction_bias': 0.038777828216552734}, 'sparsity': {'l0': 921.8353881835938, 'l1': 683.1968994140625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8568140214634676, 'ce_loss_with_ablation': 8.346538543701172, 'ce_loss_with_sae': 3.3085951805114746, 'ce_loss_without_sae': 2.466682195663452}, 'reconstruction_quality': {'explained_variance': 0.020795034244656563, 'mse': 20.290367126464844, 'cossim': 0.6495186686515808}, 'shrinkage': {'l2_norm_in': 44.17072296142578, 'l2_norm_out': 1.100232481956482, 'l2_ratio': 0.02078295312821865, 'relative_reconstruction_bias': 0.0391114316880703}, 'sparsity': {'l0': 1008.5111694335938, 'l1': 766.9798583984375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8861580408189195, 'ce_loss_with_ablation': 8.018692016601562, 'ce_loss_with_sae': 3.1232404708862305, 'ce_loss_without_sae': 2.4943370819091797}, 'reconstruction_quality': {'explained_variance': 0.025328416377305984, 'mse': 20.496673583984375, 'cossim': 0.6617556214332581}, 'shrinkage': {'l2_norm_in': 44.32414627075195, 'l2_norm_out': 1.1280399560928345, 'l2_ratio': 0.021468600258231163, 'relative_reconstruction_bias': 0.03930802270770073}, 'sparsity': {'l0': 1109.5316162109375, 'l1': 836.2939453125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
