Estimating norm scaling factor: 100%|██████████| 1000/1000 [00:01<00:00, 519.13it/s]
4700| l0_loss: 11217.48047 | mse_loss: 0.34649:  59%|█████▉    | 2406400/4096000 [02:52<02:00, 14056.87it/s]
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.04015893001213899, 'ce_loss_with_ablation': 7.993437767028809, 'ce_loss_with_sae': 7.76455020904541, 'ce_loss_without_sae': 2.2938945293426514}, 'reconstruction_quality': {'explained_variance': -0.0074298991821706295, 'mse': 21.966100692749023, 'cossim': 0.19631613790988922}, 'shrinkage': {'l2_norm_in': 44.595489501953125, 'l2_norm_out': 0.2557743489742279, 'l2_ratio': 0.00348183186724782, 'relative_reconstruction_bias': 0.135784313082695}, 'sparsity': {'l0': 1554.6488037109375, 'l1': 95.04264068603516}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.19566966266379576, 'ce_loss_with_ablation': 8.472864151000977, 'ce_loss_with_sae': 9.65694522857666, 'ce_loss_without_sae': 2.4214351177215576}, 'reconstruction_quality': {'explained_variance': -0.024606291204690933, 'mse': 21.062952041625977, 'cossim': 0.28098252415657043}, 'shrinkage': {'l2_norm_in': 43.916141510009766, 'l2_norm_out': 0.12107513099908829, 'l2_ratio': 0.001219413592480123, 'relative_reconstruction_bias': 0.03764829412102699}, 'sparsity': {'l0': 723.9357299804688, 'l1': 49.47287368774414}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.3359264146664346, 'ce_loss_with_ablation': 8.208343505859375, 'ce_loss_with_sae': 6.310154438018799, 'ce_loss_without_sae': 2.5577337741851807}, 'reconstruction_quality': {'explained_variance': -0.01971435360610485, 'mse': 20.93818473815918, 'cossim': 0.2844085097312927}, 'shrinkage': {'l2_norm_in': 44.03160858154297, 'l2_norm_out': 0.1657046526670456, 'l2_ratio': 0.0014247018843889236, 'relative_reconstruction_bias': 0.0185270793735981}, 'sparsity': {'l0': 503.67852783203125, 'l1': 100.23150634765625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.545601368561481, 'ce_loss_with_ablation': 8.418126106262207, 'ce_loss_with_sae': 5.164989471435547, 'ce_loss_without_sae': 2.4556472301483154}, 'reconstruction_quality': {'explained_variance': -0.004798078443855047, 'mse': 20.960683822631836, 'cossim': 0.39945468306541443}, 'shrinkage': {'l2_norm_in': 44.52991485595703, 'l2_norm_out': 0.5568634867668152, 'l2_ratio': 0.008457432501018047, 'relative_reconstruction_bias': 0.027917003259062767}, 'sparsity': {'l0': 524.099609375, 'l1': 299.73785400390625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.6030681912809157, 'ce_loss_with_ablation': 8.324442863464355, 'ce_loss_with_sae': 4.786513328552246, 'ce_loss_without_sae': 2.457893133163452}, 'reconstruction_quality': {'explained_variance': -0.007419700268656015, 'mse': 19.990619659423828, 'cossim': 0.4623354971408844}, 'shrinkage': {'l2_norm_in': 44.321929931640625, 'l2_norm_out': 0.7432377934455872, 'l2_ratio': 0.011894501745700836, 'relative_reconstruction_bias': 0.03489646688103676}, 'sparsity': {'l0': 567.1251831054688, 'l1': 404.00836181640625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.6864061098530541, 'ce_loss_with_ablation': 8.514806747436523, 'ce_loss_with_sae': 4.362843036651611, 'ce_loss_without_sae': 2.4659624099731445}, 'reconstruction_quality': {'explained_variance': -0.0031388760544359684, 'mse': 20.088857650756836, 'cossim': 0.5146128535270691}, 'shrinkage': {'l2_norm_in': 44.374229431152344, 'l2_norm_out': 0.8546987771987915, 'l2_ratio': 0.01446688175201416, 'relative_reconstruction_bias': 0.03633710741996765}, 'sparsity': {'l0': 662.4365234375, 'l1': 488.47100830078125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.7559934255639066, 'ce_loss_with_ablation': 8.2409029006958, 'ce_loss_with_sae': 3.837829113006592, 'ce_loss_without_sae': 2.4166805744171143}, 'reconstruction_quality': {'explained_variance': 0.012680423445999622, 'mse': 20.895130157470703, 'cossim': 0.5508984327316284}, 'shrinkage': {'l2_norm_in': 44.735713958740234, 'l2_norm_out': 0.9403273463249207, 'l2_ratio': 0.016333719715476036, 'relative_reconstruction_bias': 0.036993417888879776}, 'sparsity': {'l0': 779.7289428710938, 'l1': 574.9170532226562}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.7943216808180927, 'ce_loss_with_ablation': 8.194169998168945, 'ce_loss_with_sae': 3.6764485836029053, 'ce_loss_without_sae': 2.5066487789154053}, 'reconstruction_quality': {'explained_variance': 0.006862051784992218, 'mse': 20.528837203979492, 'cossim': 0.5884270071983337}, 'shrinkage': {'l2_norm_in': 44.514286041259766, 'l2_norm_out': 0.9983016848564148, 'l2_ratio': 0.018153712153434753, 'relative_reconstruction_bias': 0.037521373480558395}, 'sparsity': {'l0': 833.7888793945312, 'l1': 640.0960693359375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8396128860462703, 'ce_loss_with_ablation': 8.161482810974121, 'ce_loss_with_sae': 3.4554994106292725, 'ce_loss_without_sae': 2.5565385818481445}, 'reconstruction_quality': {'explained_variance': 0.006403129547834396, 'mse': 20.133691787719727, 'cossim': 0.6174517869949341}, 'shrinkage': {'l2_norm_in': 44.21966552734375, 'l2_norm_out': 1.0360043048858643, 'l2_ratio': 0.019288716837763786, 'relative_reconstruction_bias': 0.03819609805941582}, 'sparsity': {'l0': 928.8637084960938, 'l1': 700.5728759765625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8592100245297353, 'ce_loss_with_ablation': 8.346538543701172, 'ce_loss_with_sae': 3.2945070266723633, 'ce_loss_without_sae': 2.466682195663452}, 'reconstruction_quality': {'explained_variance': 0.02063332311809063, 'mse': 20.9151668548584, 'cossim': 0.6520905494689941}, 'shrinkage': {'l2_norm_in': 44.82221603393555, 'l2_norm_out': 1.1051796674728394, 'l2_ratio': 0.020604288205504417, 'relative_reconstruction_bias': 0.03854390233755112}, 'sparsity': {'l0': 1016.2820434570312, 'l1': 787.7013549804688}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.8892646200238714, 'ce_loss_with_ablation': 8.018692016601562, 'ce_loss_with_sae': 3.106078624725342, 'ce_loss_without_sae': 2.4943370819091797}, 'reconstruction_quality': {'explained_variance': 0.025175774469971657, 'mse': 21.12855339050293, 'cossim': 0.6645652651786804}, 'shrinkage': {'l2_norm_in': 44.977901458740234, 'l2_norm_out': 1.1328600645065308, 'l2_ratio': 0.02128439024090767, 'relative_reconstruction_bias': 0.03872302547097206}, 'sparsity': {'l0': 1116.293212890625, 'l1': 859.2572631835938}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
