Estimating norm scaling factor: 100%|██████████| 1000/1000 [00:02<00:00, 392.20it/s]
4700| auxiliary_reconstruction_loss: 1.57189 | l1_loss: 1.79373 | mse_loss: 1.11648:  59%|█████▉    | 2406400/4096000 [04:07<02:52, 9819.05it/s] 
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.2879974191839516, 'ce_loss_with_ablation': 7.993437767028809, 'ce_loss_with_sae': 6.351984024047852, 'ce_loss_without_sae': 2.2938945293426514}, 'reconstruction_quality': {'explained_variance': -0.007684764452278614, 'mse': 20.112226486206055, 'cossim': 0.3013560473918915}, 'shrinkage': {'l2_norm_in': 42.693267822265625, 'l2_norm_out': 0.04743603616952896, 'l2_ratio': 0.00014257049770094454, 'relative_reconstruction_bias': 0.009461269713938236}, 'sparsity': {'l0': 40.84414291381836, 'l1': 40.17493438720703}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.47386460069216463, 'ce_loss_with_ablation': 8.472864151000977, 'ce_loss_with_sae': 5.605306148529053, 'ce_loss_without_sae': 2.4214351177215576}, 'reconstruction_quality': {'explained_variance': -0.024404603987932205, 'mse': 18.839773178100586, 'cossim': 0.3161619305610657}, 'shrinkage': {'l2_norm_in': 42.04290008544922, 'l2_norm_out': 0.18251211941242218, 'l2_ratio': 0.0003440867585595697, 'relative_reconstruction_bias': 0.019327906891703606}, 'sparsity': {'l0': 39.5966796875, 'l1': 202.517578125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.46082840461385105, 'ce_loss_with_ablation': 8.208343505859375, 'ce_loss_with_sae': 5.604382038116455, 'ce_loss_without_sae': 2.5577337741851807}, 'reconstruction_quality': {'explained_variance': -0.01971103809773922, 'mse': 18.452152252197266, 'cossim': 0.3244219422340393}, 'shrinkage': {'l2_norm_in': 42.153438568115234, 'l2_norm_out': 0.3234953284263611, 'l2_ratio': 0.0005528259207494557, 'relative_reconstruction_bias': 0.03192995861172676}, 'sparsity': {'l0': 38.4013671875, 'l1': 320.1276550292969}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.4785476300429507, 'ce_loss_with_ablation': 8.418126106262207, 'ce_loss_with_sae': 5.564795970916748, 'ce_loss_without_sae': 2.4556472301483154}, 'reconstruction_quality': {'explained_variance': -0.011553945951163769, 'mse': 18.814624786376953, 'cossim': 0.33391910791397095}, 'shrinkage': {'l2_norm_in': 42.6304931640625, 'l2_norm_out': 0.39245596528053284, 'l2_ratio': 0.0006919692386873066, 'relative_reconstruction_bias': 0.035773009061813354}, 'sparsity': {'l0': 37.07421875, 'l1': 405.56915283203125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.47216012716850253, 'ce_loss_with_ablation': 8.324442863464355, 'ce_loss_with_sae': 5.554491996765137, 'ce_loss_without_sae': 2.457893133163452}, 'reconstruction_quality': {'explained_variance': -0.018962472677230835, 'mse': 18.131908416748047, 'cossim': 0.33916565775871277}, 'shrinkage': {'l2_norm_in': 42.43137741088867, 'l2_norm_out': 0.40629759430885315, 'l2_ratio': 0.0007774549885652959, 'relative_reconstruction_bias': 0.03804219886660576}, 'sparsity': {'l0': 34.20429611206055, 'l1': 435.2830505371094}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.4840674428588704, 'ce_loss_with_ablation': 8.514806747436523, 'ce_loss_with_sae': 5.586758136749268, 'ce_loss_without_sae': 2.4659624099731445}, 'reconstruction_quality': {'explained_variance': -0.018773891031742096, 'mse': 18.314191818237305, 'cossim': 0.3533661663532257}, 'shrinkage': {'l2_norm_in': 42.481449127197266, 'l2_norm_out': 0.41807642579078674, 'l2_ratio': 0.0008612442761659622, 'relative_reconstruction_bias': 0.03843018040060997}, 'sparsity': {'l0': 32.612892150878906, 'l1': 446.95489501953125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.48933209691165164, 'ce_loss_with_ablation': 8.2409029006958, 'ce_loss_with_sae': 5.390923976898193, 'ce_loss_without_sae': 2.4166805744171143}, 'reconstruction_quality': {'explained_variance': -0.005881211720407009, 'mse': 19.103744506835938, 'cossim': 0.3610842525959015}, 'shrinkage': {'l2_norm_in': 42.827510833740234, 'l2_norm_out': 0.4407239854335785, 'l2_ratio': 0.0009362827986478806, 'relative_reconstruction_bias': 0.0385577492415905}, 'sparsity': {'l0': 36.94160079956055, 'l1': 468.94049072265625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5058955507088121, 'ce_loss_with_ablation': 8.194169998168945, 'ce_loss_with_sae': 5.316878318786621, 'ce_loss_without_sae': 2.5066487789154053}, 'reconstruction_quality': {'explained_variance': -0.015477508306503296, 'mse': 18.814476013183594, 'cossim': 0.3720080554485321}, 'shrinkage': {'l2_norm_in': 42.61552810668945, 'l2_norm_out': 0.4339470863342285, 'l2_ratio': 0.0009550840477459133, 'relative_reconstruction_bias': 0.03850944712758064}, 'sparsity': {'l0': 33.25664138793945, 'l1': 460.682373046875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.4841372011549698, 'ce_loss_with_ablation': 8.161482810974121, 'ce_loss_with_sae': 5.447920799255371, 'ce_loss_without_sae': 2.5565385818481445}, 'reconstruction_quality': {'explained_variance': -0.01844549924135208, 'mse': 18.485876083374023, 'cossim': 0.37431779503822327}, 'shrinkage': {'l2_norm_in': 42.33347702026367, 'l2_norm_out': 0.42892107367515564, 'l2_ratio': 0.0009753347258083522, 'relative_reconstruction_bias': 0.03860023617744446}, 'sparsity': {'l0': 33.78261947631836, 'l1': 453.1056213378906}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.49898813575025935, 'ce_loss_with_ablation': 8.346538543701172, 'ce_loss_with_sae': 5.412559986114502, 'ce_loss_without_sae': 2.466682195663452}, 'reconstruction_quality': {'explained_variance': -0.006710611283779144, 'mse': 19.22263526916504, 'cossim': 0.3785655200481415}, 'shrinkage': {'l2_norm_in': 42.91032028198242, 'l2_norm_out': 0.4490058422088623, 'l2_ratio': 0.0010177157819271088, 'relative_reconstruction_bias': 0.038649626076221466}, 'sparsity': {'l0': 34.20742416381836, 'l1': 472.33355712890625}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.4968585493549992, 'ce_loss_with_ablation': 8.018692016601562, 'ce_loss_with_sae': 5.273869037628174, 'ce_loss_without_sae': 2.4943370819091797}, 'reconstruction_quality': {'explained_variance': -0.0032025661785155535, 'mse': 19.43050193786621, 'cossim': 0.37883445620536804}, 'shrinkage': {'l2_norm_in': 43.05936813354492, 'l2_norm_out': 0.45187661051750183, 'l2_ratio': 0.0010339453583583236, 'relative_reconstruction_bias': 0.03861244395375252}, 'sparsity': {'l0': 35.998046875, 'l1': 473.0816955566406}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5091226087274167, 'ce_loss_with_ablation': 8.227436065673828, 'ce_loss_with_sae': 5.289951324462891, 'ce_loss_without_sae': 2.457736015319824}, 'reconstruction_quality': {'explained_variance': -0.0036009096074849367, 'mse': 19.299407958984375, 'cossim': 0.3807368278503418}, 'shrinkage': {'l2_norm_in': 42.92173385620117, 'l2_norm_out': 0.45269033312797546, 'l2_ratio': 0.0010503208031877875, 'relative_reconstruction_bias': 0.03878447040915489}, 'sparsity': {'l0': 34.51308822631836, 'l1': 470.0635681152344}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.4737298398575691, 'ce_loss_with_ablation': 8.218037605285645, 'ce_loss_with_sae': 5.282078742980957, 'ce_loss_without_sae': 2.0204992294311523}, 'reconstruction_quality': {'explained_variance': -0.030343562364578247, 'mse': 17.13758659362793, 'cossim': 0.38352808356285095}, 'shrinkage': {'l2_norm_in': 41.26896286010742, 'l2_norm_out': 0.4008249342441559, 'l2_ratio': 0.0010126216802746058, 'relative_reconstruction_bias': 0.038820531219244}, 'sparsity': {'l0': 32.06679916381836, 'l1': 411.55596923828125}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5429265161152639, 'ce_loss_with_ablation': 7.762081623077393, 'ce_loss_with_sae': 4.773011684417725, 'ce_loss_without_sae': 2.256603717803955}, 'reconstruction_quality': {'explained_variance': -0.05346785858273506, 'mse': 15.833447456359863, 'cossim': 0.38370439410209656}, 'shrinkage': {'l2_norm_in': 39.94554901123047, 'l2_norm_out': 0.36200830340385437, 'l2_ratio': 0.000975212489720434, 'relative_reconstruction_bias': 0.03896884247660637}, 'sparsity': {'l0': 31.552343368530273, 'l1': 366.3548278808594}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5100061971179053, 'ce_loss_with_ablation': 7.718745231628418, 'ce_loss_with_sae': 4.950977325439453, 'ce_loss_without_sae': 2.2918152809143066}, 'reconstruction_quality': {'explained_variance': -0.05834275111556053, 'mse': 15.391888618469238, 'cossim': 0.38436776399612427}, 'shrinkage': {'l2_norm_in': 39.72636795043945, 'l2_norm_out': 0.3544502854347229, 'l2_ratio': 0.000972938840277493, 'relative_reconstruction_bias': 0.039065368473529816}, 'sparsity': {'l0': 30.019336700439453, 'l1': 356.39154052734375}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5572397510808003, 'ce_loss_with_ablation': 7.9982428550720215, 'ce_loss_with_sae': 4.8240065574646, 'ce_loss_without_sae': 2.3018863201141357}, 'reconstruction_quality': {'explained_variance': -0.05603114888072014, 'mse': 15.493788719177246, 'cossim': 0.38661518692970276}, 'shrinkage': {'l2_norm_in': 39.63019561767578, 'l2_norm_out': 0.36064252257347107, 'l2_ratio': 0.0009950314415618777, 'relative_reconstruction_bias': 0.039195068180561066}, 'sparsity': {'l0': 30.012500762939453, 'l1': 360.2586364746094}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5103292347580483, 'ce_loss_with_ablation': 7.808859825134277, 'ce_loss_with_sae': 5.036347389221191, 'ce_loss_without_sae': 2.376068115234375}, 'reconstruction_quality': {'explained_variance': -0.007881276309490204, 'mse': 18.67599105834961, 'cossim': 0.38693270087242126}, 'shrinkage': {'l2_norm_in': 42.7176628112793, 'l2_norm_out': 0.4465198218822479, 'l2_ratio': 0.001094699720852077, 'relative_reconstruction_bias': 0.03909149393439293}, 'sparsity': {'l0': 34.010353088378906, 'l1': 449.8360900878906}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.45200525503706174, 'ce_loss_with_ablation': 8.106575965881348, 'ce_loss_with_sae': 5.370086193084717, 'ce_loss_without_sae': 2.0524654388427734}, 'reconstruction_quality': {'explained_variance': 0.0018405262380838394, 'mse': 19.34293556213379, 'cossim': 0.38411498069763184}, 'shrinkage': {'l2_norm_in': 43.322689056396484, 'l2_norm_out': 0.46436062455177307, 'l2_ratio': 0.0011149084893986583, 'relative_reconstruction_bias': 0.039349041879177094}, 'sparsity': {'l0': 35.489845275878906, 'l1': 465.739013671875}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5139497565249936, 'ce_loss_with_ablation': 8.093259811401367, 'ce_loss_with_sae': 5.041896343231201, 'ce_loss_without_sae': 2.156174659729004}, 'reconstruction_quality': {'explained_variance': -0.05738004669547081, 'mse': 15.545671463012695, 'cossim': 0.3901340961456299}, 'shrinkage': {'l2_norm_in': 39.85976028442383, 'l2_norm_out': 0.36246225237846375, 'l2_ratio': 0.0010111423907801509, 'relative_reconstruction_bias': 0.039304282516241074}, 'sparsity': {'l0': 30.599023818969727, 'l1': 355.4562683105469}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': 0.5052767112205634, 'ce_loss_with_ablation': 7.865519046783447, 'ce_loss_with_sae': 5.058843612670898, 'ce_loss_without_sae': 2.3107895851135254}, 'reconstruction_quality': {'explained_variance': -0.056511398404836655, 'mse': 15.878387451171875, 'cossim': 0.3917785584926605}, 'shrinkage': {'l2_norm_in': 39.8736457824707, 'l2_norm_out': 0.36856475472450256, 'l2_ratio': 0.001018378883600235, 'relative_reconstruction_bias': 0.039393145591020584}, 'sparsity': {'l0': 31.45136833190918, 'l1': 359.4211120605469}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
